period,tail,head,kin_in_org,owner_of,prior_comembership,is_shareholder
2008,5,5008,0,0,0,1
2008,9,5008,0,0,0,1
2008,18,5133,0,0,0,1
2008,18,5236,0,0,0,1
2008,19,2954,0,0,0,1
2008,25,4465,0,0,0,1
2008,29,4758,0,0,0,1
2008,35,4465,0,0,0,1
2008,36,4465,0,0,0,1
2008,36,5013,0,0,0,1
2008,40,2606,0,0,0,1
2008,40,4355,0,0,0,1
2008,40,4758,0,0,0,1
2008,41,3508,0,0,0,1
2008,48,4758,0,0,0,1
2008,56,4422,0,0,0,1
2008,65,2610,0,0,0,1
2008,65,4237,0,0,0,1
2008,67,4488,0,0,0,1
2008,68,4143,0,0,0,1
2008,71,4456,0,0,0,1
2008,85,3997,0,0,0,1
2008,104,3271,0,0,0,1
2008,106,2712,0,0,0,1
2008,120,3033,0,0,0,1
2008,133,3488,0,0,0,1
2008,133,5181,0,0,0,1
2008,136,4066,0,0,0,1
2008,139,3781,0,0,0,1
2008,142,4066,0,0,0,1
2008,164,3330,0,0,0,1
2008,164,3920,0,0,0,1
2008,164,5250,0,0,0,1
2008,176,2859,0,0,0,1
2008,180,5008,0,0,0,1
2008,184,3818,0,0,0,1
2008,192,3401,0,0,0,1
2008,197,4781,0,0,0,1
2008,199,2905,0,0,0,1
2008,199,4195,0,0,0,1
2008,199,4815,0,0,0,1
2008,199,5245,0,0,0,1
2008,200,4195,0,0,0,1
2008,200,5245,0,0,0,1
2008,201,5245,0,0,0,1
2008,202,3857,0,0,0,1
2008,208,3857,0,0,0,1
2008,218,4918,0,0,0,1
2008,219,4918,0,0,0,1
2008,220,4918,0,0,0,1
2008,221,2876,0,0,0,1
2008,222,2876,0,0,0,1
2008,223,4176,0,0,0,1
2008,232,3202,0,0,0,1
2008,233,5229,0,0,0,1
2008,238,4544,0,0,0,1
2008,240,5100,0,0,0,1
2008,245,2951,0,0,0,1
2008,245,2973,0,0,0,1
2008,247,4247,0,0,0,1
2008,262,2878,0,0,0,1
2008,270,3775,0,0,0,1
2008,274,5378,0,0,0,1
2008,285,4306,0,0,0,1
2008,286,5189,0,0,0,1
2008,286,5271,0,0,0,1
2008,287,3484,0,0,0,1
2008,287,5173,0,0,0,1
2008,289,5189,0,0,0,1
2008,290,5189,0,0,0,1
2008,297,2881,0,0,0,1
2008,306,5189,0,0,0,1
2008,307,2880,0,0,0,1
2008,309,5189,0,0,0,1
2008,310,5189,0,0,0,1
2008,311,5189,0,0,0,1
2008,313,2954,0,0,0,1
2008,313,4306,0,0,0,1
2008,320,3115,0,0,0,1
2008,320,4929,0,0,0,1
2008,328,5069,0,0,0,1
2008,402,5349,0,0,0,1
2008,403,5349,0,0,0,1
2008,413,3174,0,0,0,1
2008,415,3174,0,0,0,1
2008,418,3178,0,0,0,1
2008,419,3174,0,0,0,1
2008,427,3226,0,0,0,1
2008,428,5150,0,0,0,1
2008,434,4024,0,0,0,1
2008,460,4838,0,0,0,1
2008,482,3798,0,0,0,1
2008,484,4019,0,0,0,1
2008,492,3097,0,0,0,1
2008,493,3800,0,0,0,1
2008,512,3140,0,0,0,1
2008,512,5276,0,0,0,1
2008,516,3800,0,0,0,1
2008,520,3784,0,0,0,1
2008,525,2919,0,0,0,1
2008,527,3784,0,0,0,1
2008,536,3718,0,0,0,1
2008,537,4402,0,0,0,1
2008,545,4709,0,0,0,1
