node_id,label,node_type,label_normalised,married_or_maiden_name,alt_names,seed_degree,source
PARTYSTR_RCD_S_CENTRAL_COMMITTEE,RCD'S CENTRAL COMMITTEE,PARTY STRUCTURE,RCD'S CENTRAL COMMITTEE,,,420,seed
GOV_ETAT_TUNISIEN,ETAT TUNISIEN,GOVERNMENT,ETAT TUNISIEN,,,352,seed
PERSON_TRABELSI_MOHAMED,MOHAMED TRABELSI,PERSON,MOHAMED TRABELSI,,,230,seed
CO_SIM_SICAR,SIM SICAR,COMPANY,SIM SICAR,,,207,seed
PERSON_KHALIL_MOHAMED,MOHAMED KHALIL,PERSON,MOHAMED KHALIL,,,165,seed
CO_SICAR_INVEST,SICAR INVEST,COMPANY,SICAR INVEST,,,154,seed
CO_ATD_SICAR,ATD SICAR,COMPANY,ATD SICAR,,,147,seed
CO_STB_SICAR,STB SICAR,COMPANY,STB SICAR,,,141,seed
PERSON_DERBEL_FAYCEL,FAYCEL DERBEL,PERSON,FAYCEL DERBEL,,,127,seed
PERSON_AMAR_MOHAMED,MOHAMED AMMAR,PERSON,MOHAMED AMAR,,MOHAMMED AMMAR,122,seed
PARTY_MOUVEMENT_NIDAA_TOUNES,MOUVEMENT NIDAA TOUNES,PARTY,MOUVEMENT NIDAA TOUNES,,,114,seed
PARTYSTR_NIDAA_TOUNES_PARTYS_EXTENDED_COMMITTEE,NIDAA TOUNES PARTYS EXTENDED COMMITTEE,PARTY STRUCTURE,NIDAA TOUNES PARTYS EXTENDED COMMITTEE,,,108,seed
PARTYSTR_ENNAHDAS_SHURA_COUNCIL,ENNAHDAS SHURA COUNCIL,PARTY STRUCTURE,ENNAHDAS SHURA COUNCIL,,,102,seed
CO_INTERNATIONAL_SICAR,INTERNATIONAL SICAR,COMPANY,INTERNATIONAL SICAR,,,101,seed
CO_BANQUE_INTERNATIONALE_ARABE_TUNISIE,BANQUE INTERNATIONALE ARABE DE TUNISIE BIAT,COMPANY,BANQUE INTERNATIONALE ARABE TUNISIE,,BIAT,93,seed
CO_SICAR_AMEN,SICAR AMEN,COMPANY,SICAR AMEN,,,88,seed
PERSON_BOURICHA_KHALED,KHALED BOURICHA,PERSON,KHALED BOURICHA,,,88,seed
PERSON_SELAMI_MONCEF,MONCEF SELLAMI,PERSON,MONCEF SELAMI,,,88,seed
CO_ATTIJARI_SICAR,ATTIJARI SICAR,COMPANY,ATTIJARI SICAR,,,87,seed
CO_SODIS_SICAR,SODIS SICAR,COMPANY,SODIS SICAR,,,86,seed
CO_TUNISIENNE_ACTIVITES_PETROLIERES_ETAP,ENTREPRISE TUNISIENNE DES ACTIVITES PETROLIERES ETAP,COMPANY,TUNISIENNE ACTIVITES PETROLIERES ETAP,,,81,seed
ORG_TUNISIAN_AUTOMOTIVE_ASSOCIATION,TUNISIAN AUTOMOTIVE ASSOCIATION,ORGANIZATION,TUNISIAN AUTOMOTIVE ASSOCIATION,,,81,seed
CO_BANQUE_NATIONALE_AGRICOLE,BANQUE NATIONALE AGRICOLE BNA,COMPANY,BANQUE NATIONALE AGRICOLE,,BNA,77,seed
PARTY_MOUVEMENT_ENNAHDHA,MOUVEMENT ENNAHDHA,PARTY,MOUVEMENT ENNAHDHA,,,74,seed
PERSON_BAYAHI_TAHER,TAHER BAYAHI,PERSON,TAHER BAYAHI,,,74,seed
PERSON_BAYAHI_YAHIA,YAHIA BAYAHI,PERSON,YAHIA BAYAHI,,,71,seed
PERSON_SAIDANE_MOHAMED,MOHAMED SAIDANE,PERSON,MOHAMED SAIDANE,,,71,seed
CO_SIDCO_SICAR,SIDCO SICAR,COMPANY,SIDCO SICAR,,,68,seed
GOV_CHAHED_GOVERNMENT,CHAHED GOVERNMENT,GOVERNMENT,CHAHED GOVERNMENT,,,68,seed
