panel_id,granularity,period_start,period_end,from_node_id,to_node_id,role_canonical,layer,certainty,evidence_tier,spell_id
yearly:2008,yearly,2008-01-01,2008-12-31,PERSON_MABROUK_MOHAMED_MARWEN,CO_MAGHREB_PARTICIPATION_HOLDING,pdg,corporate,certain,gazette_dated,SP_30778e64362800da5aff
yearly:2008,yearly,2008-01-01,2008-12-31,PERSON_MABROUK_RAMZI,CO_POWER_CALL,gerant,corporate,certain,gazette_dated,SP_1e357e47e3ec56816df8
yearly:2008,yearly,2008-01-01,2008-12-31,PERSON_AHRES_KARIM,CO_SATEC_TUNISIE_INTERNATIONAL,gerant,corporate,certain,gazette_dated,SP_093b0eae6edf5a7afbcc
yearly:2008,yearly,2008-01-01,2008-12-31,PERSON_CHAABANE_SARAH,CO_SARAH_CONFECTION_SARCO,gerant,corporate,certain,gazette_dated,SP_21cf21291b023016f969
yearly:2008,yearly,2008-01-01,2008-12-31,PERSON_EMNA_ABDENADHER,CO_GENERALE_TRAVAUX_SPECIFIQUES,gerant,corporate,certain,gazette_dated,SP_a02b0bf7e1b2f2aa931c
yearly:2008,yearly,2008-01-01,2008-12-31,PERSON_SELAMI_HEDI_KARIM,ORGMENTION_directeur général et du président,dg,corporate,probable,gazette_dated,SP_a18e0903686fa92bef04
yearly:2008,yearly,2008-01-01,2008-12-31,PERSON_ZOUARI_HAFEDH,CO_INDUSTRIES_MATERIAUX_CONSTRUCTION_BOMAR,pdg,corporate,probable,gazette_dated,SP_dab9df4a064f592f280e
yearly:2008,yearly,2008-01-01,2008-12-31,PERSON_BOURICHA_ABDELHAMID,CO_AGRICOLE_JSK,gerant,corporate,possible,gazette_dated,SP_4566b00fc13bf70ee24d
yearly:2008,yearly,2008-01-01,2008-12-31,PERSON_CHIKHAOUI_MOHAMED,CO_LABORATOIRE,gerant,corporate,possible,gazette_dated,SP_84ba2300b78c416509be
yearly:2008,yearly,2008-01-01,2008-12-31,PERSON_GHANOUCHI_FARES,CO_ABATTOIR_AVICOLE_ESSOUASSI,unspecified,corporate,certain,gazette_dated,SP_b8ef2f55134f3d7933a3
yearly:2008,yearly,2008-01-01,2008-12-31,PERSON_SASI_SOUHEIL,CO_GREEN_STREET,gerant,corporate,certain,gazette_dated,SP_867b3fbea7efba0b772d
yearly:2008,yearly,2008-01-01,2008-12-31,PERSON_AMAR_MOHAMED,CO_APEA,gerant,corporate,certain,gazette_dated,SP_cbb5b337edddb070b9b8
yearly:2008,yearly,2008-01-01,2008-12-31,PERSON_SEGNERE_JEAN_PIERE,CO_BIOPHYMED_MAGHREB,gerant,corporate,certain,gazette_dated,SP_833160f78c294b59c506
yearly:2008,yearly,2008-01-01,2008-12-31,PERSON_BOUFATEH_BECHIR,CO_IDEALE_CONFECTION,gerant,corporate,certain,gazette_dated,SP_460d1249871049631cf9
yearly:2008,yearly,2008-01-01,2008-12-31,PERSON_HOUAS_MEHDI,CO_TALAN_TUNISIE,gerant,corporate,certain,gazette_dated,SP_6f1af6cf7fed70f8f5a8
yearly:2008,yearly,2008-01-01,2008-12-31,PERSON_KAMOUN_SOFIEN,CO_ZINC_TUNISIA,gerant,corporate,certain,gazette_dated,SP_257ca96511522d66f33c
yearly:2008,yearly,2008-01-01,2008-12-31,PERSON_RABAH_MAHER,CO_S2I_SERVICES,gerant,corporate,certain,gazette_dated,SP_dbcfaccc2b6e7b88dcd6
yearly:2008,yearly,2008-01-01,2008-12-31,PERSON_BOUATAY_NEJIB,CO_BOUATAY_CONFECTION_SOBOCO,gerant,corporate,certain,gazette_dated,SP_3a3968075a294b7e0d08
yearly:2008,yearly,2008-01-01,2008-12-31,PERSON_MABROUK_AMEL,CO_IMMOBILIERE_TUNISIENNE,pdg,corporate,possible,gazette_dated,SP_589d996ca81f68247b61
yearly:2008,yearly,2008-01-01,2008-12-31,PERSON_DJILANI_HEDI,CO_CRJ_CONSTRUCTION,pdg,corporate,probable,gazette_dated,SP_40dc6e404299c4ab297b
yearly:2008,yearly,2008-01-01,2008-12-31,PERSON_ESEGHAIER_ABDELKADER,CO_CRJ_CONSTRUCTION,dga,corporate,probable,gazette_dated,SP_468867191f0ba163edca
yearly:2008,yearly,2008-01-01,2008-12-31,PERSON_RINALDI_CLAUDIO_BIOLCATI,CO_TUNISIAN_ITALIAN_CONSULTING_GROUP,gerant,corporate,certain,gazette_dated,SP_ed9f9fc75d9a5e6e79e4
yearly:2008,yearly,2008-01-01,2008-12-31,PERSON_CHAHMI_TAHER,CO_IMPRIMERIE_PAPETERIE_ETIQUETTES_CHAHMI,gerant,corporate,certain,gazette_dated,SP_b99005c49d6fde283f33
yearly:2008,yearly,2008-01-01,2008-12-31,PERSON_MHADHBI_MOHSEN,CO_FIMCO_INTERNATIONAL,gerant,corporate,certain,gazette_dated,SP_73c3e9ec0aabbb33e742
yearly:2008,yearly,2008-01-01,2008-12-31,PERSON_DERBEL_FAYCEL,CO_LOLITA,commissaire_aux_comptes,corporate,probable,gazette_dated,SP_4d31386095ac61641d1c
yearly:2008,yearly,2008-01-01,2008-12-31,PERSON_MZABI_MOHAMED_MONCEF,CO_IMMOBILIERE_PROVIDENCE,gerant,corporate,certain,gazette_dated,SP_cc1efd9cb116b6dbaa5a
yearly:2008,yearly,2008-01-01,2008-12-31,PERSON_MABROUK_AMEL_BOCHRA,CO_A_PART,gerant,corporate,certain,gazette_dated,SP_705f93b1ba6775d226b9
yearly:2008,yearly,2008-01-01,2008-12-31,PERSON_RABAOUI_MAHMOUD,CO_CRACOCARTE_TUNISIE,gerant,corporate,certain,gazette_dated,SP_31fa8f9ad95e98d8e6da
yearly:2008,yearly,2008-01-01,2008-12-31,PERSON_ELOUMI_YADH,CO_COMPAGNIE_HOTELIERE_CENTRES_VILLES,commissaire_aux_comptes,corporate,probable,gazette_dated,SP_c7f85d7e1f01d4b45305
yearly:2008,yearly,2008-01-01,2008-12-31,PERSON_BENSEDRINE_KARIM,CO_INTERIMA,gerant,corporate,certain,gazette_dated,SP_d4e3c025d2970fb984d8
yearly:2008,yearly,2008-01-01,2008-12-31,PERSON_ABAS_FERID,ORGMENTION_TANKOIL,gerant,corporate,probable,gazette_dated,SP_cf546d6855e0fb8c3e73
yearly:2008,yearly,2008-01-01,2008-12-31,PERSON_ABAS_SADREDINE,ORGMENTION_TANKOIL,gerant,corporate,certain,gazette_dated,SP_358c2dfb2481ca034ca9
yearly:2008,yearly,2008-01-01,2008-12-31,PERSON_BENAYED_RAFIK,ORGMENTION_Energy Trading Company E T C » - SA,administrateur,corporate,certain,gazette_dated,SP_98e31f33845b68b088c6
yearly:2008,yearly,2008-01-01,2008-12-31,PERSON_BENAYED_ABDESALEM,ORGMENTION_Energy Trading Company E T C » - SA,pdg,corporate,certain,gazette_dated,SP_986b479252f278c23e11
yearly:2008,yearly,2008-01-01,2008-12-31,PERSON_JEBRI_YOUNES,CO_JBM_ORGANISATION,gerant,corporate,certain,gazette_dated,SP_274f2e083fe28d987ad8
yearly:2008,yearly,2008-01-01,2008-12-31,PERSON_HAMAMI_MOUNIR,CO_HOLY_INFORMATIQUE,gerant,corporate,certain,gazette_dated,SP_f87288262272fe872d18
yearly:2008,yearly,2008-01-01,2008-12-31,PERSON_BRAHEM_LOTFI,CO_BRIQUETERIE_BRAHEM_COMPAGNIE,gerant,corporate,certain,gazette_dated,SP_4f079baa442b6f3420de
yearly:2008,yearly,2008-01-01,2008-12-31,PERSON_ESAFI_NEJIB,CO_INTERNATIONAL_SICAR,dg,corporate,probable,gazette_dated,SP_709d6ebf477454cf16ab
yearly:2008,yearly,2008-01-01,2008-12-31,PERSON_LANGAR_SLAHEDINE,CO_DAKHLA,dg,corporate,certain,gazette_dated,SP_6a7117ca158d269a1223
yearly:2008,yearly,2008-01-01,2008-12-31,PERSON_MABROUK_ALI,CO_GENERALE_D_ENTREPRISES_MATERIEL_TRAVAUX_SOMATRA_GET,administrateur,corporate,certain,gazette_dated,SP_9d96b469fee775e17f9e
yearly:2008,yearly,2008-01-01,2008-12-31,PERSON_SLAMA_ALI,CO_GENERALE_INDUSTRIELLE_ALIMENTAIRE_SLAMA,administrateur,corporate,certain,gazette_dated,SP_f5de22a4a5c584304b7e
yearly:2008,yearly,2008-01-01,2008-12-31,PERSON_SLAMA_FAOUZIA_KHALFALAH,CO_GENERALE_INDUSTRIELLE_ALIMENTAIRE_SLAMA,administrateur,corporate,certain,gazette_dated,SP_822254c4bd97aa71a121
yearly:2008,yearly,2008-01-01,2008-12-31,PERSON_SLAMA_GHASEN,CO_GENERALE_INDUSTRIELLE_ALIMENTAIRE_SLAMA,administrateur,corporate,certain,gazette_dated,SP_47efdada3699a4906130
yearly:2008,yearly,2008-01-01,2008-12-31,PERSON_SLAMA_CHIHEBEDINE,CO_GENERALE_INDUSTRIELLE_ALIMENTAIRE_SLAMA,administrateur,corporate,certain,gazette_dated,SP_6ffe683f292976934d40
yearly:2008,yearly,2008-01-01,2008-12-31,PERSON_SLAMA_ALI,CO_GENERALE_INDUSTRIELLE_ALIMENTAIRE_SLAMA,president_ca,corporate,probable,gazette_dated,SP_a5314bde48f17be55ac7
yearly:2008,yearly,2008-01-01,2008-12-31,PERSON_SLAMA_FAOUZIA_KHALFALAH,CO_GENERALE_INDUSTRIELLE_ALIMENTAIRE_SLAMA,dg,corporate,probable,gazette_dated,SP_3218a05f5b66ad7f9bdf
yearly:2008,yearly,2008-01-01,2008-12-31,PERSON_SLAMA_GHASEN,CO_GENERALE_INDUSTRIELLE_ALIMENTAIRE_SLAMA,dga,corporate,probable,gazette_dated,SP_aabf4469c05e5cdfe5d6
yearly:2008,yearly,2008-01-01,2008-12-31,PERSON_BENTANFOUS_CHOKRI,CO_CAP_TAGUERMESS_CENTER,administrateur,corporate,probable,gazette_dated,SP_c724ff28ef14aeca9999
yearly:2008,yearly,2008-01-01,2008-12-31,PERSON_BENTANFOUS_MOHAMED_NEJIB,CO_CAP_TAGUERMESS_CENTER,administrateur,corporate,probable,gazette_dated,SP_14e1f57e4ec3da121522
yearly:2008,yearly,2008-01-01,2008-12-31,PERSON_BENTANFOUS_CHAWKI,CO_CAP_TAGUERMESS_CENTER,administrateur,corporate,probable,gazette_dated,SP_a9ea51474ccbf09035e5
yearly:2008,yearly,2008-01-01,2008-12-31,PERSON_BENTANFOUS_CHOKRI,CO_CAP_TAGUERMESS_CENTER,pdg,corporate,probable,gazette_dated,SP_d98dd47e98f4c72cb475
yearly:2008,yearly,2008-01-01,2008-12-31,PERSON_BENYOUSEF_MOHAMED_NABIL,CO_IMPRIMERIE_LORIENT,cogerant,corporate,probable,gazette_dated,SP_0e7e8b4b471ebef3bb39
yearly:2008,yearly,2008-01-01,2008-12-31,PERSON_CHAABANE_TIJANI,CO_DORCAS_NUTRITION,commissaire_aux_comptes,corporate,certain,gazette_dated,SP_01a3130a329b8973aa37
yearly:2008,yearly,2008-01-01,2008-12-31,PERSON_BENSEDRINE_SAMI,CO_BOUHAIRA_INTERNATIONNAL_TRADING,cogerant,corporate,certain,gazette_dated,SP_d02a48bc28cdc9b2ec0f
yearly:2008,yearly,2008-01-01,2008-12-31,PERSON_HAMAMI_YASER,CO_IDPROD,gerant,corporate,certain,gazette_dated,SP_a93549fe84308600ca04
yearly:2008,yearly,2008-01-01,2008-12-31,PERSON_BOUAOUAJA_MALEK,CO_ZITA_TRAVEL,administrateur,corporate,certain,gazette_dated,SP_8e39dabbdd41a9465dd0
yearly:2008,yearly,2008-01-01,2008-12-31,PERSON_BOUAOUAJA_MARIEM,CO_ZITA_TRAVEL,administrateur,corporate,certain,gazette_dated,SP_5107a1e868b880e1db09
yearly:2008,yearly,2008-01-01,2008-12-31,PERSON_BENAMAR_MOURAD,CO_DINDOUX,pdg,corporate,certain,gazette_dated,SP_46af1f38857591e11d79
yearly:2008,yearly,2008-01-01,2008-12-31,PERSON_ZAHAF_SLAHEDINE,CO_TUNISIENNE_FABRICATION_PEINTURE_SOTUFAP,commissaire_aux_comptes,corporate,certain,gazette_dated,SP_606914394c6e4130033b
