entity_id,entity_type,alias_raw,matching_key
F04b0bc88bf,firm,Le volet qualité et sécurité des soins du projet d'établissement,le volet qualite et securite des soins du projet d etablissement
F04b1b2441a,firm,Assurances HAYETT,assurances hayett
F04b1bd6cd7,firm,COTUNACE -CTA -CTAMA -EL,cotunace cta ctama el
F04da66eddc,firm,CTKD,ctkd
F04e53b051e,firm,d'émission et d'admission au marché obligataire de la cote de la bourse,d emission et d admission au marche obligataire de la cote de la bourse
F05055e2d32,firm,Prêts et garanties accordées en faveur des membres,prets et garanties accordees en faveur des membres
F0507443873,firm,ASTREE Assurances représentée par M Hassen JAZIRI,astree assurances representee par hassen jaziri
F050a290905,firm,HL,hl
F05218abd71,firm,CARTHAGE MEDICAL,carthage medical
F0521d5eb99,firm,M.PHILIPPE,philippe
F0525336809,firm,SOCIETE AGRICOLE SAOUEF SA,agricole saouef
F0534c110c7,firm,Acquisition 2014,acquisition 2014
F053b1e57d3,firm,Régie Nationale des Tabacs,regie nationale des tabacs
F054bd47d0c,firm,KUWAIT INVESTMENT AUTHORITY,kuwait investment authority
F054bd47d0c,firm,Kuwait Investment Authority,kuwait investment authority
F054bd47d0c,firm,Kuwait Investment Authority - KIA,kuwait investment authority
F054bd47d0c,firm,Kuwait Investment Authority*,kuwait investment authority
F054bd47d0c,firm,Kuwaït Investment Authority,kuwait investment authority
F054bd47d0c,firm,Kuwaït Investment Authority (représenté par Monsieur Hilal AL MUTAIRI),kuwait investment authority
F054bd47d0c,firm,Kuwaït Investment Authority - KIA,kuwait investment authority
F054bd47d0c,firm,Kuwaït Investment Authority - KIA (représenté par Monsieur Mohamed Saad AL MUNAIFI),kuwait investment authority
F0554f942ff,firm,COMPAGNIE TUNISIENNE POUR L’ASSURANCE DU COMMERCE EXTERIEUR,compagnie tunisienne pour l assurance du commerce exterieur
F0556751486,firm,Société Tunisienne d’Engrais Chimiques STEC,tunisienne d engrais chimiques stec
F056c628c1f,firm,Mohamed EL MONCER Administrateur,mohamed el moncer administrateur
F057d93834f,firm,Société d’ingénierie financière et d’intermédiation en bourse (SIFIB),d ingenierie financiere et d intermediation en bourse sifib
F0590bcb4f4,firm,"CLUB""",club
F0590bcb4f4,firm,CLUB),club
F05c8a30b5c,firm,Societe Anonyme,anonyme
F05c8a30b5c,firm,Société Anonyme,anonyme
F05cf4f51ba,firm,YKH Holding ET SHCI. Président du Conseil d'Administration des sociétés Plastic Tunisie,ykh holding et shci president du conseil d administration des societes plastic tunisie
F05da803939,firm,STE EL IMRAN,el imran
F05dc54ad87,firm,SMART INANCE,smart inance
F05f0d8e92b,firm,Wafasalaf,wafasalaf
F06088908dc,firm,"r*ja|i.i""i:i",r ja ii i i
F060d6af872,firm,Mme. Inès Zalila épouse Hidoussi,ines zalila epouse hidoussi
F060e31294f,firm,DGA Aures Auto,dga aures auto
F0627d37aaf,firm,BEN BRAHIM FERID ALI,ben brahim ferid ali
F06343da44b,firm,"Les comités peuvent, lorsqu'ils",les comites peuvent lorsqu ils
F0641c7f871,firm,SWIFT,swift
F0649052ed7,firm,MINISTERE DE L'ENERGIE ET DES MINES,ministere de l energie et des mines
F0649980efb,firm,« Serenity Capital Finance Holding » nommée en qualité,serenity capital finance holding nommee en qualite
F065d76aad9,firm,Le tableau suivant illustre les chiffres et les variations observées,le tableau suivant illustre les chiffres et les variations observees
F0669684350,firm,Clinique les Jasmins,clinique les jasmins
F06718589c8,firm,Taux d'intérêfi,taux d interefi
F0688f3ae80,firm,DISTRIBUTION,distribution
F0688f3ae80,firm,Distribution,distribution
F06af3c3c5c,firm,La société PGI Holding,la pgi holding
F06b06ff51e,firm,Société Sunisienne des Industries de Fneumatiques,sunisienne des industries de fneumatiques
F06bb54da84,firm,"Risques Divers (Vol, Dégâts des",risques divers vol degats des
F06bb54dd38,firm,Les provisions ainsi comptabilisées au titre de,les provisions ainsi comptabilisees au titre de
F06cd1f7240,firm,"Comptable), société inscrite au tableau de",comptable inscrite au tableau de
F06d122d9c5,firm,Dans le cadre de la loi relative au renforcement de la,dans le cadre de la loi relative au renforcement de la
F06e18432f2,firm,Banque Attijari de Tunisie -Attijari bank,banque attijari de tunisie attijari bank
F06f49a7e90,firm,PROMEX,promex
F07021dc826,firm,Société Générale Financière,generale financiere
F07142bae62,firm,Saciété,saciete
F0738569ac5,firm,BrahimAnane,brahimanane
F073d7df604,firm,Un compte rendu écrit des séances des Comités est établi et,un compte rendu ecrit des seances des comites est etabli et
F073e68c11e,firm,CIL Immobilière,cil immobiliere
F07513ab9f2,firm,"""H.THALASSA MAHDIA""",h thalassa mahdia
F075c3eb7af,firm,VARNER HOLDINGS LTD-ILE JERSEY CHANNEL,varner holdings ile jersey channel
