movement_id,event_type,is_result,event_date,event_year,event_date_source,target_id,target_name,target_name_raw,price_tnd,pct_stated,pct_max_stated,shares_sought,shares_acquired,shares_stated,capital_before_tnd,capital_after_tnd,capital_stated_tnd,capital_method,new_shares,listing_event,delisting_date,market,isin,ticker,open_date,close_date,decision_date,doc_node_key,doc_type,doc_title,doc_url,doc_sha256,filing_date
MV39d5a4eea268,augmentation_capital,False,2007-04-26,2007,decision_date,Fd228d2488b,CIL,CIL,,,,,,,12500000.0,15000000.0,,émission de 1 000 000 actions nouvelles gratuites à réaliser,1000000.0,,,,,,,,2007-04-26,augmentation-de-capital-par-incorporation-de-r%C3%A9serves-%C2%A0cil-1,operation_sur_capital,Augmentation de capital par incorporation de réserves : CIL,https://www.cmf.tn/sites/default/files/pdfs/emetteurs/capital/autres/annonce_augmt_cap_CIL.pdf,7fd391c07d4a7da5466e3b66ea17b0e1fad168f2203b0de164dec5ea28a3a798,2008-12-23
MV5122b8c47ae5,opv_prix_ouvert,False,2007-05-25,2007,filing_date,F11c48a0d6b,ADWYA,ADWYA,,,,,,,,,,,,,,,TN0007250012,,,,,visa-n%C2%B0-07-571-du-25-mai-2007%C2%A0-prospectus-doffre-publique-de-vente-et-dadmission-%C3%A0-la-cote-de-la,offre_publique,Visa n° 07 - 571 du 25 mai 2007 : Prospectus d'Offre Publique de Vente et d'Admission à la cote de la Bourse des actions de la société ADWYA,https://www.cmf.tn/sites/default/files/pdfs/emetteurs/informations/offres/offr_public_07-571_adwya.pdf,14a22b0cd192947fa5ee550821ee136aa6d6b4985dce8aa4232a0969334e1193,2007-05-25
MV890ab203bf5b,opv_prix_ouvert,True,2007-06-13,2007,close_date,F11c48a0d6b,ADWYA,ADWYA,,,,3000320.0,,,,,,,,admission,,Marché des titres de capital de la Cote de la,,,2007-06-05,2007-06-13,,r%C3%A9sultat-de-lopv-sur-les-actions-de-la-soci%C3%A9t%C3%A9%C2%A0adwya,offre_publique,Résultat de l'OPV sur les actions de la société ADWYA,https://www.cmf.tn/sites/default/files/pdfs/emetteurs/informations/offres/resultat_opv_adwya07.pdf,80a46b3351b309ee7918c8347358d8b66550c2cf7e8924b819284e38bfe7265d,2007-06-21
MVb406c9aca021,opf_prix_ferme,False,2008-03-17,2008,filing_date,Fc0bded7ec1,Automobile Réseau Tunisien et Services - ARTES SA,Automobile Réseau Tunisien et Services - ARTES SA,,9.42,16.18,,,2402100.0,,,,,,,,,TN0007300015,,,,,offre-%C3%A0-prix-ferme-opf-placement-garanti-et-admission-au-march%C3%A9-principal-de-la-cote-de-la-bourse-0,offre_publique,Offre à Prix Ferme OPF Placement Garanti et admission au marché principal de la cote de la bourse actions de la société Automobile Réseau Tunisien et Services ARTES,https://www.cmf.tn/sites/default/files/pdfs/emetteurs/informations/offres/opf_artes_08.pdf,ea47b51235654de3fd6ece6f82a12754a8e406aabcdccee99ad56900489e2a46,2008-03-17
MV956d519ea35c,opr_retrait,True,2008-06-26,2008,filing_date,F780dea5623,KARTHAGO AIRLINES,KARTHAGO AIRLINES,,,,,172461.0,,,,,,,,,,,,,,,resultat-de-loffre-publique-de-retrait-sur-les-actions-de-la-soci%C3%A9t%C3%A9-%C2%A0karthago-airlines,offre_publique,Resultat de l'offre publique de retrait sur les actions de la société : KARTHAGO AIRLINES,https://www.cmf.tn/sites/default/files/pdfs/emetteurs/informations/offres/OPR_Karthago.pdf,31bd8ac08957db2aa86b1975f519bf82e99e26d0515ae5c09cf538219f632bd2,2008-06-26
MV6c1956b234aa,opf_prix_ferme,True,2008-08-06,2008,close_date,F19de8bda98,POULINA GROUP HOLDING,POULINA GROUP HOLDING,,,,,,,,,,,16670000.0,admission,,Marché Principal des titres de capital de la C,,,2008-07-24,2008-08-06,,r%C3%A9sultat-de-loffre-publique-sur-les-actions-de-la-soci%C3%A9t%C3%A9%C2%A0poulina-group-holding%C2%A0-pgh,offre_publique,Résultat de l'offre publique sur les actions de la société POULINA GROUP HOLDING - PGH -,https://www.cmf.tn/sites/default/files/pdfs/emetteurs/informations/offres/resultat_opf_PGH_POULINA_08.pdf,3f3ea7a0f973df6c19a3cacda4c708068ae1826d4bf1a7446c2cfe3be5975c94,2008-08-12
MVf21edba27857,opf_prix_ferme,True,2008-08-06,2008,close_date,F19de8bda98,POULINA GROUP HOLDING,POULINA GROUP HOLDING,,,,,,,,,,,16670000.0,admission,,Marché Principal des titres de capital de la C,,,2008-07-24,2008-08-06,,r%C3%A9sultat-de-loffre-publique-sur-les-actions-de-la-soci%C3%A9t%C3%A9-poulina-group-holding-pgh,offre_publique,Résultat de l'offre publique sur les actions de la société POULINA GROUP HOLDING - PGH -,https://www.cmf.tn/sites/default/files/pdfs/emetteurs/informations/offres/resultat_opf_PGH_POULINA_08_0.pdf,3f3ea7a0f973df6c19a3cacda4c708068ae1826d4bf1a7446c2cfe3be5975c94,2008-07-27
MVc69437e2b125,opf_prix_ferme,False,2008-08-12,2008,filing_date,F19de8bda98,POULINA GROUP HOLDING,POULINA GROUP HOLDING,5.355,10.0,56.06,,,16670000.0,150000000.0,166670000.0,,souscription en numéraire d’un montant de 16 670 000,16670000.0,,,,,,,,,offre-%C3%A0-prix-ferme-opf-placement-garanti-et-admission-au-march%C3%A9-principal-de-la-cote-de-la-bourse,offre_publique,Offre à Prix Ferme OPF Placement Garanti et admission au marché principal de la cote de la bourse des des actions de la société POULINA GROUP HOLDING - PGH -,https://www.cmf.tn/sites/default/files/pdfs/emetteurs/informations/offres/opf_PGH_POULINA_08.pdf,d2aa33a1a2eb646f9d42e8a434dece86a563866aba00dc902cc2f7d4e5bd5422,2008-08-12
MV0b248c5fe773,opv_prix_ouvert,False,2008-10-13,2008,close_date,Ffd6ca150e0,STAR,STAR,,,,,,,15000000.0,23076930.0,,émission d’actions nouvelles i,807693.0,,,,,,2008-09-26,2008-10-13,,augmentation-de-capital-en-num%C3%A9raire-sans-recours-%C3%A0-l%E2%80%99appel-public-%C3%A0-l%E2%80%99%C3%A9pargne-%C2%A0star,operation_sur_capital,Augmentation de capital en numéraire sans recours à l’appel public à l’épargne : STAR,https://www.cmf.tn/sites/default/files/pdfs/emetteurs/capital/autres/annonce_augmt_cap_star_08.pdf,ab292bc70926778a73bd83015d4bdc802cd7807f8b5b58d54e0acd2e8d37a9c6,2008-07-05
MV20f61f1400b0,augmentation_capital,False,2008-12-15,2008,filing_date,Fd09f7228a5,HANNIBAL LEASE,Hannibal Lease,11.0,,,,,,,,,,1000000.0,,,,,,,,,hannibal-lease-1,augmentation_de_capital,HANNIBAL LEASE,https://www.cmf.tn/sites/default/files/pdfs/emetteurs/capital/augmentation/augmt_cap_rea_HL_08.pdf,7490c8374fc67ebe5b55197c2635afc3fac6b89505c85962e5eaaec4327c5946,2008-12-15
