entity_id,firm_name,listing_event,event_date,event_year,market,isin,ticker,doc_node_key,doc_url
F11c48a0d6b,ADWYA,admission,2007-06-13,2007,Marché des titres de capital de la Cote de la,,,r%C3%A9sultat-de-lopv-sur-les-actions-de-la-soci%C3%A9t%C3%A9%C2%A0adwya,https://www.cmf.tn/sites/default/files/pdfs/emetteurs/informations/offres/resultat_opv_adwya07.pdf
F19de8bda98,POULINA GROUP HOLDING,admission,2008-08-06,2008,Marché Principal des titres de capital de la C,,,r%C3%A9sultat-de-loffre-publique-sur-les-actions-de-la-soci%C3%A9t%C3%A9%C2%A0poulina-group-holding%C2%A0-pgh,https://www.cmf.tn/sites/default/files/pdfs/emetteurs/informations/offres/resultat_opf_PGH_POULINA_08.pdf
F19de8bda98,POULINA GROUP HOLDING,admission,2008-08-06,2008,Marché Principal des titres de capital de la C,,,r%C3%A9sultat-de-loffre-publique-sur-les-actions-de-la-soci%C3%A9t%C3%A9-poulina-group-holding-pgh,https://www.cmf.tn/sites/default/files/pdfs/emetteurs/informations/offres/resultat_opf_PGH_POULINA_08_0.pdf
F3cac6a80dd,CIMENTS DE BIZERTE,admission,2009-09-30,2009,Marché Principal des titres de capital de la C,,,r%C3%A9sultat-de-loffre-%C3%A0-prix-ferme-sur-les-actions-de-la-soci%C3%A9t%C3%A9%C2%A0%C2%AB-les-ciments-de-bizerte-%C2%BB,https://www.cmf.tn/sites/default/files/pdfs/emetteurs/informations/offres/opf_Ciments_de_Bizerte_09.pdf
Ff81f5bf1cc,Assurances SALIM,admission,2010-03-12,2010,Marché Principal des titres de capital de la C,,,r%C3%A9sultat-de-l%E2%80%99offre-%C3%A0-prix-ferme-sur-les-actions-de-la-soci%C3%A9t%C3%A9%C2%A0%C2%AB-assurances-salim-%C2%BB,https://www.cmf.tn/sites/default/files/pdfs/emetteurs/informations/offres/resultat_opf_salim.pdf
F012dffff0e,TUNIS RE,admission,2010-04-16,2010,Marché Principal des titres de capital de la C,,,r%C3%A9sultat-de-l%E2%80%99offre-%C3%A0-prix-ferme-sur-les-actions-de-la-soci%C3%A9t%C3%A9%C2%A0%C2%AB-tunis-re-%C2%BB,https://www.cmf.tn/sites/default/files/pdfs/emetteurs/informations/offres/resultat_opf_Tunis-RE.pdf
Ff9b9132a52,CARTHAGE CEMENT,admission,2010-06-02,2010,Marché Alternatif des titres de capital de la,,,r%C3%A9sultat-de-l%E2%80%99offre-%C3%A0-prix-ferme-le-placement-garanti-sur-les-actions-de-la-st%C3%A9%C2%A0%C2%AB-carthage-cement%C2%BB,https://www.cmf.tn/sites/default/files/pdfs/emetteurs/informations/offres/resultat_opf_CARTHAGE_CEMENT.pdf
F579df07611,ENNAKL AUTOMOBILES,admission,2010-06-29,2010,Marché Principal des titres de capital de la C,TN0007410012,,avis-de-la-bourse-r%C3%A9sultat-de-loffre-%C3%A0-prix-ferme-le-placement-garanti-sur-les-actions-de-la-soci%C3%A9t%C3%A9,https://www.cmf.tn/sites/default/files/pdfs/emetteurs/informations/offres/avis_bourse_120710_ennakl.pdf
F2d5c846e3d,MODERN LEASING,admission,2010-11-08,2010,Marché Principal des titres de capital de la C,,,r%C3%A9sultat-de-l%E2%80%99offre-%C3%A0-prix-ferme-sur-les-actions-de-la-soci%C3%A9t%C3%A9%C2%A0%C2%AB-modern-leasing-%C2%BB,https://www.cmf.tn/sites/default/files/pdfs/emetteurs/informations/offres/avis_bourse_151110_MODERN_LEASING.pdf
F71b6d7613f,TELNET HOLDING,admission,2011-05-10,2011,Marché Principal des titres de capital de la C,TN0007440019,,r%C3%A9sultat-de-l%E2%80%99offre-%C3%A0-prix-ferme-sur-les-actions-de-la-soci%C3%A9t%C3%A9%C2%A0%C2%AB-telnet-holding-%C2%BB,https://www.cmf.tn/sites/default/files/pdfs/emetteurs/informations/offres/avis_bourse_170511_TELNET_HOLDING.pdf
