entity_id,canonical_name,year,channel,category,tenure,counterpart,counterpart_id,stake_pct,layer,detail,doc_type,doc_url,page,from_ocr
Ffd39baa803,"""HOTEL DALIA""",2019,public_bank,public_bank_equity,,STB,Fede9a2bb70,,group_participation,,document_de_reference,https://www.cmf.tn/sites/default/files/pdfs/emetteurs/informations/references/document_de_reference_emprunt_societe_tunisienne_de_banque2019-1_version_finale125092019_correction_finale_cfm_site_cmf.pdf,132,0
Ffe07937b57,"""THALASSA""",2019,public_bank,public_bank_equity,,STB,Fede9a2bb70,,group_participation,,document_de_reference,https://www.cmf.tn/sites/default/files/pdfs/emetteurs/informations/references/document_de_reference_emprunt_societe_tunisienne_de_banque2019-1_version_finale125092019_correction_finale_cfm_site_cmf.pdf,138,0
Fc72a970826,(Créé lors du CA du 02 octobre 2018),2015,public_bank,public_bank_seat,,STB,Fede9a2bb70,,board_seat_corporate,,rapport_annuel,https://www.cmf.tn/sites/default/files/pdfs/emetteurs/informations/rapports-societes/rapport_stb_2023.pdf,16,0
F857de2d5c6,(ESMERALDA),2019,public_bank,public_bank_equity,,STB,Fede9a2bb70,,group_participation,,document_de_reference,https://www.cmf.tn/sites/default/files/pdfs/emetteurs/informations/references/document_de_reference_emprunt_societe_tunisienne_de_banque2019-1_version_finale125092019_correction_finale_cfm_site_cmf.pdf,138,0
F27513dc710,(créé lors du CA du 12 décembre 2006),2006,public_bank,public_bank_seat,,STB,Fede9a2bb70,,board_seat_corporate,,rapport_annuel,https://www.cmf.tn/sites/default/files/pdfs/emetteurs/informations/rapports-societes/rapport_stb_2021.pdf,18,0
F510e33783f,/e Comité de Nomination,2012,public_bank,public_bank_seat,,BH BANK,F5038da9360,,board_seat_corporate,,rapport_annuel,https://www.cmf.tn/sites/default/files/pdfs/emetteurs/informations/rapports-societes/rapport_annuel_bh_2012.pdf,10,1
F11c48a0d6b,ADWYA,2013,state_ownership,state_shareholder,,État Tunisien,S0000000a01,,ownership,,rapport_annuel,https://www.cmf.tn/sites/default/files/pdfs/emetteurs/informations/rapports-societes/rapport_annuel_adwya_2014.pdf,8,1
F11c48a0d6b,ADWYA,2016,state_board,state_organ_seat,,État Tunisien,S0000000a01,,board_seat_corporate,,rapport_annuel,https://www.cmf.tn/sites/default/files/pdfs/emetteurs/informations/rapports-societes/rapport_annuel_adwya_2016.pdf,11,1
F11c48a0d6b,ADWYA,2018,state_board,state_organ_seat,,État Tunisien,S0000000a01,,board_seat_corporate,,rapport_annuel,https://www.cmf.tn/sites/default/files/pdfs/emetteurs/informations/rapports-societes/rapport_adwya_2018.pdf,18,0
F11c48a0d6b,ADWYA,2018,state_ownership,state_shareholder,,État Tunisien,S0000000a01,,ownership,,rapport_annuel,https://www.cmf.tn/sites/default/files/pdfs/emetteurs/informations/rapports-societes/rapport_adwya_2018.pdf,16,0
F11c48a0d6b,ADWYA,2021,officeholder,state_representative,current,Administrateurs - Representant l'Etat Tunisien **,,,board,Administrateurs - Representant l'Etat Tunisien **  Administrateurs - Representant l'Etat Tunisien ** board_seat 4.3 Rôle du Conseil d’Administration et de la Di,rapport_annuel,https://www.cmf.tn/sites/default/files/pdfs/emetteurs/informations/rapports-societes/rapport_adwya_2021.pdf,10,0
Fd81c43d168,AFRIQUE ASSISTANCE,2024,public_bank,public_bank_interlock,,STB,Fede9a2bb70,,board_interlock,,derived,,,
Fd81c43d168,AFRIQUE ASSISTANCE,2026,public_bank,public_bank_interlock,,STB,Fede9a2bb70,,board_interlock,,derived,,,
F8430f99c1c,"AGENCE TUNISIENNE D'INTERNET ""ATI""",2015,public_bank,public_bank_equity,,STB,Fede9a2bb70,,group_participation,,document_de_reference,https://www.cmf.tn/sites/default/files/pdfs/emetteurs/informations/references/doc_reference_%20STB_2015_0.pdf,120,0
F7cee7fd08c,AIL,2012,public_bank,public_bank_seat,,STB,Fede9a2bb70,,board_seat_corporate,,document_de_reference,https://www.cmf.tn/sites/default/files/pdfs/emetteurs/informations/references/doc_reference_AIL_2013.pdf,144,0
F7cee7fd08c,AIL,2013,public_bank,public_bank_seat,,STB,Fede9a2bb70,,board_seat_corporate,,document_de_reference,https://www.cmf.tn/sites/default/files/pdfs/emetteurs/informations/references/doc_reference_AIL_2014.pdf,177,0
