entity_id,entity_type,canonical_name,is_bvmt_listed,isin,ticker,name_ar,bvmt_group_label,n_aliases,aliases
A001ff641f9,aggregate,[Autres personnes morales,0,,,,,1,[Autres personnes morales
A1f2685326b,aggregate,[Personnes physiques,0,,,,,1,[Personnes physiques
A711dabba42,aggregate,Actionnaires titulaires des actions dividendes prioritaires (ADP),0,,,,,1,Actionnaires titulaires des actions dividendes prioritaires (ADP)
Aa77dc5ca29,aggregate,Petits porteurs,0,,,,,1,Petits porteurs
Aabad250fd7,aggregate,Actionnaires 5,0,,,,,1,Actionnaires 5
Aabe3b2dbde,aggregate,Actionnaires Nombre Montant en TND %,0,,,,,1,Actionnaires Nombre Montant en TND %
Ab2cae41628,aggregate,Actionnaires tu nisiens,0,,,,,1,Actionnaires tu nisiens
Abe9a211723,aggregate,TOOTAL,0,,,,,1,TOOTAL
Ac9fe0046a1,aggregate,* Personnes Physiques : Ayant 3% et plus,0,,,,,1,* Personnes Physiques : Ayant 3% et plus
Acdc21035b8,aggregate,* Personnes Morales : Société Générale,0,,,,,1,* Personnes Morales : Société Générale
Ae132f8eac7,aggregate,Actionnaires titulaires des actions à dividende prioritaire (ADP),0,,,,,1,Actionnaires titulaires des actions à dividende prioritaire (ADP)
Ae242b7cd6f,aggregate,T O T A L,0,,,,,1,T O T A L
Ae45629a280,aggregate,ACCTIONNAIRES TUNISIENS,0,,,,,1,ACCTIONNAIRES TUNISIENS
Afd3ad6a923,aggregate,* Personnes Morales : Société Tunisienne de l’Air Groupe Atef BEN SLIMANE,0,,,,,1,* Personnes Morales : Société Tunisienne de l’Air Groupe Atef BEN SLIMANE
F0008246370,firm,"""RAIS CLUB""",0,,,,,1,"""RAIS CLUB"""
F000ee7892a,firm,(Président Directeur Général et deux,0,,,,,1,(Président Directeur Général et deux
F001486dd1f,firm,S.O.D.I.N.O,0,,,,,2,S.O.D.I.N.O | SODINO
F0038f7db29,firm,FCPR FONDS DE DEVELOPLOMENT REGIONAL 2,0,,,,,1,FCPR FONDS DE DEVELOPLOMENT REGIONAL 2
F004e4724b2,firm,SOCIETE LE GOLF DES OASIS,0,,,,,2,SOCIETE LE GOLF DES OASIS | STE LE GOLF DES OASIS
F006b8af0a7,firm,F.I.G,0,,,,,1,F.I.G
F007886723c,firm,Fonds Innovatech,0,,,,,1,Fonds Innovatech
F007ab3168b,firm,L'objectif du Comite est d'assister Le Conseil notamment dans,0,,,,,1,L'objectif du Comite est d'assister Le Conseil notamment dans
F009a1c823e,firm,TUNISAIR,1,TN0001200401,TAIR,الخطوط التونسية,suspended_other,1,TUNISAIR
F00c1dbb20f,firm,PDG AMEN PREMIERE,0,,,,,1,PDG AMEN PREMIERE
F00da406b36,firm,Depuis aout 2009 : Directeur Général,0,,,,,1,Depuis aout 2009 : Directeur Général
F00dcb40f72,firm,BTE – SICAR 300 000 10 3 000 000,0,,,,,1,BTE – SICAR 300 000 10 3 000 000
F012dffff0e,firm,Tunis RE,1,TN0007380017,TRE,الشركة التونسية لإعادة التأمين,fixing,5,TUNIS RE | Tunis RE | Tunis Re | Tunis Ré | Tunis Ré * *
F018620c8fd,firm,Ancien Président du Conseil de BTK LEASING,0,,,,,1,Ancien Président du Conseil de BTK LEASING
F01af86ea80,firm,Directeur de la Filière Banque de Gros au sein du Groupe ABC,0,,,,,1,Directeur de la Filière Banque de Gros au sein du Groupe ABC
F01d45f0329,firm,Administrateur dans la sociétés NIDA,0,,,,,1,Administrateur dans la sociétés NIDA
F01f3abafb2,firm,Investrust,0,,,,,1,Investrust
F0222b62534,firm,Trois chartes ont été élaborées arrêtant,0,,,,,1,Trois chartes ont été élaborées arrêtant
F0228d8302d,firm,STE CAP CARTHAGE,0,,,,,1,STE CAP CARTHAGE
F022f92493a,firm,IFICO,0,,,,,1,IFICO
F024caad149,firm,Retraité Ministère des Finances - Ancien PDG de la Régie des Alcools,0,,,,,1,Retraité Ministère des Finances - Ancien PDG de la Régie des Alcools
F0251988d15,firm,PDG du cabinet HB Consulting,0,,,,,1,PDG du cabinet HB Consulting
F029954fbba,firm,El Amana Takaful,0,,,,,1,El Amana Takaful
F02a79bb5cd,firm,de l'inspection à la STUSID BANK,0,,,,,1,de l'inspection à la STUSID BANK
F02bb5dcf04,firm,PIMA,0,,,,,1,PIMA
F02d5eabf6a,firm,CAP OBLIG SICAV,0,,,,,1,CAP OBLIG SICAV
F02d76e1977,firm,FINANCIERE D'INVESTISSEMENT -SOFI SICAF- Il,0,,,,,1,FINANCIERE D'INVESTISSEMENT -SOFI SICAF- Il
F02e0dc8e58,firm,BTK Invest Holding S.A,0,,,,,1,BTK Invest Holding S.A
F0307c17d0c,firm,Ennakl Automobile – QNB Bank,0,,,,,1,Ennakl Automobile – QNB Bank
F031875c093,firm,Directeur Général de la Banque Populaire Val de France,0,,,,,1,Directeur Général de la Banque Populaire Val de France
F031e224ef1,firm,"""H.LIBERTY""",0,,,,,1,"""H.LIBERTY"""
F031f8dac30,firm,"Siège 45, avenue Kheireddine Pacha 1002 TUNIS",0,,,,,1,"Siège 45, avenue Kheireddine Pacha 1002 TUNIS"
F03359254d6,firm,Objet social Entreprendre toutes opérations d'Assurances et,0,,,,,1,Objet social Entreprendre toutes opérations d'Assurances et
F0370b09048,firm,Les charges d'exploitation,0,,,,,1,Les charges d'exploitation
F038c0f07ba,firm,Membre représentant PGI holding,0,,,,,1,Membre représentant PGI holding
F03937e7ee2,firm,10. SOCIETE ED DKHILA,0,,,,,1,10. SOCIETE ED DKHILA
F03b39a6862,firm,Mr Mehrez RIAHI,0,,,,,1,Mr Mehrez RIAHI
F03b8b16320,firm,Houssem BEN OTHMEN (2007),0,,,,,1,Houssem BEN OTHMEN (2007)
F03bbdc9c80,firm,5) Affectation des résultats de l'exercice 2005,0,,,,,1,5) Affectation des résultats de l'exercice 2005
F040aa1650f,firm,Kasso S.A. Gérant de la Société YKH Consulting,0,,,,,1,Kasso S.A. Gérant de la Société YKH Consulting
F040d0b4210,firm,SOCIETE IMMOBILIERE TUNISO SAOUDIENNE SITS,0,,,,,1,SOCIETE IMMOBILIERE TUNISO SAOUDIENNE SITS
F04174f74b8,firm,PGI - SICOF,0,,,,,1,PGI - SICOF
F041fd44b5b,firm,Mr Anouar BEN AMMAR,0,,,,,1,Mr Anouar BEN AMMAR
F0424dfb729,firm,V.C. Rôle de chaque organe,0,,,,,2,V.C. Role de chaque organe | V.C. Rôle de chaque organe
F0427961980,firm,B.N.A. Participations,0,,,,,1,B.N.A. Participations
F042b0144ce,firm,DGA de finances,0,,,,,1,DGA de finances
F04364d4483,firm,FCP MAC Horizon,0,,,,,1,FCP MAC Horizon
F04436c0b02,firm,Societé SICAR INVEST,0,,,,,1,Societé SICAR INVEST
F044b960eee,firm,S.O.D.I.N.O - SICAR,0,,,,,1,S.O.D.I.N.O - SICAR
F0464c39ea0,firm,PGI (administrateur) - SICOF (administrateur) - COMAR (administrateur) - PARENIN,0,,,,,1,PGI (administrateur) - SICOF (administrateur) - COMAR (administrateur) - PARENIN
F0471433d28,firm,Membre permanent du comité de direction de ABC International Bank,0,,,,,1,Membre permanent du comité de direction de ABC International Bank
F048ef0547a,firm,"Générales, proceder à des nominations à titre",0,,,,,1,"Générales, proceder à des nominations à titre"
F0497ed4372,firm,Slimene BETTAIEB Président Lui même 2009-2011 Tunis,0,,,,,1,Slimene BETTAIEB Président Lui même 2009-2011 Tunis
F04b1b2441a,firm,Assurances HAYETT,0,,,,,1,Assurances HAYETT
F04da66eddc,firm,CTKD,0,,,,,1,CTKD
F04de7a8214,firm,Administrateur United Gulf Financial Services-North Africa,0,,,,,1,Administrateur United Gulf Financial Services-North Africa
F0507443873,firm,ASTREE Assurances représentée par M Hassen JAZIRI,0,,,,,1,ASTREE Assurances représentée par M Hassen JAZIRI
