entity_id,canonical_name,gender,basis,n_female_titles,n_male_titles,n_untitled_rows
Pad68dc9713,Lobna FEKI,F,1 female honorific,1,0,0
P65fd1f3b77,Mariem HASSAD,F,1 female honorific,1,0,0
Pb15b4961ca,Molka EL MATERI,F,2 female honorifics,2,0,0
Pbe2e7fa1a4,Moufida ALOUI,F,2 female honorifics,2,0,0
P5bfe157080,Myriam BEN ABDENNEBI,F,2 female honorifics,2,0,0
P470615bc9e,Myriam BRIGUI HAJ TAIEB,F,1 female honorific,1,0,0
P3be133749d,Myriam ELLOUMI,F,4 female honorifics,4,0,0
P5b434b8369,NAJOUA KHRAIEF,F,1 female honorific,1,0,0
P4e08398baa,Naama ELLOUMI BEN CHAABANE,F,3 female honorifics,3,0,0
P17b229e7aa,Nabila BEN YEDDER,F,3 female honorifics,3,0,0
P5897a4010f,Nadia LEFEBVRE,F,2 female honorifics,2,0,0
Pa3653cb2e7,Naila BSIRI HORCHANI,F,3 female honorifics,3,0,0
P0e873ee807,Najet Chabchoub,F,6 female honorifics,6,0,0
P39b85864d7,Najia GHARBI*,F,1 female honorific,1,0,0
Pe1329183e2,Najoua Bouassida,F,1 female honorific,1,0,0
Pd435f96510,Najoua KHRAEIF,F,1 female honorific,1,0,0
P867ea44306,Neila BENZINA,F,1 female honorific,1,0,0
P87be5e71cf,Nejia GHARBI,F,1 female honorific,1,0,0
P1353b17385,Nihed BEN AYED,F,1 female honorific,1,0,0
Pcc4ad0d4ae,Nour El Houda BEN CHEIKH,F,1 female honorific,1,0,0
P4e3cef8442,Nozha Kallel,F,4 female honorifics,4,0,0
P1ca443a243,Ouided BOUCHAMAOUI,F,1 female honorific,1,0,0
P446ed9ac92,Rafika AKKARI,F,2 female honorifics,2,0,0
P9333e3c516,Raja AISSAOUI EP DARGHOUTH,F,1 female honorific,1,0,0
P159c476e5a,Raja DARGHOUTH,F,1 female honorific,1,0,0
P766f8b4fba,Rakya Eddarhem,F,1 female honorific,1,0,0
