isin,ticker,name_fr,name_ar,bvmt_group,bvmt_group_label,last_price_tnd,market_cap_kdt,snapshot_seance,source,source_url,retrieved_at
TN0007500010,AETEC,AETECH,آي تاك,99,suspended_other,0.41,0.0,11 sept. 2026,BVMT REST API,"https://www.bvmt.com.tn/rest_api/rest/market/groups/11,12,52,99",2026-09-12T01:25:41Z
TN0002300358,AL,AIR LIQUIDE TSIE,آر ليكيد تونس,99,suspended_other,224.8,224.8,11 sept. 2026,BVMT REST API,"https://www.bvmt.com.tn/rest_api/rest/market/groups/11,12,52,99",2026-09-12T01:25:41Z
TN0003800703,ALKIM,ALKIMIA,الكيمياء,99,suspended_other,13.49,0.0,11 sept. 2026,BVMT REST API,"https://www.bvmt.com.tn/rest_api/rest/market/groups/11,12,52,99",2026-09-12T01:25:41Z
TN0003400058,AB,AMEN BANK,بنك الأمان,11,continuous,90.0,606968.6900000002,11 sept. 2026,BVMT REST API,"https://www.bvmt.com.tn/rest_api/rest/market/groups/11,12,52,99",2026-09-12T01:25:41Z
TN0007300015,ARTES,ARTES,الشبكة التونسية للسيارات و الخدمات,11,continuous,10.49,11315.589999999997,11 sept. 2026,BVMT REST API,"https://www.bvmt.com.tn/rest_api/rest/market/groups/11,12,52,99",2026-09-12T01:25:41Z
TN0007140015,ASSAD,ASSAD,البطارية التونسية أسد,99,suspended_other,2.27,32915.0,11 sept. 2026,BVMT REST API,"https://www.bvmt.com.tn/rest_api/rest/market/groups/11,12,52,99",2026-09-12T01:25:41Z
TNDKJ8O68X14,AMV,ASSU MAGHREBIA VIE,ASSU MAGHREBIA VIE,11,continuous,12.4,107058.83,11 sept. 2026,BVMT REST API,"https://www.bvmt.com.tn/rest_api/rest/market/groups/11,12,52,99",2026-09-12T01:25:41Z
TN0007830011,ASSMA,ASSUR MAGHREBIA,ASSUR MAGHREBIA,11,continuous,82.0,6363.91,11 sept. 2026,BVMT REST API,"https://www.bvmt.com.tn/rest_api/rest/market/groups/11,12,52,99",2026-09-12T01:25:41Z
TN0003000452,AST,ASTREE,شركة أستري للتّامين وإعادة التأمين,12,fixing,88.99,0.0,11 sept. 2026,BVMT REST API,"https://www.bvmt.com.tn/rest_api/rest/market/groups/11,12,52,99",2026-09-12T01:25:41Z
TN0003600350,ATB,ATB,البنك  العربي لتونس,11,continuous,3.3,27053.22,11 sept. 2026,BVMT REST API,"https://www.bvmt.com.tn/rest_api/rest/market/groups/11,12,52,99",2026-09-12T01:25:41Z
TN0007740012,SAM,ATELIER MEUBLE INT,شركة مشغل الأثاث,11,continuous,5.94,74091.46,11 sept. 2026,BVMT REST API,"https://www.bvmt.com.tn/rest_api/rest/market/groups/11,12,52,99",2026-09-12T01:25:41Z
TN0004700100,ATL,ATL,شركة الإيجارالعربية لتونس,11,continuous,15.0,19644.2,11 sept. 2026,BVMT REST API,"https://www.bvmt.com.tn/rest_api/rest/market/groups/11,12,52,99",2026-09-12T01:25:41Z
TN0001600154,TJARI,ATTIJARI BANK,التجاري بنك,11,continuous,81.0,117908.13,11 sept. 2026,BVMT REST API,"https://www.bvmt.com.tn/rest_api/rest/market/groups/11,12,52,99",2026-09-12T01:25:41Z
TN0006610018,TJL,ATTIJARI LEASING,التجاري للإيجار المالي,11,continuous,43.0,12141.75,11 sept. 2026,BVMT REST API,"https://www.bvmt.com.tn/rest_api/rest/market/groups/11,12,52,99",2026-09-12T01:25:41Z
TN0007580012,BL,BEST LEASE,بيت الايجار المالي التونسي السعودي,12,fixing,2.67,133.5,11 sept. 2026,BVMT REST API,"https://www.bvmt.com.tn/rest_api/rest/market/groups/11,12,52,99",2026-09-12T01:25:41Z
TN0006550016,BHASS,BH ASSURANCE,BH ASSURANCE,12,fixing,83.29,0.0,11 sept. 2026,BVMT REST API,"https://www.bvmt.com.tn/rest_api/rest/market/groups/11,12,52,99",2026-09-12T01:25:41Z
TN0001900604,BH,BH BANK,بنك الإسكان,11,continuous,14.6,38621.25,11 sept. 2026,BVMT REST API,"https://www.bvmt.com.tn/rest_api/rest/market/groups/11,12,52,99",2026-09-12T01:25:41Z
TN0006720049,BHL,BH LEASING,الشركة العصرية للإيجار المالي,12,fixing,4.75,0.0,11 sept. 2026,BVMT REST API,"https://www.bvmt.com.tn/rest_api/rest/market/groups/11,12,52,99",2026-09-12T01:25:41Z
TN0001800457,BIAT,BIAT,بنك تونس العربي الدّولي,11,continuous,161.09,1298981.0,11 sept. 2026,BVMT REST API,"https://www.bvmt.com.tn/rest_api/rest/market/groups/11,12,52,99",2026-09-12T01:25:41Z
TN0003100609,BNA,BNA,البنك الوطني الفلاحي,11,continuous,20.03,1055022.3300000008,11 sept. 2026,BVMT REST API,"https://www.bvmt.com.tn/rest_api/rest/market/groups/11,12,52,99",2026-09-12T01:25:41Z
TN0007680010,BNASS,BNA ASSURANCES,تأمينات سليم,11,continuous,4.12,60676.899999999994,11 sept. 2026,BVMT REST API,"https://www.bvmt.com.tn/rest_api/rest/market/groups/11,12,52,99",2026-09-12T01:25:41Z
TN0002200053,BT,BT,البنك  التّونسي,11,continuous,8.06,193193.84999999995,11 sept. 2026,BVMT REST API,"https://www.bvmt.com.tn/rest_api/rest/market/groups/11,12,52,99",2026-09-12T01:25:41Z
TN0001300557,BTE,BTE (ADP),بنك تونس والإمارات,12,fixing,6.44,8247.26,11 sept. 2026,BVMT REST API,"https://www.bvmt.com.tn/rest_api/rest/market/groups/11,12,52,99",2026-09-12T01:25:41Z
TN0007400013,CC,CARTHAGE CEMENT,قرطاج للإسمنت,11,continuous,1.82,234599.73999999996,11 sept. 2026,BVMT REST API,"https://www.bvmt.com.tn/rest_api/rest/market/groups/11,12,52,99",2026-09-12T01:25:41Z
