year,directors,women,men,unknown_gender,pct_women_of_gendered,pct_unknown,women_multi_board,men_multi_board,unknown_multi_board,women_mean_betweenness,men_mean_betweenness,women_share_of_betweenness
2005,75,3,25,47,10.71,62.67,0,7,2,0.000000,0.003805,0.00
2006,50,3,27,20,10.00,40.00,0,9,3,0.000000,0.002844,0.00
2007,74,4,43,27,8.51,36.49,1,18,8,0.002752,0.001948,11.61
2008,70,2,37,31,5.13,44.29,0,14,7,0.000000,0.001769,0.00
2009,117,5,56,56,8.20,47.86,0,17,8,0.000000,0.000932,0.00
2010,114,0,34,80,0.00,70.18,0,8,10,,0.001669,0.00
2011,141,2,62,77,3.12,54.61,0,24,7,0.000000,0.003974,0.00
2012,165,10,89,66,10.10,40.00,3,26,11,0.000174,0.000477,3.94
2013,88,7,48,33,12.73,37.50,4,22,3,0.003337,0.002733,15.11
2014,213,12,118,83,9.23,38.97,2,23,11,0.000159,0.000344,4.49
2015,168,10,94,64,9.62,38.10,1,23,6,0.000356,0.000723,4.98
2016,209,14,117,78,10.69,37.32,1,11,17,0.000417,0.000146,25.47
2017,122,12,64,46,15.79,37.70,3,18,4,0.000395,0.001229,5.68
2018,142,14,83,45,14.43,31.69,1,25,10,0.000125,0.000890,2.31
2019,190,20,103,67,16.26,35.26,0,16,1,0.000000,0.000259,0.00
2020,136,10,75,51,11.76,37.50,1,24,6,0.000255,0.001420,2.34
2021,222,22,112,88,16.42,39.64,6,40,7,0.000259,0.001988,2.49
2022,149,10,63,76,13.70,51.01,0,2,0,0.000000,0.000056,0.00
2023,231,12,95,124,11.21,53.68,2,22,15,0.000197,0.000450,5.24
2024,166,20,101,45,16.53,27.11,5,25,15,0.001113,0.000968,18.54
2025,146,19,65,62,22.62,42.47,3,20,16,0.001111,0.005106,5.98
2026,50,7,21,22,25.00,44.00,2,16,17,0.001487,0.012090,3.94
