entity_id,canonical_name,year,pc_state_ownership,pc_state_board,pc_officeholder,pc_public_bank,pc_political_figure,pc_officeholder_former,pc_public_bank_equity,max_state_stake_pct,pc_narrow,pc_broad,n_evidence,n_evidence_ocr,categories
Fcde110a85a,ATL,2024,0,0,0,1,0,0,1,,0,1,2,0,public_bank_equity|public_bank_seat
Fcde110a85a,ATL,2025,0,0,0,1,0,0,1,,0,1,2,0,public_bank_equity|public_bank_seat
Fed1163a466,ATL2004-1,2004,0,0,0,1,0,0,0,,0,1,1,0,public_bank_seat
Ffed011d406,Agence et Engagements et a réussi leurs,2017,0,0,0,1,0,0,0,,0,1,1,1,public_bank_seat
F27e3e3c57f,Agricoles,2017,0,0,0,1,0,0,0,,0,1,1,1,public_bank_seat
Fdc2a0f9ff6,Assurance,2023,0,0,0,1,0,0,0,,0,1,1,0,public_bank_seat
Ff81f5bf1cc,Assurances SALIM,2011,0,0,0,1,0,0,1,,0,1,1,0,public_bank_equity
Ff81f5bf1cc,Assurances SALIM,2013,0,0,0,1,0,0,1,,0,1,1,0,public_bank_equity
Faa2413a763,Au 31 décembre 2006,2006,0,0,0,1,0,0,0,,0,1,1,1,public_bank_seat
Fa2e5d584f6,B.E.A.T.L,2013,0,0,0,1,0,0,1,,0,1,1,0,public_bank_equity
F46299d17c1,BANQUE D’AFFAIRE DE TUNISIE,2009,0,0,0,1,0,0,1,,0,1,1,0,public_bank_equity
Fdd45516bc1,BCH *,2013,0,0,0,1,0,0,1,,0,1,1,0,public_bank_equity
Fc4daf78a69,BEL ART INDUSTRIES,2015,0,0,0,1,0,0,1,,0,1,1,0,public_bank_equity
Fa91553f43e,BEST LEASE,2024,0,0,0,1,0,0,0,,0,1,1,0,public_bank_interlock
Fa91553f43e,BEST LEASE,2026,0,0,0,1,0,0,0,,0,1,1,0,public_bank_interlock
Fb47e5f399c,BH /2,2015,0,0,0,1,0,0,0,,0,1,1,0,public_bank_interlock
F5038da9360,BH BANK,2006,0,1,1,0,0,0,0,,1,1,7,0,civil_servant|state_organ_seat
F5038da9360,BH BANK,2007,0,1,1,0,0,0,0,,1,1,7,0,civil_servant|state_organ_seat
F5038da9360,BH BANK,2008,0,0,1,0,0,0,0,,1,1,4,4,state_representative
F5038da9360,BH BANK,2009,0,1,1,0,0,0,0,,1,1,7,0,civil_servant|state_organ_seat
