coding_id,stratum,entry_uid,subject_name,cohort,folio_start,folio_end,n_chars,n_edges_extracted,ties_stated,ties_found,ties_missed,passage_relational,coder,notes
P0050,المعاصرون,aalam:3.04,محمد السعيد الخلصي,المعاصرون,307,318,328,1,,,,,,
P0051,المعاصرون,aalam:3.05,خير الله بن مصطفى,المعاصرون,319,326,958,2,,,,,,
P0052,المعاصرون,aalam:3.05,خير الله بن مصطفى,المعاصرون,319,326,298,0,,,,,,
P0053,المعاصرون,aalam:3.06,علي بو حاجب,المعاصرون,327,332,253,2,,,,,,
P0054,المعاصرون,aalam:3.06,علي بو حاجب,المعاصرون,327,332,359,0,,,,,,
P0055,المعاصرون,aalam:3.07,حسن ڤلاتي,المعاصرون,333,340,652,3,,,,,,
P0056,المعاصرون,aalam:3.07,حسن ڤلاتي,المعاصرون,333,340,395,0,,,,,,
P0057,المعاصرون,aalam:3.07,حسن ڤلاتي,المعاصرون,333,340,400,0,,,,,,
P0058,المعاصرون,aalam:3.11,محمود الماطري,المعاصرون,355,360,424,0,,,,,,
P0059,المعاصرون,aalam:3.11,محمود الماطري,المعاصرون,355,360,390,2,,,,,,
P0060,المعاصرون,aalam:3.12,محمد الطاهر بن عاشور,المعاصرون,361,368,799,0,,,,,,
