spell_id,person_id,person_label,org_id,org_label,role_canonical,layer,tie_class,onset,terminus,onset_lo,onset_hi,terminus_lo,terminus_hi,left_censored,right_censored,onset_interval_censored,terminus_interval_censored,onset_rule,terminus_rule,onset_event_id,terminus_event_id,expected_end_date,duration_days,duration_lo,duration_hi,evidence_n,evidence_tier,link_status,confidence,needs_review
SP_30778e64362800da5aff,PERSON_MABROUK_MOHAMED_MARWEN,MOHAMED MARWEN MABROUK,CO_MAGHREB_PARTICIPATION_HOLDING,MAGHREB PARTICIPATION HOLDING,pdg,corporate,corporate_officer,2007-12-10,,2007-12-10,2007-12-10,,2012-12-31,False,True,False,False,event:appointed,,EV_071ec372e6737f74a24b,,,,,,1,gazette_dated,ambiguous,0.5805,True
SP_1e357e47e3ec56816df8,PERSON_MABROUK_RAMZI,RAMZI MABROUK,CO_POWER_CALL,POWER CALL,gerant,corporate,corporate_officer,2007-11-22,,2007-11-22,2007-11-22,,2012-12-31,False,True,False,False,event:appointed,,EV_a4067935f5d2d31d2506,,,,,,1,gazette_dated,resolved,0.765,False
SP_a02b0bf7e1b2f2aa931c,PERSON_EMNA_ABDENADHER,ABDENNADHER EMNA,CO_GENERALE_TRAVAUX_SPECIFIQUES,GENERALE DES TRAVAUX SPECIFIQUES,gerant,corporate,corporate_officer,2007-12-06,,2007-12-06,2007-12-06,,2012-12-31,False,True,False,False,event:appointed,,EV_8ff749d81ff91514aa58,,2010-12-05,,,,1,gazette_dated,resolved,0.675,False
SP_fe52b9abcd0de38becac,PERSON_SELAMI_HEDI_KARIM,HEDI KARIM SELLAMI,ORGMENTION_Renouvellement du mandat du,Renouvellement du mandat du,dg,corporate,corporate_officer,,,,2007-11-27,,2012-12-31,True,True,True,False,renewal_implies_earlier_onset,,EV_d7b5123a7174b3e5581f,,,,,,1,gazette_dated,ambiguous,0.4275,True
SP_ce3530384ac4cea1dad9,PERSON_ZOUARI_HAFEDH,HAFEDH ZOUARI,CO_INDUSTRIES_MATERIAUX_CONSTRUCTION_BOMAR,LES INDUSTRIES DE MATERIAUX DE CONSTRUCTION BOMAR,pdg,corporate,corporate_officer,,1999-10-13,,1999-10-13,1999-10-13,1999-10-13,True,False,True,False,exit_implies_earlier_onset,event:resigned,,EV_9058c07cdcdd50255f31,,,0,,1,gazette_dated,resolved,0.7425,False
SP_dab9df4a064f592f280e,PERSON_ZOUARI_HAFEDH,HAFEDH ZOUARI,CO_INDUSTRIES_MATERIAUX_CONSTRUCTION_BOMAR,LES INDUSTRIES DE MATERIAUX DE CONSTRUCTION BOMAR,pdg,corporate,corporate_officer,,,,1999-10-13,,2012-12-31,True,True,True,False,renewal_implies_earlier_onset,,EV_deaff86bbb8cbb8c78bc,,,,,,4,gazette_dated,resolved,0.7425,False
SP_d3fd85591cf4b04374bc,PERSON_GHARBI_MOHAMED,MOHAMED GHARBI,CO_UTIQUE_PROMOTION_AGRICOLE_EL_BARAKA,UTIQUE DE PROMOTION AGRICOLE EL-BARAKA,gerant,corporate,corporate_officer,,2007-10-18,,2007-10-18,2007-10-18,2007-10-18,True,False,True,False,exit_implies_earlier_onset,event:revoked,,EV_56627059b0dac365a1b1,,,0,,1,gazette_dated,ambiguous,0.45,True
SP_84ba2300b78c416509be,PERSON_CHIKHAOUI_MOHAMED,MOHAMED CHIKHAOUI,CO_LABORATOIRE,SOCIETE LE LABORATOIRE,gerant,corporate,corporate_officer,2007-12-14,2010-09-30,2007-12-14,2007-12-14,2007-12-14,2010-09-30,False,False,False,True,event:appointed,org_dissolved,EV_b59253150d6ee9d37b67,,2010-12-13,1021,0,1021,1,gazette_dated,ambiguous,0.45,True
SP_64833642bfabeec5e254,PERSON_BENCHAABANE_MOURAD,MOURAD BEN-CHAABANE,CO_DALY_SEAWAVE_SPEDITION,DALY SEAWAVE SPEDITION,gerant,corporate,corporate_officer,,2007-10-23,,2007-10-23,2007-10-23,2007-10-23,True,False,True,False,exit_implies_earlier_onset,event:resigned,,EV_16453da9a096754b3ae2,,,0,,1,gazette_dated,resolved,0.6464,False
SP_e2d6e6373d94781b550c,PERSON_BENMOHAMED_MOHAMED,MOHAMED BEN-MOHAMED,CO_GENERALE,SOCIETE GENERALE,dg,corporate,corporate_officer,2007-11-14,2000-10-27,2007-11-14,2007-11-14,2007-11-14,2000-10-27,False,False,False,True,event:appointed,org_dissolved,EV_4180edfc0f4a856490e1,,,-2574,0,0,1,gazette_dated,ambiguous,0.45,True
SP_b8ef2f55134f3d7933a3,PERSON_GHANOUCHI_FARES,FARES GHANNOUCHI,CO_ABATTOIR_AVICOLE_ESSOUASSI,SOCIETE ABATTOIR AVICOLE ESSOUASSI,unspecified,corporate,corporate_officer,2007-12-12,,2007-12-12,2007-12-12,,2012-12-31,False,True,False,False,event:appointed,,EV_781a9d7ebd01925e2835,,,,,,2,gazette_dated,resolved,0.49,False
SP_867b3fbea7efba0b772d,PERSON_SASI_SOUHEIL,SOUHEIL SASSI,CO_GREEN_STREET,GREEN STREET,gerant,corporate,corporate_officer,2007-12-15,,2007-12-15,2007-12-15,,2012-12-31,False,True,False,False,event:appointed,,EV_09942d3d4a086f628678,,,,,,1,gazette_dated,resolved,0.675,False
