mention_key,person_mention,org_mention,org_mf,resolved_person_id,resolved_person_label,resolved_org_id,resolved_org_label,score,link_status,s_name,s_org,s_mf,s_cooccur,s_role,n_candidates,margin_to_runner_up,runner_up_person_id,n_events,first_event_date,last_event_date,seed_degree,name_ambiguity,mention_cluster_id,evidence_quote
Mohamed Khelil||Sté BAHA CONSULTING,Mohamed Khelil,Sté BAHA CONSULTING,,PERSON_KHALIL_MOHAMED,MOHAMED KHALIL,CO_BAHA_CONSULTING,BAHA CONSULTING,0.6917,ambiguous,0.833,1.0,0.0,0.0,1.0,2,0.2917,PERSON_KHELIL_MOHAMED_ALI,1,2009-02-17,2009-02-17,165,1,PERSON_KHELIL_MOHAMED,Gérance : Mr Mohamed Khelil est nommé gérant de la société pour toute sa durée avec les pouvoirs les plus étendus.
Mohamed Neji Khalil||Clinique de Dialyse de Siliana,Mohamed Neji Khalil,Clinique de Dialyse de Siliana,,PERSON_KHALIL_MOHAMED,MOHAMED KHALIL,CO_CLINIQUE_DHEMODIALYSE_SILIANA,SOCIETE CLINIQUE DHEMODIALYSE DE SILIANA,0.667,ambiguous,1.0,0.906,0.0,0.0,0.0,5,0.422,PERSON_KHALIL_MOHAMED_FADHEL,1,2009-06-22,2009-06-22,165,1,PERSON_KHALIL_MOHAMED_NEJI,- Le renouvellement du mandat de Monsieur Mohamed Neji Khalil commissaire aux comptes pour une période de trois ans 2010 à 2012.
Faical Derbal||Société l'Immobilière du Palmarium Center,Faical Derbal,Société l'Immobilière du Palmarium Center,,PERSON_DERBEL_FAYCEL,FAYCEL DERBEL,CO_IMMOBILIER_PALMARIUM_CENTER,IMMOBILIER PALMARIUM CENTER,0.6167,ambiguous,0.833,0.929,0.0,0.0,0.0,1,0.6167,,1,2007-03-07,2007-03-07,127,2,PERSON_DERBAL_FAICAL,- Les actionnaires ont nommé Monsieur Faical Derbal en qualité de commissaire aux comptes pour une durée de trois (3) années expirant à l'occasion de l'assemblée générale ordinaire de la société appel
Fayçal Derbal||Mea Internet Group,Fayçal Derbal,Mea Internet Group,,PERSON_DERBEL_FAYCEL,FAYCEL DERBEL,CO_MEA_INTERNET_GROUP,SOCIETE MEA INTERNET GROUP,0.6917,ambiguous,0.833,1.0,0.0,0.0,1.0,1,0.6917,,1,2008-04-04,2008-04-04,127,2,PERSON_DERBAL_FAYCAL,"- Le renouvellement du mandat de Monsieur Fayçal Derbal, représentant légal de FINOR, pour une période de trois ans (2007-2008-2009), qui prendra fin à l'issue de l'assemblée générale ordinaire appelé"
Fayçal Derbel||SELECT FR UITS S,Fayçal Derbel,SELECT FR UITS S,,PERSON_DERBEL_FAYCEL,FAYCEL DERBEL,,,0.5,ambiguous,1.0,0.0,0.0,1.0,0.0,2,0.15,PERSON_DERBEL_FAYCAL,1,2009-01-22,2009-01-22,127,2,PERSON_DERBEL_FAYCAL,- De désigner Monsieur Fayçal Derbel en qualité de commissaire aux comptes pour une durée de 3 ans.
Mohamed Ammar||Assemblée générale extraordinaire,Mohamed Ammar,Assemblée générale extraordinaire,986703E,PERSON_AMAR_MOHAMED,MOHAMED AMMAR,CO_GENERALE,SOCIETE GENERALE,0.5,ambiguous,1.0,0.0,1.0,0.0,1.0,7,0.05,PERSON_AMAR_MOHAMED_NACEUR,1,2012-04-19,2012-04-19,122,1,PERSON_AMAR_MOHAMED,- Nomination de Mr Mohamed Ammar comme gérant de la société avec les pouvoirs les plus étendus.
Mohamed Ammar Hamdi||société AZIZA,Mohamed Ammar Hamdi,société AZIZA,,PERSON_AMAR_MOHAMED,MOHAMED AMMAR,CO_AZIZA,AZIZA,0.6975,ambiguous,0.85,1.0,0.0,0.0,1.0,8,0.2975,PERSON_HAMDI_MOHAMED,1,2011-05-03,2011-05-03,122,1,PERSON_HAMDI_MOHAMED_AMAR,Gérance : Monsieur Mohamed Ammar Hamdi est nommé gérant de la société pour une durée indéterminée avec tous les pouvoirs énoncés aux statuts.
Khaled Bouricha||Poulina Partners S.A,Khaled Bouricha,Poulina Partners S.A,,PERSON_BOURICHA_KHALED,KHALED BOURICHA,CO_POULINA,POULINA,0.55,ambiguous,1.0,0.0,0.0,1.0,1.0,7,0.35,PERSON_BENAYED_SLIM,1,2008-07-23,2008-07-23,88,1,PERSON_BOURICHA_KHALED,La Société Financière de Développement représentée par Monsieur Khaled Bouricha.
Khaled Bouricha||Réalisation de l'augmentation de capital,Khaled Bouricha,Réalisation de l'augmentation de capital,35929G,PERSON_BOURICHA_KHALED,KHALED BOURICHA,,,0.475,ambiguous,1.0,0.0,0.0,0.5,1.0,5,0.285,PERSON_BOURICHA_KHEDIJA,1,2009-02-20,2009-02-20,88,1,PERSON_BOURICHA_KHALED,la société Medinvest représentée par Mr Khaled Bouricha
Moncef Sellami||Société FUBA Printed Circuits Tunisie,Moncef Sellami,Société FUBA Printed Circuits Tunisie,345551R,PERSON_SELAMI_MONCEF,MONCEF SELLAMI,CO_FUBA,FUBA,0.5,ambiguous,1.0,0.0,1.0,0.0,1.0,27,0.31,PERSON_SELAMI_MHAMED_RIDHA,1,2010-03-29,2010-03-29,88,1,PERSON_SELAMI_MONCEF,"1. le renouvellement du mandat des administrateurs suivants pour une période de trois ans soit : Messieurs Moncef Sellami, Slim Sellami, Hédi Karim Sellami, Riadh Cherif, Ahmed Cherif, Abdessalem Ben "
