strategy,scope,replicate,removed,f,S,mean_other,components
random,lcc,0,0,0.0,1.0,0.0,1
random,lcc,0,25,0.00996412913511359,0.9752889597449182,2.466666666666667,16
random,lcc,0,50,0.01992825827022718,0.9513750498206457,2.769230769230769,27
random,lcc,0,75,0.029892387405340774,0.9210840972499004,3.1538461538461537,40
random,lcc,0,100,0.03985651654045436,0.8780390593862096,2.861111111111111,73
random,lcc,0,125,0.04982064567556795,0.8616978876046234,2.9210526315789473,77
random,lcc,0,151,0.06018333997608609,0.8465524113192507,2.7857142857142856,85
random,lcc,0,176,0.07014746911119968,0.7760063770426465,2.9692307692307693,131
random,lcc,0,201,0.08011159824631327,0.7596652052610602,2.627450980392157,154
random,lcc,0,226,0.09007572738142686,0.7154244719011559,2.7111111111111112,181
random,lcc,0,251,0.10003985651654046,0.6703866082104424,2.796116504854369,207
random,lcc,0,276,0.11000398565165405,0.6420884814667198,2.7767857142857144,225
random,lcc,0,301,0.11996811478676764,0.6313272220007972,2.736842105263158,229
random,lcc,0,326,0.12993224392188124,0.6169788760462336,2.6348547717842323,242
random,lcc,0,351,0.13989637305699482,0.6086090075727382,2.455252918287938,258
random,lcc,0,376,0.14986050219210842,0.5910721402949383,2.443609022556391,267
random,lcc,0,401,0.159824631327222,0.5779194898365883,2.4191176470588234,273
random,lcc,0,427,0.17018732562774014,0.520526106018334,2.2823529411764705,341
random,lcc,0,452,0.1801514547628537,0.5089677162216022,2.1487603305785123,364
random,lcc,0,477,0.19011558389796732,0.42088481466719807,2.3293556085918854,420
random,lcc,0,502,0.20007971303308092,0.41251494619370266,2.3142857142857145,421
random,lcc,0,527,0.2100438421681945,0.4065364687126345,2.2850356294536818,422
random,lcc,0,552,0.2200079713033081,0.3981666002391391,2.233100233100233,430
random,lcc,0,577,0.22997210043842167,0.39059386209645275,2.213953488372093,431
random,lcc,0,602,0.23993622957353528,0.3818254284575528,2.1568181818181817,441
random,lcc,0,627,0.24990035870864885,0.3698684734954165,2.1247216035634744,450
random,lcc,0,652,0.2598644878437625,0.3351933041052212,2.1617021276595745,471
random,lcc,0,677,0.26982861697887606,0.2905540055799123,2.307531380753138,479
random,lcc,0,703,0.2801913112793942,0.24711040255081707,2.31640625,513
random,lcc,0,728,0.29015544041450775,0.24232762056596255,2.2557692307692307,521
random,lcc,0,753,0.3001195695496214,0.23794340374651254,2.174484052532833,534
random,lcc,0,778,0.31008369868473495,0.23316062176165803,2.138059701492537,537
random,lcc,0,803,0.32004782781984853,0.22040653646871264,2.1591760299625467,535
random,lcc,0,828,0.33001195695496216,0.21721801514547628,2.131332082551595,534
random,lcc,0,853,0.33997608609007574,0.21323236349143085,2.1150943396226416,531
random,lcc,0,878,0.3499402152251893,0.20605819051414906,2.0861423220973783,535
random,lcc,0,903,0.3599043443603029,0.20326823435631725,2.052434456928839,535
random,lcc,0,928,0.3698684734954165,0.19011558389796732,2.010928961748634,550
random,lcc,0,953,0.3798326026305301,0.18772419290554004,1.9908256880733946,546
random,lcc,0,979,0.3901952969310482,0.1817457154244719,1.9527272727272726,551
random,lcc,0,1004,0.40015942606616184,0.17616580310880828,1.9540441176470589,545
random,lcc,0,1029,0.4101235552012754,0.16899163013152652,1.927007299270073,549
random,lcc,0,1054,0.420087684336389,0.15504184934236748,1.924187725631769,555
random,lcc,0,1079,0.43005181347150256,0.14986050219210842,1.8821428571428571,561
random,lcc,0,1104,0.4400159426066162,0.14507772020725387,1.8457446808510638,565
random,lcc,0,1129,0.44998007174172977,0.1387006775607812,1.8169014084507042,569
random,lcc,0,1154,0.45994420087684335,0.13591072140294938,1.7946902654867256,566
random,lcc,0,1179,0.469908330011957,0.1335193304105221,1.7456140350877194,571
random,lcc,0,1204,0.47987245914707055,0.13232363491430849,1.7100175746924429,570
random,lcc,0,1229,0.4898365882821841,0.12156237544838581,1.7135325131810193,570
random,lcc,0,1254,0.4998007174172977,0.09286568353925867,1.6726677577741407,612
random,lcc,0,1280,0.5101634117178159,0.09087285771223595,1.640983606557377,611
random,lcc,0,1305,0.5201275408529294,0.08051016341171782,1.6507413509060955,608
random,lcc,0,1330,0.530091669988043,0.07253886010362694,1.6211382113821138,616
random,lcc,0,1355,0.5400557991231566,0.07094459944200877,1.5869918699186991,616
random,lcc,0,1380,0.5500199282582702,0.06656038262255878,1.5667752442996743,615
random,lcc,0,1405,0.5599840573933839,0.06416899163013152,1.548440065681445,610
random,lcc,0,1430,0.5699481865284974,0.053806297329613395,1.5603305785123966,606
random,lcc,0,1455,0.579912315663611,0.05261060183339976,1.5341098169717138,602
random,lcc,0,1480,0.5898764447987246,0.05101634117178159,1.529711375212224,590
random,lcc,0,1505,0.5998405739338382,0.04942208051016341,1.5120274914089347,583
random,lcc,0,1530,0.6098047030689517,0.04902351534475887,1.5070422535211268,569
random,lcc,0,1556,0.6201673973694699,0.031088082901554404,1.5597147950089127,562
random,lcc,0,1581,0.6301315265045835,0.028298126743722597,1.5525362318840579,553
random,lcc,0,1606,0.6400956556396971,0.027500996412913512,1.5359116022099448,544
random,lcc,0,1631,0.6500597847748106,0.02630530091669988,1.5037037037037038,541
random,lcc,0,1656,0.6600239139099243,0.024711040255081706,1.4812734082397003,535
random,lcc,0,1681,0.6699880430450379,0.02431247508967716,1.460952380952381,526
random,lcc,0,1706,0.6799521721801515,0.023515344758868077,1.4446601941747572,516
random,lcc,0,1731,0.689916301315265,0.023515344758868077,1.4265873015873016,505
random,lcc,0,1756,0.6998804304503786,0.022718214428058988,1.4233128834355828,490
random,lcc,0,1781,0.7098445595854922,0.00757273814268633,1.4469387755102041,491
random,lcc,0,1806,0.7198086887206058,0.00757273814268633,1.4369747899159664,477
random,lcc,0,1832,0.7301713830211239,0.00757273814268633,1.4059829059829059,469
random,lcc,0,1857,0.7401355121562375,0.007174172977281785,1.3663793103448276,465
random,lcc,0,1882,0.7500996412913511,0.006775607811877242,1.3062098501070665,468
random,lcc,0,1907,0.7600637704264648,0.006775607811877242,1.2885462555066078,455
random,lcc,0,1932,0.7700278995615784,0.0051813471502590676,1.27313769751693,444
random,lcc,0,1957,0.7799920286966919,0.004782781984854523,1.2616822429906542,429
random,lcc,0,1982,0.7899561578318055,0.004782781984854523,1.2409638554216869,416
random,lcc,0,2007,0.7999202869669191,0.00438421681944998,1.2305764411027569,400
random,lcc,0,2032,0.8098844161020327,0.00438421681944998,1.2103896103896103,386
random,lcc,0,2057,0.8198485452371462,0.0039856516540454365,1.201086956521739,369
random,lcc,0,2082,0.8298126743722599,0.0039856516540454365,1.1779661016949152,355
random,lcc,0,2108,0.840175368672778,0.0035870864886408927,1.1701492537313434,336
random,lcc,0,2133,0.8501394978078916,0.0031885213232363493,1.1323076923076922,326
random,lcc,0,2158,0.8601036269430051,0.0023913909924272616,1.1348684210526316,305
random,lcc,0,2183,0.8700677560781188,0.0019928258270227183,1.130281690140845,285
random,lcc,0,2208,0.8800318852132324,0.0019928258270227183,1.112781954887218,267
random,lcc,0,2233,0.889996014348346,0.0019928258270227183,1.110655737704918,245
random,lcc,0,2258,0.8999601434834595,0.0019928258270227183,1.0884955752212389,227
random,lcc,0,2283,0.9099242726185731,0.0019928258270227183,1.0523809523809524,211
random,lcc,0,2308,0.9198884017536867,0.0015942606616181746,1.047872340425532,189
random,lcc,0,2333,0.9298525308888003,0.0011956954962136308,1.0421686746987953,167
random,lcc,0,2358,0.939816660023914,0.0011956954962136308,1.0422535211267605,143
random,lcc,0,2384,0.950179354324432,0.0011956954962136308,1.0082644628099173,122
random,lcc,0,2409,0.9601434834595456,0.0007971303308090873,1.0,99
random,lcc,0,2434,0.9701076125946593,0.00039856516540454366,1.0,75
random,lcc,0,2459,0.9800717417297728,0.00039856516540454366,1.0,50
random,lcc,0,2484,0.9900358708648864,0.00039856516540454366,1.0,25
random,lcc,0,2509,1.0,0.0,0.0,0
random,lcc,1,0,0.0,1.0,0.0,1
random,lcc,1,25,0.00996412913511359,0.9744918294141092,3.0,14
random,lcc,1,50,0.01992825827022718,0.9059386209645277,7.153846153846154,27
random,lcc,1,75,0.029892387405340774,0.8915902750099641,5.051282051282051,40
random,lcc,1,100,0.03985651654045436,0.871662016739737,4.269230769230769,53
random,lcc,1,125,0.04982064567556795,0.8477481068154643,3.5694444444444446,73
random,lcc,1,151,0.06018333997608609,0.8114786767636508,3.5,93
random,lcc,1,176,0.07014746911119968,0.7752092467118374,3.206611570247934,122
random,lcc,1,201,0.08011159824631327,0.734555599840574,3.576923076923077,131
random,lcc,1,226,0.09007572738142686,0.7086488640892786,3.2371794871794872,157
random,lcc,1,251,0.10003985651654046,0.6907134316460741,3.201219512195122,165
random,lcc,1,276,0.11000398565165405,0.6691909127142288,3.094972067039106,180
