strategy,graph,scope,replicate,removed,f,S,mean_other,components
random,observed,lcc,0,0,0.0,1.0,0.0,1
random,observed,lcc,0,25,0.00996412913511359,0.9752889597449182,2.466666666666667,16
random,observed,lcc,0,50,0.01992825827022718,0.9513750498206457,2.769230769230769,27
random,observed,lcc,0,75,0.029892387405340774,0.9210840972499004,3.1538461538461537,40
random,observed,lcc,0,100,0.03985651654045436,0.8780390593862096,2.861111111111111,73
random,observed,lcc,0,125,0.04982064567556795,0.8616978876046234,2.9210526315789473,77
random,observed,lcc,0,151,0.06018333997608609,0.8465524113192507,2.7857142857142856,85
random,observed,lcc,0,176,0.07014746911119968,0.7760063770426465,2.9692307692307693,131
random,observed,lcc,0,201,0.08011159824631327,0.7596652052610602,2.627450980392157,154
random,observed,lcc,0,226,0.09007572738142686,0.7154244719011559,2.7111111111111112,181
random,observed,lcc,0,251,0.10003985651654046,0.6703866082104424,2.796116504854369,207
random,observed,lcc,0,276,0.11000398565165405,0.6420884814667198,2.7767857142857144,225
random,observed,lcc,0,301,0.11996811478676764,0.6313272220007972,2.736842105263158,229
random,observed,lcc,0,326,0.12993224392188124,0.6169788760462336,2.6348547717842323,242
random,observed,lcc,0,351,0.13989637305699482,0.6086090075727382,2.455252918287938,258
random,observed,lcc,0,376,0.14986050219210842,0.5910721402949383,2.443609022556391,267
random,observed,lcc,0,401,0.159824631327222,0.5779194898365883,2.4191176470588234,273
random,observed,lcc,0,427,0.17018732562774014,0.520526106018334,2.2823529411764705,341
random,observed,lcc,0,452,0.1801514547628537,0.5089677162216022,2.1487603305785123,364
random,observed,lcc,0,477,0.19011558389796732,0.42088481466719807,2.3293556085918854,420
random,observed,lcc,0,502,0.20007971303308092,0.41251494619370266,2.3142857142857145,421
random,observed,lcc,0,527,0.2100438421681945,0.4065364687126345,2.2850356294536818,422
random,observed,lcc,0,552,0.2200079713033081,0.3981666002391391,2.233100233100233,430
random,observed,lcc,0,577,0.22997210043842167,0.39059386209645275,2.213953488372093,431
random,observed,lcc,0,602,0.23993622957353528,0.3818254284575528,2.1568181818181817,441
random,observed,lcc,0,627,0.24990035870864885,0.3698684734954165,2.1247216035634744,450
random,observed,lcc,0,652,0.2598644878437625,0.3351933041052212,2.1617021276595745,471
random,observed,lcc,0,677,0.26982861697887606,0.2905540055799123,2.307531380753138,479
random,observed,lcc,0,703,0.2801913112793942,0.24711040255081707,2.31640625,513
random,observed,lcc,0,728,0.29015544041450775,0.24232762056596255,2.2557692307692307,521
random,observed,lcc,0,753,0.3001195695496214,0.23794340374651254,2.174484052532833,534
random,observed,lcc,0,778,0.31008369868473495,0.23316062176165803,2.138059701492537,537
random,observed,lcc,0,803,0.32004782781984853,0.22040653646871264,2.1591760299625467,535
random,observed,lcc,0,828,0.33001195695496216,0.21721801514547628,2.131332082551595,534
random,observed,lcc,0,853,0.33997608609007574,0.21323236349143085,2.1150943396226416,531
random,observed,lcc,0,878,0.3499402152251893,0.20605819051414906,2.0861423220973783,535
random,observed,lcc,0,903,0.3599043443603029,0.20326823435631725,2.052434456928839,535
random,observed,lcc,0,928,0.3698684734954165,0.19011558389796732,2.010928961748634,550
random,observed,lcc,0,953,0.3798326026305301,0.18772419290554004,1.9908256880733946,546
random,observed,lcc,0,979,0.3901952969310482,0.1817457154244719,1.9527272727272726,551
random,observed,lcc,0,1004,0.40015942606616184,0.17616580310880828,1.9540441176470589,545
random,observed,lcc,0,1029,0.4101235552012754,0.16899163013152652,1.927007299270073,549
random,observed,lcc,0,1054,0.420087684336389,0.15504184934236748,1.924187725631769,555
random,observed,lcc,0,1079,0.43005181347150256,0.14986050219210842,1.8821428571428571,561
random,observed,lcc,0,1104,0.4400159426066162,0.14507772020725387,1.8457446808510638,565
random,observed,lcc,0,1129,0.44998007174172977,0.1387006775607812,1.8169014084507042,569
random,observed,lcc,0,1154,0.45994420087684335,0.13591072140294938,1.7946902654867256,566
random,observed,lcc,0,1179,0.469908330011957,0.1335193304105221,1.7456140350877194,571
random,observed,lcc,0,1204,0.47987245914707055,0.13232363491430849,1.7100175746924429,570
random,observed,lcc,0,1229,0.4898365882821841,0.12156237544838581,1.7135325131810193,570
random,observed,lcc,0,1254,0.4998007174172977,0.09286568353925867,1.6726677577741407,612
random,observed,lcc,0,1280,0.5101634117178159,0.09087285771223595,1.640983606557377,611
random,observed,lcc,0,1305,0.5201275408529294,0.08051016341171782,1.6507413509060955,608
random,observed,lcc,0,1330,0.530091669988043,0.07253886010362694,1.6211382113821138,616
random,observed,lcc,0,1355,0.5400557991231566,0.07094459944200877,1.5869918699186991,616
random,observed,lcc,0,1380,0.5500199282582702,0.06656038262255878,1.5667752442996743,615
random,observed,lcc,0,1405,0.5599840573933839,0.06416899163013152,1.548440065681445,610
