vertex.id,node_id,label,node_type
11754,CO_ESSEYAHA_RESTO,ESSEYAHA RESTO,ORG
11755,CO_SERVICES_ADMINISTRATIFS,SOCIETE DE SERVICES ADMINISTRATIFS,ORG
11756,CO_ZIDAINE_COMMERCE_DECHETS_METAUX,SOCIETE ZIDAINE DE COMMERCE DES DECHETS DE METAUX,ORG
11757,CO_MAJOUL_PROMOTION_IMMOBILIERE,SOCIETE MAJOUL DE PROMOTION IMMOBILIERE,ORG
11758,PERSON_ZGHAL_MOHAMED_BENMOHAMED,MOHAMED BEN-MOHAMED ZGHAL,PERSON
11759,PERSON_SASI_HAMZA_MOHAMED_ABDESALEM,HAMZA MOHAMED ABDESSALEM SASSI,PERSON
11760,CO_PROCESS_TECHNOLOGIES_SERVICES,PROCESS TECHNOLOGIES SERVICES,ORG
11761,PERSON_BOUHADIDA_HATEM,HATEM BOUHADIDA,PERSON
11762,CO_SOBITEX,SOCIETE SOBITEX,ORG
11763,PERSON_BENSEDRINE_NESRINE_RAJA,NESRINE RAJA BEN-SEDRINE,PERSON
11764,CO_DIGINESS,DIGINESS,ORG
11765,CO_RELIANCE_EDUCATION,RELIANCE EDUCATION,ORG
11766,PERSON_GHANEM_SALAH,SALAH GHANNEM,PERSON
11767,PERSON_MLAOUHIA_SAMIR,SAMIR MLAOUHIA,PERSON
11768,PERSON_BADJOINT_ERIC,ERIC BADJOINT,PERSON
11769,CO_CYLALIDE_TUNISIE,CYLALIDE TUNISIE,ORG
11770,CO_SIF,SIF,ORG
11771,CO_PLANET_IMMO,PLANET IMMO,ORG
11772,PERSON_BENSEDRINE_FAHMI,FAHMI BEN-SEDRINE,PERSON
11773,CO_MATADOR_FOOD,SOCIETE MATADOR FOOD,ORG
11774,CO_SERVICES_RAPIDE_VOITURES_MODERNES,SOCIETE DE SERVICES RAPIDE DES VOITURES MODERNES,ORG
11775,CO_ENERGIE_DEL_SOLE_PHOTOVOLTAIQUE_EDS_PV,ENERGIE DEL SOLE PHOTOVOLTAIQUE EDS PV,ORG
11776,PERSON_SASI_SAMI,SAMI SASSI,PERSON
11777,CO_FONDERIE_EURO_GOLF_METEAUX,FONDERIE EURO GOLF DE METEAUX,ORG
11778,PERSON_TROUDI_CHAABANE,CHAABANE TROUDI,PERSON
11779,CO_BENHAFSIA_COMMERCE,BENHAFSIA DE COMMERCE,ORG
11780,PERSON_KILANI_SLAHEDINE,SLAHEDDINE KILANI,PERSON
11781,CO_TANIT_AGRI,TANIT AGRI,ORG
11782,PERSON_BAYAHI_NARJES_REKIK,NARJESS REKIK BAYAHI,PERSON
