onset,terminus,vertex.id
-Inf,22311,1
-Inf,Inf,2
-Inf,Inf,3
-Inf,Inf,4
16792,17164,5
-Inf,Inf,6
17139,Inf,7
-Inf,22560,8
-Inf,22560,9
-Inf,Inf,10
-Inf,20715,11
-Inf,Inf,12
-Inf,Inf,13
-Inf,Inf,14
17151,21167,15
-Inf,Inf,16
17151,Inf,17
17151,Inf,18
-Inf,Inf,19
-Inf,Inf,20
17141,Inf,21
17141,Inf,22
17149,Inf,23
17149,Inf,24
-Inf,Inf,25
-Inf,Inf,26
-Inf,Inf,27
-Inf,22539,28
-Inf,Inf,29
-Inf,Inf,30
-Inf,Inf,31
17154,Inf,32
17154,Inf,33
-Inf,Inf,34
17184,Inf,35
-Inf,Inf,36
-Inf,Inf,37
-Inf,Inf,38
17135,Inf,39
17135,17275,40
-Inf,Inf,41
17145,Inf,42
-Inf,Inf,43
-Inf,18717,44
17124,21030,45
17124,Inf,46
-Inf,Inf,47
-Inf,Inf,48
-Inf,Inf,49
-Inf,Inf,50
17186,Inf,51
17186,Inf,52
17191,Inf,53
-Inf,Inf,54
-Inf,17163,55
-Inf,17163,56
-Inf,16012,57
-Inf,16012,58
-Inf,Inf,59
-Inf,Inf,60
-Inf,17073,61
-Inf,Inf,62
-Inf,Inf,63
-Inf,Inf,64
17188,20904,65
17188,Inf,66
17162,Inf,67
17162,Inf,68
17180,Inf,69
17180,Inf,70
-Inf,Inf,71
17209,Inf,72
-Inf,Inf,73
-Inf,Inf,74
-Inf,17271,75
17191,Inf,76
17191,Inf,77
17195,Inf,78
-Inf,Inf,79
-Inf,17160,80
-Inf,22583,81
-Inf,22583,82
17215,Inf,83
17215,Inf,84
17229,21914,85
16997,Inf,86
16997,Inf,87
-Inf,Inf,88
17224,18081,89
17016,20083,90
-Inf,Inf,91
17166,Inf,92
-Inf,Inf,93
-Inf,Inf,94
17243,Inf,95
-Inf,Inf,96
-Inf,Inf,97
-Inf,21274,98
-Inf,Inf,99
-Inf,Inf,100
17248,Inf,101
-Inf,Inf,102
16952,21801,103
16952,Inf,104
-Inf,Inf,105
17220,Inf,106
-Inf,Inf,107
17256,Inf,108
17256,Inf,109
-Inf,Inf,110
-Inf,Inf,111
-Inf,Inf,112
-Inf,17166,113
-Inf,Inf,114
-Inf,20202,115
-Inf,Inf,116
-Inf,Inf,117
17100,Inf,118
17100,Inf,119
17229,Inf,120
17229,Inf,121
-Inf,Inf,122
17279,Inf,123
17241,Inf,124
17241,Inf,125
-Inf,Inf,126
17276,Inf,127
-Inf,Inf,128
-Inf,Inf,129
-Inf,Inf,130
17265,17709,131
17272,Inf,132
17272,Inf,133
17208,Inf,134
17208,Inf,135
-Inf,Inf,136
-Inf,Inf,137
17304,21690,138
-Inf,Inf,139
-Inf,18978,140
-Inf,Inf,141
-Inf,Inf,142
17290,Inf,143
17289,Inf,144
17289,Inf,145
17210,Inf,146
17212,20698,147
-Inf,Inf,148
17210,Inf,149
-Inf,Inf,150
17304,Inf,151
17271,Inf,152
17271,Inf,153
17286,Inf,154
17286,Inf,155
16542,Inf,156
16542,Inf,157
17314,Inf,158
17314,Inf,159
-Inf,Inf,160
11894,Inf,161
17291,Inf,162
17291,Inf,163
17301,Inf,164
