from_node_id,to_node_id,role_canonical,layer,certainty,spell_id
PERSON_HOCHLAF_SKANDER,CO_TUNIS_ENSEIGNES,president_ca,corporate,certain,SP_3880244c9caa81b18079
PERSON_BENJEMAA_KHALED,ORGE_0b965d91509200d9389d,pdg,corporate,certain,SP_75b7e9096f278e894d12
PERSON_DOGHRI_NEJIB,ORGE_0b965d91509200d9389d,dga,corporate,certain,SP_a5f006916b81b1daf295
PERSON_MHIRI_NEJI,ORGE_13caa3571b47039887ba,pdg,corporate,probable,SP_873805c4c071b3b8bb1a
PERSON_BENROMDHANE_SALEM,ORGE_13caa3571b47039887ba,dga,corporate,certain,SP_7be1a0fbfe09ae89319a
PERSON_MHIRI_NEJI,ORGE_169d7f35858117fae056,pdg,corporate,probable,SP_d30201277b611e1bfb26
PERSON_MHIRI_NEJI,ORGE_7fd5021675462f404e33,pdg,corporate,probable,SP_b3f7ea0ecdefd6c3746c
PERSON_BENROMDHANE_SALEM,ORGE_7fd5021675462f404e33,dga,corporate,certain,SP_f74bf1eb5ada0682ae8c
PERSON_ESASI_ABDELAZIZ,CO_ASSURANCES_MAGHREBIA,fondateur,corporate,certain,SP_e62110d675034930ede9
PERSON_AOUADI_NABIL,CO_PLEMIVER,gerant,corporate,certain,SP_23ec600d0f55d4be8120
PERSON_YAHIA_YASINE_BENHADJ,CO_INTERPLASTIC,pdg,corporate,certain,SP_ecc5222623e1604f83c8
PERSON_BENJEMAA_KHALED,CO_INTERNATIONAL_TELEMARKETING_AND_TELESERVICE_COMPANY,pdg,corporate,certain,SP_120f5c2d836aa2e62ed6
PERSON_BENJEMAA_LOTFI,CO_INTERNATIONAL_TELEMARKETING_AND_TELESERVICE_COMPANY,dga,corporate,certain,SP_06b89d06580975ab55a8
PERSON_KHEMIR_HOUSEM,CO_ALTUTEX_COMPANY,gerant,corporate,probable,SP_fe03f6430939f29fb074
PERSON_KHAYECHE_ALI,CO_FONDERIE_KHAYECHE_CIE,gerant,corporate,certain,SP_45842dc32f5d7232ffd2
PERSON_TRABELSI_BELHASEN,CO_PROMOTION_TOURISTIQUE_PLAISANCE,unspecified,corporate,probable,SP_aca59bb0fec792391984
PERSON_MHIRI_NEJI,ORGE_9a0130fe01bb6c03387f,pdg,corporate,probable,SP_3b443830afce2c064cdc
PERSON_BENROMDHANE_SALEM,ORGE_9a0130fe01bb6c03387f,dga,corporate,certain,SP_1cfa4b2ee383cec9e5dc
PERSON_SASI_CHOKRI,ORGE_0727269948d92819708a,pdg,corporate,certain,SP_c8c70c8848d142dce81b
PERSON_AMARA_CHAHIR,CO_DOLCE_MONDO_INTERNAZIONALE,gerant,corporate,certain,SP_4198d2aed13a26342431
PERSON_CHERIF_NOUREDINE,ORGE_cb90ed8565e5afde05a9,pdg,corporate,certain,SP_aa5a31854ab6ba251377
PERSON_MISAOUI_TAOUFIK,CO_MESSRI,associe,corporate,certain,SP_f51082d0e8f8ee23f48d
PERSON_BENAMOR_ANIS,CO_MARQUAGE_SIGNALISATION_SECURITE_SERVICES_M3S,gerant,corporate,certain,SP_8a5a8142775c50f163c7
PERSON_BRIGUI_MOHAMED,CO_GENERALE_FINANCIERE_SICAF,pdg,corporate,certain,SP_71e268bf53ed6057b932
PERSON_TARIFA_SONIA,CO_MIXAL,dg,corporate,certain,SP_6481746bb246ecee9017
PERSON_ZOUARI_HAFEDH,CO_IMMOBILIERE_CONCORDE,pdg,corporate,probable,SP_340be3d77c6fe9d7fe05
PERSON_MZABI_FETHI,ORGE_1c537b3e51d72b292590,gerant,corporate,certain,SP_4ba7fbed1313c8752e65
PERSON_NIFAR_HABIB,CO_EMBALLAGES_ALUMINIUM_BOISSONS_GAZEUSES,administrateur,corporate,probable,SP_9e91c5f21b5c8827877c
PERSON_BENAMAR_MOURAD,CO_SERVICES_AGRICOLES_AL_MOSTAKBAL,administrateur,corporate,certain,SP_591a80416748b3ffe62f
PERSON_BENAMAR_MOURAD,CO_SERVICES_AGRICOLES_AL_MOSTAKBAL,pdg,corporate,probable,SP_b8fb513645f99d624b3c
PERSON_SAIDI_MOHAMED,CO_MARIEM_SUPPRESSION_DECHETS,gerant,corporate,certain,SP_7fe82879e27b50f39dd9
PERSON_ZAABI_MOHAMED,CO_MOULINS_SIDI_TLIL,administrateur,corporate,certain,SP_0eabf5462eb7df17dcc3
PERSON_TOUATI_NOUREDINE,CO_MOULINS_SIDI_TLIL,administrateur,corporate,certain,SP_a026fbdb6dab34a432c7
PERSON_ZAABI_MOHAMED,CO_MOULINS_SIDI_TLIL,pdg,corporate,probable,SP_4f7033f29e89cb0a721f
PERSON_SELAMI_SOFIEN,CO_MAALI,gerant,corporate,certain,SP_70e1b66f4527c2534686
