from_node_id,to_node_id,role_canonical,layer,certainty,spell_id
PERSON_MHIRI_SAMI,CO_TOURISME_LOISIRS,administrateur,corporate,certain,SP_819a5ef31a8b54456036
PERSON_MHIRI_NEJI,CO_TOURISME_LOISIRS,pdg,corporate,probable,SP_6519ecb92ed20aa63664
PERSON_MHIRI_SAMI,CO_TOURISME_LOISIRS,pdg,corporate,probable,SP_ed694c2eccfdd2b019c8
PERSON_MZAH_LASAAD,CO_SMVDA_RAOUDHA,representant,corporate,certain,SP_1ef2c5c1d9ef8a286be0
PERSON_MZAH_LASAAD,CO_SMVDA_RAOUDHA,pdg,corporate,certain,SP_ff3be79b0e40cec0efec
PERSON_ROBERT_JEAN_LUC_PHILIPE,CO_AIR_LIQUIDE_TUNISIE,dg,corporate,certain,SP_994aed035a94c3226556
PERSON_ROBERT_JEAN_LUC_PHILIPE,CO_AIR_LIQUIDE_TUNISIE_SERVICES,dg,corporate,certain,SP_5a713e5dfe9a1c6a5a00
PERSON_AMOUS_KARIM,CO_CONSEIL,gerant,corporate,certain,SP_0a107fbfbf5bd7d117be
PERSON_HAMAMI_MOHAMED,CO_PROGRES_INDUSTRIEL,gerant,corporate,certain,SP_23dea1cde43f86403a8e
PERSON_BOUJBEL_INES,CO_DEYMA,gerant,corporate,certain,SP_9d62beef2340c810bd79
PERSON_HAFOUDHI_SLAHEDINE,CO_FONDATION,dg,corporate,probable,SP_2f86503c0187547abf14
PERSON_BEYRAKDAR_HATEM,CO_TECHNOGAS,pdg,corporate,certain,SP_08391739732a4d7a759f
PERSON_TRABELSI_MOHAMED,CO_SPEED,gerant,corporate,certain,SP_07893356c5db93d57cfe
PERSON_MEHREZ_MOHAMED_ELFEHRY,CO_NEGOCE_DISTRIBUTION,administrateur,corporate,certain,SP_de7baf382d8aca8983f8
PERSON_MEHREZ_CHAMSEDINE,CO_NEGOCE_DISTRIBUTION,administrateur,corporate,certain,SP_df5980488d0b6b9a9eaa
PERSON_MEHREZ_IDRIS,CO_NEGOCE_DISTRIBUTION,administrateur,corporate,certain,SP_3271ae380dd660868b12
PERSON_MEHREZ_MOUNA,CO_NEGOCE_DISTRIBUTION,administrateur,corporate,certain,SP_3a7e9e21b9d2620b94b1
PERSON_BAYAHI_TAHER,CO_REGIONALE_COMMERCE_GOUVERNORAT_BEJA,dg,corporate,certain,SP_b85c8c6bee96a55c1a07
PERSON_KILANI_KAIS,CO_TUNISIE_EVIERS_CUCCINA,commissaire_aux_comptes,corporate,certain,SP_4a59fc539c24aca2ab8b
PERSON_KILANI_KAIS,CO_TUNISIE_EVIERS_CUCCINA,pdg,corporate,certain,SP_2b3caf9ebb20ab356b13
PERSON_SASI_AHMED,CO_PYRAMIDES_PARFUMS,gerant,corporate,certain,SP_07ab876e04075ef94067
PERSON_MHIRI_SAMI,CO_TOURISTIQUE_EL_MOURADI,gerant,corporate,certain,SP_0d87e1c51e26201c68f2
PERSON_BOURICHA_SONIA,CO_PROXI,administrateur,corporate,probable,SP_27852abcdd90e3ff644f
PERSON_BOURICHA_SONIA,CO_COMPTOIR_TUNISIEN_PAPIERS,administrateur,corporate,probable,SP_7d9ecf848a63afa86f47
PERSON_BOURICHA_ABDELHAMID,CO_COMPTOIR_TUNISIEN_PAPIERS,administrateur,corporate,probable,SP_1bedf87c3240bb9cd386
PERSON_GHORBEL_SLIM,CO_AFRICA_ELECTRIQUE,unspecified,corporate,certain,SP_d39928c614d8f732a4b1
PERSON_GHORBEL_SLIM,CO_MOHAMED_GHORBEL,unspecified,corporate,certain,SP_de857cb56bfc7600e196
PERSON_CHAOUECH_HEDI,CO_GABRIELLE_NAUTIQUE,gerant,corporate,certain,SP_0d0edd983d8eb684da91
PERSON_AMICHE_FOUED,CO_POISSONS_SAHEL,gerant,corporate,certain,SP_5c600a6b558cd4f19dcc
PERSON_JEMAL_MONCEF,CO_PANORAMA,associe,corporate,probable,SP_77552aaace22b1bdf4f7
PERSON_BOURICHA_SONIA,CO_SOTEFI,administrateur,corporate,probable,SP_0b8e41ddd4810d4f6c13
PERSON_LOUKIL_MOEZ,CO_SOTEFI,administrateur,corporate,probable,SP_081e5d3dd246071ef983
PERSON_BOURICHA_SONIA,CO_TOURISTIQUE,administrateur,corporate,probable,SP_87110ee2d5a2e17fe503
PERSON_BOURICHA_ABDELHAMID,CO_TOURISTIQUE,administrateur,corporate,probable,SP_2c2053e1565ae0971f1b
