from_node_id,to_node_id,role_canonical,layer,certainty,spell_id
PERSON_ESASI_ABDELAZIZ,ORGE_850389f59f85ecdb0127,administrateur,corporate,probable,SP_987eb111241242f2ea94
PERSON_GHARBI_AMEUR,CO_CONSERVES_MODERNES_CAP_BON_COMOCAP,gerant,corporate,certain,SP_db112bf1457c033283f1
PERSON_FAKHFAKH_MOHAMED_MONCEF,CO_SALMA,commissaire_aux_comptes,state,certain,SP_d849cc39fd1fd177ab21
PERSON_BOUSBIA_MOHAMED,CO_BANQUE_CENTRALE_TUNISIE,dg,state,certain,SP_cf8b9bf8390f3248dd6f
PERSON_ABAS_HAMADI,ORGE_2c3fabd764636f7df69b,gerant,state,certain,SP_9526bf3d41b22e209e94
PERSON_ABAS_FERID,ORGE_2c3fabd764636f7df69b,gerant,state,certain,SP_8028f4b7c5889110cc1b
