from_node_id,to_node_id,role_canonical,layer,certainty,spell_id
PERSON_BOUKADIDA_ALI,CO_SICAR_AVENIR,pdg,corporate,certain,SP_3d92aafaafad0b940023
PERSON_BENAMOR_BECHIR,CO_DINA,administrateur,corporate,probable,SP_56874e1ee998dc7c8961
PERSON_ABDENADHER_AMEUR,CO_CEFER,gerant,corporate,certain,SP_d079a07908a4e21eada3
PERSON_LAAMOURI_YASINE,CO_ALIM_PACK,pdg,corporate,certain,SP_afd8db783e70d809fd16
PERSON_MHENI_MOHAMED_RAOUF,CO_PRODUITS_SPECIAUX_ALI_MHENI,dg,corporate,certain,SP_2f9bb95c353d940e5afd
PERSON_RAFAELE_FRANZESE,CO_PROJECT_FASHION,gerant,corporate,probable,SP_3077ef1fa0dba52b2076
PERSON_BIFULCO_SAVERIO,CO_PROJECT_FASHION,gerant,corporate,certain,SP_2dde9e622436332b522c
PERSON_AJMI_HAFEDH,CO_MASTER_CONFECTION,gerant,corporate,certain,SP_24b42806c6b64349d52a
PERSON_BOIRON_JOSELYN,CO_FRANCE_ALU_VOLETS,gerant,corporate,certain,SP_1b44a37ba8f27e6d72e5
PERSON_MEDEB_MOHAMED,CO_CENTRALE_LAITIERE_CAP_BON,pdg,corporate,probable,SP_091fef68cd8ed95a2fff
PERSON_SASI_AMEL_BENTMOHAMED,CO_MEUBLINOX,gerant,corporate,certain,SP_7789683d1dd13ccecd2f
PERSON_BENASR_KARIM_SALEM,CO_IMMOBILIERE_ASTARTE,administrateur,corporate,probable,SP_ff21d9b8faf1f8ff0d41
PERSON_BENASR_SLIM,CO_IMMOBILIERE_ASTARTE,administrateur,corporate,probable,SP_390aaccbbd7893400fc4
PERSON_BENASR_SLIM,CO_IMMOBILIERE_ASTARTE,president_ca,corporate,certain,SP_ca2b28284b54c7321b39
PERSON_TURKI_YOUSER,CO_SANTA_FE,gerant,corporate,probable,SP_d32cf2a1ad2f6aee786a
PERSON_BENSALEM_RAFIAA_DRIS,CO_SANTA_FE,gerant,corporate,certain,SP_e6e0e1e0dec334abcdf7
PERSON_SELAMI_MONCEF,ORGE_958986f55f8e1a8d9f78,pdg,corporate,certain,SP_ecea0330d6e72a00ea4a
PERSON_HLIOUI_ALI,CO_CIMENTERIE_CAP_BON,pdg,corporate,certain,SP_9ab9f7b78dc1e7faebf3
PERSON_BOULKOUT_MOUNIR,CO_SELT_MARINE,gerant,corporate,certain,SP_cbbe5068e86cb405b95c
PERSON_MABROUK_NABIL,CO_M_M_S_MABROUK_MAINTENANCE_SERVICES,gerant,corporate,certain,SP_5282c2d0bf308e8f7f14
PERSON_ZOUARI_MONDHER,CO_SABAH_PANACOTTA,gerant,corporate,certain,SP_e26ebeb32f4b0013248a
PERSON_RIAHI_MOHAMED,CO_CLEOPATRE,gerant,corporate,certain,SP_210bd20f5e08bfc32fc9
PERSON_DERBEL_FAYCEL,CO_ECONOMIC_AUTO,commissaire_aux_comptes,corporate,certain,SP_b372e68c4ce9fadbb1bf
PERSON_KRIA_MOHAMED_ABDELMONEM,CO_POLYCOQ_TUNISIE,pdg,corporate,probable,SP_41cc5bdb5709eb2ccd94
PERSON_SASI_ISMAIL,CO_TUNISIENNE_VETEMENTS,gerant,corporate,certain,SP_d4c76b4d9fab8e74161a
PERSON_CHAABANE_CHOKRI,CO_OPTIMUS,gerant,corporate,certain,SP_b1c3c5ebf98876d28aab
PERSON_DRIDI_ABDELKADER,CO_CARTHAGINOISE_PRODUCTION_AGRICOLE,gerant,corporate,certain,SP_0f11f07caa8c29f7dd0d
PERSON_SLAMA_MANSOUR,CO_CARTHAGINOISE_PRODUCTION_AGRICOLE,gerant,corporate,certain,SP_154162d21f77d69d7d1f
PERSON_ZOUARI_MOURAD,CO_KMF_TRAVEL,gerant,corporate,certain,SP_7c4c7e9879032a11c05c
PERSON_ABDENADHER_LATIFA,CO_MAISSA_ART_TABLE,gerant,corporate,certain,SP_90b00743bcb328a44693
PERSON_TAKTAK_SAID,ORGE_a38fadc7356cb728f2f3,gerant,corporate,certain,SP_6814bfea2be45d593175
PERSON_HADAD_KAMEL,ORGE_c517c71b9717abb404db,gerant,corporate,certain,SP_69bd734bc0208b334ff0
PERSON_MOALA_SLIM,ORGE_6e1a26e36f94b4a5d76e,pdg,corporate,certain,SP_96407f04fb49c2e13246
PERSON_TRABELSI_BELHASEN,CO_PROMOTION_TOURISTIQUE_PLAISANCE,dg,corporate,probable,SP_2cf2b1b82341572fc861
PERSON_TRABELSI_BELHASEN,CO_PROMOTION_TOURISTIQUE_PLAISANCE,pdg,corporate,certain,SP_a3d6025bbb44f1bd9e8b
PERSON_DJILANI_HEDI,CO_CONFECTION_RAS_JEBEL,pdg,corporate,probable,SP_49391d59beff0fa9c9b8
PERSON_ESEGHAIER_ABDELKADER,CO_CONFECTION_RAS_JEBEL,dga,corporate,probable,SP_4c754e04bb25fc23a754
PERSON_AMAR_MOHAMED,CO_COMPTOIR_REGIONAL_SERVICES_PECHES,president_ca,corporate,certain,SP_4b5d44ac13e98e1b7766
PERSON_AIDI_SAID,CO_SYSTEAC,gerant,corporate,certain,SP_c12d394e49457fbb640f
PERSON_DJERAD_ABDELMAJID_KILANI,CO_VETEMENTS_INDUSTRIELS_TUNISIE,gerant,corporate,certain,SP_b4f5b4e299f952993119
PERSON_AYADI_ONS_KHALIL,CO_FRANCO_TUNISIENNE_DEVELOPPEMENT_PRESTATIONS_INFORMATIQUE_SOF,gerant,corporate,certain,SP_4f7ac2a4bd53357c54cc
PERSON_FADHEL_MAHMOUD,CO_LIVRE,pdg,corporate,certain,SP_1ad1f77d0a1b0904241f
PERSON_AREM_SALWA,CO_IMMOBILIERE_EL_AMANA,gerant,corporate,probable,SP_17eb328a5e958212b16f
PERSON_BRAHEM_LOTFI,CO_MENZEL_NEW_CO,gerant,corporate,certain,SP_7ebae00794a85dba4969
PERSON_BELKHIRIA_TAHER,CO_TRANSFORMATION_POLYURETHANNE_CENTRE_SOTRAPOC,gerant,corporate,certain,SP_9ac58c60c1185cfeb336
