node_id,label,node_class,degree,betweenness,coreness,community
BLOC_AFEK_TOUNES_LAPPEL_TUNISIENS_A_LETRANGER,AFEK TOUNES ET LAPPEL DES TUNISIENS A LETRANGER,party / parliamentary bloc,13,1085393.4,3,0
BLOC_ALLEGEANCE_A_PATRIE,ALLEGEANCE A LA PATRIE,party / parliamentary bloc,13,391370.7,3,0
BLOC_BLOC_AL_HORRA_MOUVEMENT_MACHROUU_TOUNES,BLOC AL-HORRA DU MOUVEMENT MACHROUU TOUNES,party / parliamentary bloc,35,168385.7,4,0
BLOC_BLOC_AL_MOSTAKBEL,BLOC AL-MOSTAKBEL,party / parliamentary bloc,10,277582.1,3,0
BLOC_BLOC_COALITION_AL_KARAMA,BLOC COALITION AL-KARAMA,party / parliamentary bloc,23,1417813.2,2,1
BLOC_BLOC_DEMOCRATE,BLOC DEMOCRATE,party / parliamentary bloc,49,3051647.0,3,0
BLOC_BLOC_ENNAHDHA,BLOC ENNAHDHA,party / parliamentary bloc,56,2568308.5,4,2
BLOC_BLOC_NATIONAL,BLOC NATIONAL,party / parliamentary bloc,26,767539.7,4,0
BLOC_BLOC_PDL,BLOC PDL,party / parliamentary bloc,18,796771.4,2,3
BLOC_BLOC_QALB_TOUNES,BLOC QALB TOUNES,party / parliamentary bloc,43,3012735.0,3,0
BLOC_BLOC_REFORME,BLOC DE LA REFORME,party / parliamentary bloc,19,1391220.8,3,0
BLOC_BLOC_SOCIAL_DEMOCRATE,BLOC SOCIAL DEMOCRATE,party / parliamentary bloc,10,107683.9,4,0
BLOC_BLOC_TAHYA_TOUNES,BLOC TAHYA TOUNES,party / parliamentary bloc,14,838516.2,4,0
BLOC_COALITION_NATIONALE,COALITION NATIONALE,party / parliamentary bloc,57,2409986.4,4,0
CONS_TUNISIA_BUILDING_PARTNERS,TUNISIA BUILDING PARTNERS,company,14,438235.5,2,4
CO_21_CENTURY_CONSULTING,21 CENTURY CONSULTING,company,2,5556.6,2,5
CO_2F,SOCIETE 2F,company,1,0.0,1,6
CO_2F_DEVELOPMENT_AND_ENGINEERING,2F DEVELOPMENT AND ENGINEERING,company,1,0.0,1,7
CO_2MHA,SOCIETE 2MHA,company,1,0.0,1,1
CO_2M_RASSLENE_COMMERCE,SOCIETE 2M RASSLENE DE COMMERCE,company,1,0.0,1,8
CO_2PRO_E,2PRO E,company,1,0.0,1,9
CO_2_A_TANNING,2 A TANNING,company,1,0.0,1,4
CO_2_M,SOCIETE 2 M,company,1,0.0,1,10
CO_2_S_CONSULTING,SOCIETE 2 S CONSULTING,company,1,0.0,1,11
CO_3A_CONFECTION,3A CONFECTION,company,1,0.0,1,12
CO_3A_TS,3A TS,company,1,0.0,1,13
CO_3C,LES 3C,company,1,0.0,1,14
CO_3D,3D,company,2,49349.1,2,15
CO_3D_SOFT,3D SOFT,company,1,0.0,1,16
CO_3I_MOTION,SOCIETE 3I MOTION,company,1,0.0,1,5
CO_3M_ELECT,3M ELECT,company,1,0.0,1,6
CO_3S_SICAR,3S SICAR,company,4,2.3,3,17
CO_79LA_AGRICOLE_ERRAOUDHA,79LA SOCIETE AGRICOLE ERRAOUDHA,company,1,0.0,1,18
CO_A4CONTENT,A4CONTENT,company,1,0.0,1,19
CO_AA_INDUSTRIES,AA INDUSTRIES,company,4,85278.9,2,20
CO_ABACUS,ABACUS,company,2,16059.7,2,21
CO_ABASTADO_KARMA_ADVISORY,ABASTADO ET KARMA ADVISORY,company,1,0.0,1,22
CO_ABATTOIRE_UNIQUE_A_SFAX,ABATTOIRE UNIQUE A SFAX,company,1,0.0,1,23
CO_ABATTOIR_AVICOLE_ESSOUASSI,SOCIETE ABATTOIR AVICOLE ESSOUASSI,company,4,69813.0,1,24
CO_ABATTOIR_AVICOLE_JEBENIANA_BNINA_SAAJE_BNINA,SOCIETE ABATTOIR AVICOLE JEBENIANA BNINA SAAJE BNINA,company,1,0.0,1,25
CO_ABATTOIR_CHARCUTERIE_CENTRE,SOCIETE ABATTOIR ET CHARCUTERIE DU CENTRE,company,1,0.0,1,26
CO_ABBES_MENUISERIE_DALUMINIUM,ABBES DE MENUISERIE DALUMINIUM,company,3,69812.0,1,5
CO_ABC,ABC,company,4,340439.7,3,27
CO_ABC_GROS,ABC GROS,company,2,0.0,2,25
CO_ABC_TUNISIE,ABC TUNISIE,company,2,8908.1,2,28
CO_ABC_WEBMAKETING,ABC WEBMAKETING,company,1,0.0,1,19
CO_ABDELKADER_SLAMA_POTERIE,SOCIETE ABDELKADER SLAMA POTERIE,company,1,0.0,1,29
CO_ABDELLATIF_CHEDLI_INTERNATIONAL_CONSULTING,ABDELLATIF ET CHEDLI INTERNATIONAL CONSULTING ACIC,company,2,4.0,2,5
CO_ABDELMAJID_TRIKI_TRANSPORT_MARCHANDISE,SOCIETE ABDELMAJID TRIKI DE TRANSPORT MARCHANDISE,company,1,0.0,1,13
CO_ABDELMAJID_TRIKI_TRANSPORT_TERRESTRE_MARCHANDISES,SOCIETE ABDELMAJID TRIKI DE TRANSPORT TERRESTRE DE MARCHANDISES,company,2,2.0,2,13
CO_ABDELMOULA,ETABLISSEMENT ABDELMOULA,company,3,33271.2,2,28
CO_ABDEL_AND_COMPANY_SERVICE_ACOSERV,ABDEL AND COMPANY SERVICE ACOSERV,company,1,0.0,1,23
CO_ABDENNADHER,ETABLISSEMENTS ABDENNADHER,company,7,107101.4,2,25
CO_ABDENNADHER_CERAMIQUE_ACC,SOCIETE ABDENNADHER CERAMIQUE ACC,company,2,59.1,2,25
CO_ABDENNADHER_DESIGN,ABDENNADHER DESIGN,company,1,0.0,1,30
CO_ABDENNADHER_REALISATION_RESEAUX_A2R,SOCIETE ABDENNADHER DE REALISATION DES RESEAUX A2R,company,1,0.0,1,25
CO_ABDERRAHMAN_TRAVAUX_ELECTRIQUES_SATE,SOCIETE ABDERRAHMAN DE TRAVAUX ELECTRIQUES SATE,company,1,0.0,1,31
CO_ABDRRAZAK_HAMROUNI,SOCIETE ABDRRAZAK HAMROUNI,company,1,0.0,1,32
CO_ABH,ABH,company,2,13226.4,2,20
CO_ABICH_MOTEUR,SOCIETE ABICH MOTEUR,company,1,0.0,1,18
CO_ABIDTEX,ABIDTEX,company,2,11635.5,2,33
CO_ABIR_SERVICES,ABIR SERVICES,company,1,0.0,1,34
CO_ABM_IMMOBILIER,ABM IMMOBILIER,company,5,15754.6,5,35
CO_ABM_INFORMATIQUE,ABM INFORMATIQUE,company,1,0.0,1,36
CO_ABM_MANAGEMENT,ABM MANAGEMENT,company,5,1568.9,5,35
CO_ABOU_DHABI_INVESTMENT_AUTHORITY,ABOU DHABI INVESTMENT AUTHORITY ADIA,company,1,0.0,1,37
CO_ABRAJ_PROMOTION_IMMOBILIERE,ABRAJ DE PROMOTION IMMOBILIERE,company,2,23272.0,1,25
CO_ABRAJ_TUNIS_PROMOTION_IMMOBILIERE,ABRAJ TUNIS DE PROMOTION IMMOBILIERE,company,4,69823.1,2,25
CO_ABS_ELECTRONIQUE,ABS ELECTRONIQUE,company,1,0.0,1,38
CO_AB_CONSO,AB CONSO,company,1,0.0,1,25
CO_AB_CORPORATION,AB CORPORATION,company,12,309979.9,5,25
CO_AB_CORPORATION_SICAR,AB CORPORATION SICAR,company,1,0.0,1,25
CO_AB_FINANCES_CONSULTING,AB FINANCES CONSULTING,company,1,0.0,1,39
CO_AB_PACKAGING,AB PACKAGING,company,1,0.0,1,21
CO_AB_PROMOTION,AB PROMOTION,company,7,542835.7,3,25
CO_AB_PROMOTION_IMMOBILIERE,AB PROMOTION IMMOBILIERE,company,1,0.0,1,25
CO_ACADEMIE_ARTS,SOCIETE ACADEMIE DES ARTS,company,1,0.0,1,39
CO_ACADEMY_FOR_LEARNING_ETLEADERSHIP_A2L,ACADEMY FOR LEARNING ETLEADERSHIP A2L,company,1,0.0,1,6
CO_ACC,ACC,company,2,9508.4,2,25
CO_ACCEL_SERVICES,ACCEL SERVICES,company,1,0.0,1,13
CO_ACCESSOIRES_DERIVES_TEXTILE,ACCESSOIRES ET DERIVES DU TEXTILE ADT,company,1,0.0,1,9
CO_ACCESSOIRES_MEDICAUX_SAIDI,SOCIETE DES ACCESSOIRES MEDICAUX SAIDI,company,1,0.0,1,0
CO_ACCESSOIRES_SANITAIRES_SANA,SOCIETE DES ACCESSOIRES SANITAIRES SANA,company,2,279132.0,1,24
CO_ACCESS_PRINT,ACCESS PRINT,company,1,0.0,1,40
CO_ACCESS_TO_E_BUSINESS,ACCESS TO E BUSINESS,company,1,0.0,1,19
CO_ACCESS_TO_E_BUSINESS_INTERNATIONAL,ACCESS TO E BUSINESS INTERNATIONAL,company,1,0.0,1,19
CO_ACCUMULATEUR_TUNISIEN_ASSAD,ACCUMULATEUR TUNISIEN ASSAD,company,30,751238.5,3,41
CO_ACEM_INDUSTRY,ACEM INDUSTRY,company,2,23272.0,1,23
CO_ACES,SOCIETE ACES,company,2,23272.0,1,5
CO_ACES_TRADING,ACES TRADING,company,1,0.0,1,13
CO_ACIERIES_TUNISIE_SIDENOR,SOCIETE DES ACIERIES DE TUNISIE SIDENOR,company,2,67.7,2,11
CO_ACIER_TECHNOLOGIE,SOCIETE ACIER ET TECHNOLOGIE,company,1,0.0,1,23
CO_ACOSERV_IMMOBILIERE,ACOSERV IMMOBILIERE,company,1,0.0,1,23
CO_ACOSERV_INDUSTRIE,ACOSERV INDUSTRIE,company,1,0.0,1,23
CO_ACQUATICA,ACQUATICA,company,1,0.0,1,39
CO_ACQUA_MAGHREB_DISTRIBUTION_PRODUIT_LIQUIDATION,SOCIETE ACQUA MAGHREB DISTRIBUTION DU PRODUIT DE LA LIQUIDATION,company,1,0.0,1,42
CO_ACRYLAINE,SOCIETE ACRYLAINE,company,3,93079.0,1,14
CO_ACTIA_AFRICA,ACTIA AFRICA,company,6,62043.8,3,37
CO_ACTIA_AUTOMOTIVE_FRANCE,ACTIA AUTOMOTIVE FRANCE,company,4,23274.7,3,37
CO_ACTIA_GROUP,ACTIA GROUP,company,3,4.4,3,37
CO_ACTIA_TUNISIA,ACTIA TUNISIA,company,1,0.0,1,23
CO_ACTIA_TUNISIE,ACTIA TUNISIE,company,6,58168.0,3,37
CO_ACTIFS_PRECIEUX_APEX,ACTIFS PRECIEUX APEX,company,5,228307.2,3,37
CO_ACTION_AVIS,ACTION AVIS,company,1,0.0,1,43
CO_ACTIS_INVESTMENT_HOLDINGS_LIMITED,ACTIS INVESTMENT HOLDINGS LIMITED,company,1,0.0,1,27
CO_ACTIS_INVESTMENT_HOLDINGS_N_78_LIMITED,ACTIS INVESTMENT HOLDINGS N° 78 LIMITED,company,1,0.0,1,27
CO_ACTIVHOTELS,ACTIVHOTELS,company,1,0.0,1,24
CO_ACTIVITE_RECYCLAGE_CAOUTCHOUC,ACTIVITE DE RECYCLAGE DE CAOUTCHOUC,company,2,23272.0,1,20
CO_ADACTIM,ADACTIM,company,8,866329.3,3,44
CO_ADACTIM_TECH,ADACTIM TECH,company,2,1493.8,2,44
CO_ADACTIS,ADACTIS,company,2,15817.0,2,27
CO_ADAMS_CO_INTERNATIONAL_TRADING,ADAMS ET CO INTERNATIONAL TRADING,company,1,0.0,1,17
CO_ADAM_DISTRIBUTION,ADAM DE DISTRIBUTION,company,2,69810.0,1,37
CO_ADAM_EXPORTATION_MAGHREB,ADAM EXPORTATION MAGHREB,company,1,0.0,1,45
CO_ADAM_OIL,ADAM OIL,company,1,0.0,1,26
CO_ADD_VALUE_CONSULTING,ADD VALUE CONSULTING,company,1,0.0,1,42
CO_ADECCO_FRANCE,ADECCO FRANCE,company,2,4246.4,2,4
CO_ADECCO_HOLDING_EUROPE_BV_NETHERLANDS,ADECCO HOLDING EUROPE BV NETHERLANDS,company,1,0.0,1,4
CO_ADECCO_HOLDING_FRANCE,ADECCO HOLDING FRANCE,company,2,4246.4,2,4
CO_ADECCO_INTERNATIONAL_HOLDING_BV_NETHERLANDS,ADECCO INTERNATIONAL HOLDING BV NETHERLANDS,company,1,0.0,1,4
CO_ADECCO_OFFSHORE_TUNISIE,ADECCO OFFSHORE TUNISIE,company,1,0.0,1,4
CO_ADECCO_OFF_SHORE,ADECCO OFF SHORE,company,3,800.1,2,4
CO_ADECCO_TUNISIE,ADECCO TUNISIE,company,7,163534.5,2,4
CO_ADEM,SOCIETE ADEM,company,2,23272.0,1,31
CO_ADHESIF_ELASTIQUE_ADHE_ELS,SOCIETE ADHESIF ELASTIQUE ADHE ELS,company,2,23272.0,1,30
CO_ADHE_ELS_INTERNATIONAL,SOCIETE ADHE ELS INTERNATIONAL,company,1,0.0,1,30
CO_ADIE_INTERTIONAL,ADIE INTERTIONAL,company,2,0.0,2,36
CO_ADITECTUNISIE,ADITECTUNISIE,company,1,0.0,1,23
CO_ADJUVANTE_INDUSTRIELS_SADIN,SOCIETE DES ADJUVANTE INDUSTRIELS SADIN,company,1,0.0,1,46
CO_ADJUVIVANTS_PRD_AUTOM_IND_APA_INDUSTRIE,ADJUVIVANTS PRD AUTOM IND APA INDUSTRIE,company,1,0.0,1,47
CO_ADMIRAL_TRAVEL_AND_EVENTS,SOCIETE ADMIRAL TRAVEL AND EVENTS,company,1,0.0,1,2
CO_ADVANCED_COMPUTER_SOLUTIONS,ADVANCED COMPUTER SOLUTIONS ACS,company,2,23272.0,1,14
CO_ADVANCED_DERIVATIVE_SERVICES,ADVANCED DERIVATIVE SERVICES,company,1,0.0,1,35
CO_ADVANCED_E_TECHNOLOGIES_AETECH,ADVANCED E TECHNOLOGIES AETECH,company,2,19.9,2,42
CO_ADVANCE_CONSULTING,ADVANCE CONSULTING,company,1,0.0,1,18
CO_ADVANS_FRANCE,ADVANS SA (FRANCE),company,1,0.0,1,41
CO_ADVANS_PHARMA,ADVANS PHARMA,company,3,103785.5,2,41
