node_id,label,node_class,degree,in_giant_component
BLOC_AFEK_TOUNES_LAPPEL_TUNISIENS_A_LETRANGER,AFEK TOUNES ET LAPPEL DES TUNISIENS A LETRANGER,party / parliamentary bloc,13,1
BLOC_ALLEGEANCE_A_PATRIE,ALLEGEANCE A LA PATRIE,party / parliamentary bloc,13,1
BLOC_BLOC_AL_HORRA_MOUVEMENT_MACHROUU_TOUNES,BLOC AL-HORRA DU MOUVEMENT MACHROUU TOUNES,party / parliamentary bloc,35,1
BLOC_BLOC_AL_MOSTAKBEL,BLOC AL-MOSTAKBEL,party / parliamentary bloc,10,1
BLOC_BLOC_COALITION_AL_KARAMA,BLOC COALITION AL-KARAMA,party / parliamentary bloc,23,1
BLOC_BLOC_DEMOCRATE,BLOC DEMOCRATE,party / parliamentary bloc,49,1
BLOC_BLOC_ENNAHDHA,BLOC ENNAHDHA,party / parliamentary bloc,56,1
BLOC_BLOC_NATIONAL,BLOC NATIONAL,party / parliamentary bloc,26,1
BLOC_BLOC_PDL,BLOC PDL,party / parliamentary bloc,18,1
BLOC_BLOC_QALB_TOUNES,BLOC QALB TOUNES,party / parliamentary bloc,43,1
BLOC_BLOC_REFORME,BLOC DE LA REFORME,party / parliamentary bloc,19,1
BLOC_BLOC_SOCIAL_DEMOCRATE,BLOC SOCIAL DEMOCRATE,party / parliamentary bloc,10,1
BLOC_BLOC_TAHYA_TOUNES,BLOC TAHYA TOUNES,party / parliamentary bloc,14,1
BLOC_COALITION_NATIONALE,COALITION NATIONALE,party / parliamentary bloc,57,1
CONS_TUNISIA_BUILDING_PARTNERS,TUNISIA BUILDING PARTNERS,company,14,1
CO_123_TEXTILE,SOCIETE 123 TEXTILE,company,1,0
CO_21_CENTURY_CONSULTING,21 CENTURY CONSULTING,company,2,1
CO_21_LOGIX,21 LOGIX,company,1,0
CO_2A,2A,company,1,0
CO_2B_AGENCY,2B AGENCY,company,1,0
CO_2F,SOCIETE 2F,company,1,1
CO_2F_DEVELOPMENT_AND_ENGINEERING,2F DEVELOPMENT AND ENGINEERING,company,1,1
CO_2K_EVENTS,SOCIETE 2K EVENTS,company,1,0
CO_2MHA,SOCIETE 2MHA,company,1,1
CO_2M_CONFECTION,SOCIETE 2M CONFECTION,company,1,0
CO_2M_FASHION,2M FASHION,company,1,0
CO_2M_INFORMATIQUE,2M INFORMATIQUE,company,1,0
CO_2M_RASSLENE_COMMERCE,SOCIETE 2M RASSLENE DE COMMERCE,company,1,1
CO_2PRO_E,2PRO E,company,1,1
CO_2_A_TANNING,2 A TANNING,company,1,1
CO_2_K_EVENTS,2 K EVENTS,company,2,0
CO_2_M,SOCIETE 2 M,company,1,1
CO_2_S_CONSULTING,SOCIETE 2 S CONSULTING,company,1,1
CO_3A_CONFECTION,3A CONFECTION,company,1,1
CO_3A_TS,3A TS,company,1,1
CO_3C,LES 3C,company,1,1
CO_3D,3D,company,2,1
CO_3D_SOFT,3D SOFT,company,1,1
CO_3I_EXPORT,3I EXPORT,company,1,0
CO_3I_MOTION,SOCIETE 3I MOTION,company,1,1
CO_3M_ELECT,3M ELECT,company,1,1
CO_3P,SOCIETE 3P,company,1,0
CO_3S_SICAR,3S SICAR,company,4,1
CO_3WA_FRANCE,3WA FRANCE,company,2,0
CO_3W_ACADEMY_TUNISIE,3W ACADEMY TUNISIE,company,2,0
CO_4MK_LAUTOCOLLANT,SOCIETE 4MK LAUTOCOLLANT,company,1,0
CO_4_MK_INNOVATION,4 MK INNOVATION,company,1,0
CO_4_M_MEUBLES_METALLIQUES,4 M MEUBLES METALLIQUES,company,1,0
CO_79LA_AGRICOLE_ERRAOUDHA,79LA SOCIETE AGRICOLE ERRAOUDHA,company,1,1
CO_8000_PROD,8000 PROD,company,1,0
CO_A3R,A3R,company,1,0
CO_A4CONTENT,A4CONTENT,company,1,1
CO_AA_INDUSTRIES,AA INDUSTRIES,company,4,1
CO_ABACUS,ABACUS,company,2,1
CO_ABASSI_CONFECTION,ABASSI CONFECTION,company,2,0
CO_ABASTADO_KARMA_ADVISORY,ABASTADO ET KARMA ADVISORY,company,1,1
CO_ABATTOIRE_UNIQUE_A_SFAX,ABATTOIRE UNIQUE A SFAX,company,1,1
CO_ABATTOIR_AVICOLE_ESSOUASSI,SOCIETE ABATTOIR AVICOLE ESSOUASSI,company,4,1
CO_ABATTOIR_AVICOLE_JEBENIANA_BNINA_SAAJE_BNINA,SOCIETE ABATTOIR AVICOLE JEBENIANA BNINA SAAJE BNINA,company,1,1
CO_ABATTOIR_AVICOLE_NORD,ABATTOIR AVICOLE DU NORD,company,1,0
CO_ABATTOIR_CHARCUTERIE_CENTRE,SOCIETE ABATTOIR ET CHARCUTERIE DU CENTRE,company,1,1
CO_ABAYA_ROYAL_LUXE,SOCIETE ABAYA ROYAL DE LUXE,company,1,0
CO_ABBASSI_CARRIERE,ABBASSI DE CARRIERE,company,1,0
CO_ABBES_MENUISERIE_DALUMINIUM,ABBES DE MENUISERIE DALUMINIUM,company,3,1
CO_ABB_UTILITIES,ABB UTILITIES,company,1,0
CO_ABC,ABC,company,4,1
CO_ABC_GROS,ABC GROS,company,2,1
CO_ABC_TUNISIE,ABC TUNISIE,company,2,1
CO_ABC_WEBMAKETING,ABC WEBMAKETING,company,1,1
CO_ABDELHEDI_ZOUARI,SOCIETE ABDELHEDI ET ZOUARI,company,1,0
CO_ABDELKADER_SLAMA_POTERIE,SOCIETE ABDELKADER SLAMA POTERIE,company,1,1
CO_ABDELLATIF_CHEDLI_INTERNATIONAL_CONSULTING,ABDELLATIF ET CHEDLI INTERNATIONAL CONSULTING ACIC,company,2,1
