id_type,value_normalised,rne_name_fr,rne_name_ar,rne_category,rne_year_creation,seed_org_id,seed_org_label,match_basis,match_score,is_identity,n_jort_orgs
matricule_fiscal,1580252D,MOHAMED HEDI CHEBIL CONSULTING COMPANY,شركة محمد الهالدي شبيل كنسلتنق,SOCIETE,2018,,,generic_fuzzy,1.0,0,1
matricule_fiscal,1580254F,STE AKROUT GENERALE AUTO,شركة العكروت جنرال أتو,SOCIETE,2018,,,generic_fuzzy,1.0,0,1
matricule_fiscal,1580265J,SOCIETE GYM FOR-EVER,GYM FOR-EVER,SOCIETE,2018,,,none,0.0,0,1
matricule_fiscal,1580270F,ASSAFINAH TOURISM & TRAVEL ATT,السفينة للسياحة والاسفار,SOCIETE,2018,,,generic_fuzzy,0.8571,0,1
matricule_fiscal,1580296R,ANIMALUX,أنيمالوكس,SOCIETE,2018,,,none,0.0,0,1
matricule_fiscal,1580299V,STE TOUT TRAVAUX SINDA,شركة جميع الاشغال سندة,SOCIETE,2018,,,generic_fuzzy,0.8,0,1
matricule_fiscal,1580304Y,STE E COMPETENTIA,ا كمبتنسيا,SOCIETE,2018,,,none,0.0,0,1
matricule_fiscal,1580325D,Sté MOUNA  CHAABEN CONFECTION,شركة منى شعبان للخياطة,SOCIETE,2018,,,generic_fuzzy,1.0,0,1
matricule_fiscal,1580350E,STE IPHC,شركة IPHC,SOCIETE,2018,,,none,0.0,0,1
matricule_fiscal,1580351F,STE BRIGHT HOUSE CITY,شركة برايت هاوس سيتي,SOCIETE,2018,,,generic_fuzzy,0.7143,0,1
matricule_fiscal,1580359P,SOCIETE 3S IMMO,شركة 3S IMMO,SOCIETE,2018,,,generic_fuzzy,0.6154,0,1
matricule_fiscal,1580362J,STE AL MANSOUR DE CONSTRUCTION  METALLIQUE,شركة المنصور للأنشاءات المعدنية,SOCIETE,2018,,,generic_fuzzy,0.8571,0,1
matricule_fiscal,1580375P,DEVART,ديفار,SOCIETE,2018,,,none,0.0,0,1
matricule_fiscal,1580376Q,STE TUNISIE CONSTAT,شركة تونيزي كونستا,SOCIETE,2018,,,generic_fuzzy,0.8235,0,1
matricule_fiscal,1580390N,Sté SKHIRI MEDICALE,شركة السخيري الطبية,SOCIETE,2018,,,generic_fuzzy,0.8,0,1
matricule_fiscal,1580409G,STE DES TRAVAUX PUBLICS ET DE SERVICES,شركة الاشغال العامة و الخدمات,SOCIETE,2018,,,generic_fuzzy,1.0,0,1
matricule_fiscal,1580413C,,ديجيتال نيو أج,SOCIETE,2018,,,no_french_name,,0,1
matricule_fiscal,1580415E,ENTREPRISE IBTIHEL,شركة ابتهال للمقاولات,SOCIETE,2018,,,none,0.0,0,1
