company_key,matricule,num_registre,identifiers_in_gazette,legal_form,legal_form_first,is_conversion,conversion_date,minority_forms,form_basis,forms_stated,n_forms_stated,rne_name_fr,rne_name_ar,rne_category,rne_year_creation,jort_label,org_entity_id,seed_org_id,first_seen,last_seen,n_events,n_persons,n_persons_seed_elite,n_persons_gazette_only
104422004,860463P,104422004,860463P,SARL,SARL,0,,,gazette_rubric,SARL:1,1,SOCIETE GENERALE SERVICES AUTOMOBILES,العامة لخدمات الــسيارات,SOCIETE,2004,Société Générale Services Auto SARL,ORGE_76523984609a8c1b2cc2,,2007-08-08,2007-08-08,1,0,0,0
104912004,863032G,104912004,863032G,SARL,SARL,0,,,gazette_rubric,SARL:1,1,SOCIETE CHEDLY MAHOU 'S M C',شـركة الشـاذلي ماهـو,SOCIETE,2004,Société SMC,CO_SMC,,2017-08-31,2017-08-31,1,1,0,1
10933582007,863168Y,10933582007,10933582007|863168Y,SARL,SARL,0,,,gazette_rubric,SARL:5,1,CANTUNIS,كــان تونس,SOCIETE,2007,Société CANTUNIS SARL,ORGE_a84001c30bb3f468d691,,2004-09-20,2015-12-14,5,4,0,4
1518872008,1041915W,1518872008,1041915W,SARL,SARL,0,,,gazette_rubric,SARL:1,1,,شركة وجدان للخياطة,SOCIETE,2008,Sté WEJDANE CONFECTION,ORGE_68535ad10b1cbe3bcf20,,2018-03-06,2018-03-06,1,1,0,1
B00200822010,1177029X,B00200822010,1177029X,SARL,SARL,0,,,gazette_rubric,SARL:1,1,NOUJOUM AL ISTITHMAR,نجوم الاستثمار,SOCIETE,2010,Société : Noujoum Al-istithmar,ORGE_e04cad2b7be42be22243,,2011-04-13,2011-04-13,1,1,0,1
B01100002016,1456945F,B01100002016,1456945F,SARL,SARL,0,,,gazette_rubric,SARL:3,1,STE SAS TUNIS,شركة ساس تونس,SOCIETE,2016,Sté S,ORGE_88f0e6a8da50388af79e,,2016-05-06,2016-10-04,3,2,0,2
B01100042018,1566601V,B01100042018,1566601V,SARL,SARL,0,,,gazette_rubric,SARL:2,1,SOCIETE PROMODE,شركة برومود,SOCIETE,2018,PROMODE,ORGE_aa4aecaadfcdcd153062,,2018-04-04,2018-04-04,2,1,0,1
B01100102011,1183749M,B01100102011,1183749M|B01100102011,SA,SA,0,,,gazette_rubric,SA:23,1,ZITOUNA TAKAFUL,شركة الزيتونة تكافل,SOCIETE,2011,ZITOUNA TAKAFUL,CO_ZITOUNA_TAKAFUL,CO_ZITOUNA_TAKAFUL,2010-12-21,2017-03-24,23,8,1,7
B01100122015,1402682G,B01100122015,1402682G,SARL,SARL,0,,,gazette_rubric,SARL:1,1,TELAZ BROTHERS,تيلاز بروذر ش م م,SOCIETE,2015,Sté TELAZ BROTHERS,ORGE_20c2f7963559dd8681df,,2015-04-17,2015-04-17,1,0,0,0
B01100132017,1512623G,B01100132017,1512623G,SARL,SARL,0,,,gazette_rubric,SARL:2,1,DIgital Developpement,ديجتال دفلوبمون ش م م,SOCIETE,2017,DigiDev,ORGE_d59d0b47ae1234951ac5,,2017-04-25,2017-04-25,2,1,1,0
B01100172010,1148829L,B01100172010,1148829L|B01100172010,SARL,SARL,0,,,gazette_rubric,SARL:4,1,TIVOLI,تيفولي,SOCIETE,2010,TIVOLI SARL,ORGE_50bceba044fd2a8ed3eb,,2010-02-15,2017-06-22,4,1,0,1
B01100172015,1402809D,B01100172015,1402809D,SARL,SARL,0,,,gazette_rubric,SARL:2,1,SGIG TUNISIE,س.ج.إ.ج تونيزي ش م م,SOCIETE,2015,SGIG Tunisie,ORGE_0f7d60080d5db9f66a76,,2015-05-12,2015-05-12,2,1,0,1
B01100182018,1565621V,B01100182018,1565621V,SARL,SARL,0,,,gazette_rubric,SARL:2,1,SOCIETE CHAOUCH COMPANY CEREMONIE,شركة شاوش كومباني سيرموني,SOCIETE,2018,Sté Chaouch Company cérémonie,ORGE_7d8f3695ded7d3e7a89d,,2018-01-24,2018-01-24,2,1,0,1
B01100192014,1349362N,B01100192014,1349362N,SARL,SARL,0,,,gazette_rubric,SARL:2,1,SOCIETE E.T. EXPRESS,شركة آت اكسبراس,SOCIETE,2014,E,ORGE_67ebced5f67ac1b61bbf,,2014-05-12,2014-05-12,2,1,0,1
B011002009,1079478X,B011002009,1079478X|B011002009,SUARL,SUARL,0,,,gazette_rubric,SUARL:5,1,,+ شركة بية,SOCIETE,2009,Société Beya+,CO_TOURISTIQUE_BEYA_HOTEL_FRANCE_TABARKA,,2012-03-25,2012-03-25,5,4,0,4
B01100202017,1513352G,B01100202017,1513352G,SARL,SARL,0,,,gazette_rubric,SARL:3,1,STE S.R.M,شركة أس أر أم,SOCIETE,2017,S,ORGE_88f0e6a8da50388af79e,,2017-04-12,2017-04-12,3,2,1,1
B01100222016,1455601D,B01100222016,1455601D,SARL,SARL,0,,,gazette_rubric,SARL:2,1,TECHNO HOTEL,تكنو اوتال,SOCIETE,2016,TECHNO HOTEL,ORGE_5301e63e2095e8a746e1,,2016-04-27,2016-04-27,2,1,0,1
B01100222017,1513463N,B01100222017,1513463N,SUARL,SUARL,0,,,gazette_rubric,SUARL:2,1,Upah Holding,اباه هولدينق ش ش م م,SOCIETE,2017,Upah holding,CO_UPAH_HOLDING,CO_UPAH_HOLDING,2017-05-04,2017-05-04,2,1,1,0
B01100232014,1343793H,B01100232014,1343793H,SARL,SARL,0,,,gazette_rubric,SARL:3,1,SOCIETE MANAGEMENT COFFE & RESTAURANT,مناجمنت كوفي و ريستوراسيون,SOCIETE,2014,Management Coffe & Restauration,ORGE_c056c99381490170f29d,,2013-08-22,2017-09-28,3,1,0,1
B01100242014,1350202N,B01100242014,1350202N,SARL,SARL,0,,,gazette_rubric,SARL:2,1,Z-ALU,شركة ز- ألي ش م م,SOCIETE,2014,Société Z . ALU,ORGE_9ddc460eaeaa80919441,,2020-06-05,2020-06-05,2,1,0,1
B01100292016,1456233D,B01100292016,1456233D|B01100292016,SARL,SARL,0,,,gazette_rubric,SARL:4,1,,شركة الشمعة,SOCIETE,2016,LA BOUGIE,ORGE_113e94e53867a60bdee2,,2016-05-02,2017-04-17,4,2,0,2
B01100302018,1566314Q,B01100302018,1566314Q,SARL,SARL,0,,,gazette_rubric,SARL:2,1,SOCIETE JC CALL CENTRE,شركة ج س كال سنتر,SOCIETE,2018,STE JC CALL CENTRE,ORGE_010c9e5cae1fce5ee8e5,,2018-04-01,2018-04-01,2,1,0,1
B01100332014,1350171Z,B01100332014,1350171Z,SARL,SARL,0,,,gazette_rubric,SARL:2,1,MAGHREB DENTAL CARE,مغرب دنتال كار,SOCIETE,2014,Maghreb Dental Care,CO_MAGHREB_DENTAL_CARE,CO_MAGHREB_DENTAL_CARE,2014-05-09,2014-05-09,2,1,1,0
B01100362014,1350195H,B01100362014,1350195H,SARL,SARL,0,,,gazette_rubric,SARL:2,1,Sté EMRAUDE TRAVEL,شركة أمرود ترافل ش م م,SOCIETE,2014,Sté Emraude Travel,ORGE_e73e619a24b7f9824710,,2014-05-09,2014-05-09,2,1,0,1
B01100402018,1564408M,B01100402018,1564408M,SARL,SARL,0,,,gazette_rubric,SARL:2,1,LEAN MANUFACTURING AND MANAGEMENT MANAR,لين منوفكتورينق و اعمال المنار,SOCIETE,2018,L2M MANAR,ORGE_5668d4c4c863a1530fc4,,2018-03-30,2018-03-30,2,1,0,1
