company_key,matricule,num_registre,identifiers_in_gazette,legal_form,legal_form_first,is_conversion,conversion_date,minority_forms,form_basis,forms_stated,n_forms_stated,rne_name_fr,rne_name_ar,rne_category,rne_year_creation,jort_label,org_entity_id,seed_org_id,first_seen,last_seen,n_events,n_persons,n_persons_seed_elite,n_persons_gazette_only
B01100412017,1513639V,B01100412017,1513639V,SUARL,SUARL,0,,,gazette_rubric,SUARL:2,1,WASSILA COMMUNICATION ET SERVICES,وسيلة كومينيكاسيون إي سرفيس,SOCIETE,2017,Sté Wassila Communication et Services,ORGE_7bcf4c480c9f63e2ad2b,,2017-05-03,2017-05-03,2,1,0,1
B0110042005,907252J,B0110042005,B0110042005,SA,SA,0,,,gazette_rubric,SA:17,1,STE IMMOB ET TOURISTIQ MARINA GAMMARTH,الشركة العقارية والسياحية مارينا قمرت,SOCIETE,2005,Société Immobilière et Touristique Marina Gammarth,CO_IMMOBILIERE_TOURISTIQUE_MARINA_GAMMARTH,,2006-11-30,2017-01-23,17,5,0,5
B01100442010,1152315S,B01100442010,1152315S,SARL,SARL,0,,,gazette_rubric,SARL:2,1,dsim Matériaux,دسيم للمواد ش م م,SOCIETE,2010,Dsim Matériaux,ORGE_0eaf1d3b413e2ec56599,,2010-03-24,2010-03-24,2,1,0,1
B01100452013,1295932E,B01100452013,1295932E|B01100452013,SARL,SARL,0,,,gazette_rubric,SARL:10,1,STE BIOPAM,شركة بيوبام,SOCIETE,2013,Société Biopam,ORGE_820d36367fb9a37d4e67,,2013-03-14,2018-01-05,10,4,0,4
B01100452018,1562481N,B01100452018,1562481N,SARL,SARL,0,,,gazette_rubric,SARL:2,1,STE MY COFFEE,مي كوفي,SOCIETE,2018,STE MY COFFEE,ORGE_a47b6688e0ef3c43af81,,2018-04-24,2018-04-24,2,1,0,1
B01100502018,1566603X,B01100502018,1566603X,SUARL,SUARL,0,,,gazette_rubric,SUARL:2,1,STE ONYX COMMUNICATION,أونيكس كومينيكاسيون,SOCIETE,2018,ONYX COMMUNICATION,ORGE_73a5f93604a0883725ad,,2018-04-19,2018-04-19,2,1,0,1
B0110052005,905954A,B0110052005,905954A|B0110052005,SARL,SARL,0,,,gazette_rubric,SARL:3,1,STE 'ELFARHA',شركة الفرحة,SOCIETE,2005,Société El Farha,ORGE_3033a8d463089336e1bd,,2005-02-02,2009-03-30,3,2,0,2
B01100522013,1299091E,B01100522013,1299091E|B01100522013,SARL,SARL,0,,,gazette_rubric,SARL:1,1,,شركة أريكا للهندسة ش م م,SOCIETE,2013,EUREKA INGENIERIE,ORGE_7133084e952a6c2285b3,,2015-02-13,2015-02-13,1,1,0,1
B01100522016,1450619S,B01100522016,1450619S,SUARL,SUARL,0,,,gazette_and_register_name_agree,SUARL:2,1,CAT CONSULTING AUDITING TRAINING   SUARL,كات كونسلتينق أوديتينق تراينينق  ش ش و ذ م م,SOCIETE,2016,Société CAT Consulting Auditing Training,ORGE_6ba1d324c0377df109a1,,2016-03-05,2016-03-05,2,1,0,1
B01100582009,1105753Y,B01100582009,1105753Y|B01100582009,SUARL,SUARL,0,,,gazette_rubric,SUARL:2,1,,SOCIETE TUNISIENNE DE REPARATION  DES ENGINS SPECIAUX,SOCIETE,2009,Société STRES SUARL,ORGE_7889b5dd693689da1529,,2009-10-06,2009-10-06,2,2,0,2
B01100582018,1561425A,B01100582018,1561425A,SARL,SARL,0,,,gazette_rubric,SARL:2,1,SOCIETE GREEN PALLADIUM PARK,شركة قرين بلاديوم بارك,SOCIETE,2018,Sté Green Palladuim Park,ORGE_6ec3833135f24b5a3030,,2018-03-16,2018-03-16,2,1,0,1
B01100602014,1350146Y,B01100602014,1350146Y|B01100602014,SARL,SARL,0,,,gazette_rubric,SARL:6,1,,سان واي,SOCIETE,2014,Sté SUNWAY,ORGE_62385d37cd99d76676f9,,2014-10-29,2015-01-29,6,6,0,6
B0110062008,1034557B,B0110062008,1034557B,SARL,SARL,0,,,gazette_rubric,SARL:6,1,COMPTOIR MONDIAL DE BATIMENT:CMB,المصرف العالمي للبناء,SOCIETE,2008,Comptoir Mondial de Bâtiment C,ORGE_51eba44652a900b71da4,,2008-01-07,2010-05-20,6,4,0,4
B01100672013,1299178L,B01100672013,1299178L|B01100672013,SA,SA,0,,,gazette_rubric,SA:16,1,SOCIETE DELICE HOLDING,شركة دليس القابضة,SOCIETE,2013,DELICE HOLDING - SA - DH,CO_DELICE_HOLDING,CO_DELICE_HOLDING,2013-08-07,2018-04-25,16,9,3,6
B01100692018,1566758R,B01100692018,1566758R,SARL,SARL,0,,,gazette_rubric,SARL:2,1,CARTHAGO MED,كارتاقو ماد,SOCIETE,2018,Carthago Med,CO_CARTHAGO,CO_CARTHAGO,2018-04-19,2018-04-19,2,1,0,1
B0110072013,1281308M,B0110072013,1281308M,SARL,SARL,0,,,gazette_rubric,SARL:2,1,,معادي ترايدينغ كوا,SOCIETE,2013,Maadi Trading Co,ORGE_88a220b61f0a979d37f7,,2013-01-15,2013-01-15,2,1,0,1
B0110072018,1548342S,B0110072018,1548342S,SARL,SARL,0,,,gazette_rubric,SARL:2,1,GESTORIA CONSEIL,جستوريا كونساي,SOCIETE,2018,Société GESTORIA CONSEIL,ORGE_522981ba2e6a211c83bf,,2018-01-15,2018-01-15,2,1,0,1
B01100732016,1456967M,B01100732016,1456967M,SARL,SARL,0,,,gazette_rubric,SARL:1,1,INSTA PRINT,أنستا برنت ش م م,SOCIETE,2016,INSTA PRINT,ORGE_73e9f0123299e49c4318,,2016-05-02,2016-05-02,1,0,0,0
B01100742015,1402515R,B01100742015,1402515R,SARL,SARL,0,,,gazette_rubric,SARL:2,1,ITEK4YOU,اي تاك فوريو,SOCIETE,2015,"ITEK4YOU, Siège social : Espace Tunis",ORGE_889bd7cb411438b8350e,,2015-05-11,2015-05-11,2,1,0,1
B01100752011,1200129N,B01100752011,1200129N|B01100752011,SARL,SARL,0,,,gazette_rubric,SARL:2,1,GLE TX INDUSTRIELS,العامة للاشغال الصناعية,SOCIETE,2011,Sté GENERAL TRAVAUX INDUSTRIEL G.T.I,ORGE_0d2c7b1a45bc84d5ba61,,2015-11-24,2015-11-24,2,1,0,1
B01100762014,1350318A,B01100762014,1350318A,SUARL,SUARL,0,,,gazette_rubric,SUARL:1,1,,م.د.أ .كونسيلتينق ش ش م م,SOCIETE,2014,"MDA Consulting, Siège social : Résidence Océane Appt",ORGE_fbf0ab3d9a787c91d14d,,2014-05-13,2014-05-13,1,0,0,0
B01100762016,1457129J,B01100762016,1457129J,SARL,SARL,0,,,gazette_rubric,SARL:2,1,STE CMR AUDIT ET CONSEIL,شركة س م ر المراجعة والنصيحة,SOCIETE,2016,Sté CMR,ORGE_24178c4c0daf8bfac22e,CO_CMR_AUDIT,2016-05-06,2016-05-06,2,1,0,1
B01100772016,1456791F,B01100772016,1456791F|B01100772016,SARL,SARL,0,,,gazette_rubric,SARL:5,1,GREEN TEEN MED,قرين تين ماد ش م م,SOCIETE,2016,Sté Green Teen Med,ORGE_39cc61cedb3023747c07,,2016-05-09,2018-07-19,5,2,0,2
B01100772017,1510725D,B01100772017,1510725D|B01100772017,SARL,SARL,0,,,gazette_rubric,SARL:2,1,SOCIETE CASUAL BET,شركة كازيوال بات,SOCIETE,2017,Société CASUAL BET,ORGE_185e3db7d8d47ccd63af,,2017-12-11,2018-04-02,2,0,0,0
B01100852015,1400715P,B01100852015,1400715P,SUARL,SUARL,0,,,gazette_rubric,SUARL:1,1,ELITE COMMERCE,اليت للتجارة,SOCIETE,2015,Elite café,ORGE_1a7f4d005291f2267b70,,2015-04-27,2015-04-27,1,0,0,0
B0110092007,988367S,B0110092007,B0110092007,SARL,SARL,0,,,gazette_rubric,SARL:3,1,STE MEDIA-SUD TRADING,شركة ميديا جنوب ترادنغ,SOCIETE,2007,SOCIETE MEDIA-SUD TRADING,ORGE_2ea6ba1574051da2812e,,2011-04-09,2011-04-09,3,3,0,3
B01101012018,1566605Z,B01101012018,1566605Z,SUARL,SUARL,0,,,gazette_rubric,SUARL:2,1,BSW DE COMMERCE,ب س و للتجارة,SOCIETE,2018,BSW DE COMMERCE,ORGE_ecf4adcf3b6b4c1b2da0,,2018-04-17,2018-04-17,2,1,0,1
B0110102013,1281089W,B0110102013,1281089W|B0110102013,SARL,SARL,0,,,gazette_rubric,SARL:6,1,BBG BITBASE GROUP AFRICA,ب ب ج بيتبايز قروب افريكا,SOCIETE,2013,Société BITBASE TUNISIE SA R L,CO_BITBASE_TUNISIE,,2015-02-09,2018-06-26,6,1,1,0
B01101022017,1506066L,B01101022017,1506066L,SARL,SARL,0,,,gazette_rubric,SARL:2,1,REMORA SERVICES,ريمورا سرفيس ش م م,SOCIETE,2017,18 Rue Ennajachi - Cité El khadhra - Tunis,ORGE_50a7b8d0480e4a7ff8bf,,2017-03-10,2017-03-10,2,1,0,1
B01101022018,1566780P,B01101022018,1566780P,SUARL,SUARL,0,,,gazette_rubric,SUARL:2,1,ARES CONSULTING,أريس كونسلتينق,SOCIETE,2018,ARES CONSULTING,ORGE_893064ece8d6da4b819a,,2018-04-20,2018-04-20,2,1,0,1
B01101032013,1298249E,B01101032013,1298249E|B01101032013,SARL,SARL,0,,,gazette_rubric,SARL:2,1,CENTRE D'IMAGERIE MEDICALE DU LAC,مركز التصوير الطبي بالبحيرة,SOCIETE,2013,Société Centre d'imagerie médicale du Lac,ORGE_b017015af5b503337c54,CO_CENTRE_DIMAGERIE_MEDICALE_LAC,2015-10-05,2017-03-17,2,1,0,1
B01101032017,1511393H,B01101032017,1511393H,SARL,SARL,0,,,gazette_rubric,SARL:2,1,STE FOOD BON GOUT,فود بنقو,SOCIETE,2017,FOOD BON GOUT,CO_BON_GOUT,CO_BON_GOUT,2017-04-17,2017-04-17,2,1,0,1
B01101042015,1382628M,B01101042015,1382628M|B01101042015,SA,SA,0,,,gazette_rubric,SA:19,1,S B A WORKFORCE,أس ب أ واركفورس ش م م,SOCIETE,2015,SBA WORKFORCE,ORGE_6c89f2e23e5a788a1a24,,2016-01-29,2026-03-09,19,6,1,5
B01101062018,1566331R,B01101062018,1566331R,SARL,SARL,0,,,gazette_rubric,SARL:2,1,,ديناميك ديقنوستيك ديفلوبمون,SOCIETE,2018,DYNAMIC DIAGNOSTIC ET DEVELOPEMENT,ORGE_bf3bf5cf7467f258ce72,,2018-04-19,2018-04-19,2,1,0,1
B01101082017,1513729W,B01101082017,1513729W,SARL,SARL,0,,,gazette_rubric,SARL:2,1,SMART SOLUTIONS,سمارت سلوشن ش م م,SOCIETE,2017,Sté SMART SOLUTIONS,ORGE_e74e5673420cea7e4197,,2017-05-04,2017-05-04,2,1,0,1
B01101152013,1299580S,B01101152013,1299580S|B01101152013,SARL,SARL,0,,,gazette_rubric,SARL:1,1,STE ENTREPRISE TRAVAUX ELECTRICITE,شركة أشغال الكهرباء,SOCIETE,2013,STE ETE SARL,ORGE_960284224f3fcfba7b30,,2015-02-17,2015-02-17,1,1,0,1
B01101162010,1152919R,B01101162010,1152919R,SARL,SARL,0,,,gazette_rubric,SARL:1,1,,رواق القرانيت ش م م,SOCIETE,2010,GRANITE GALLERY,CO_GRANITE_GALLERY,,2010-05-17,2010-05-17,1,0,0,0
B01101172012,1249926X,B01101172012,1249926X|B01101172012,SARL,SARL,0,,,gazette_rubric,SARL:2,1,,شركة المشروبات الحديثة,SOCIETE,2012,Société DES BOISSONS MODERNES,ORGE_4b407bf43ee09143970e,,2016-03-31,2016-03-31,2,0,0,0
B01101192016,1457307J,B01101192016,1457307J,SARL,SARL,0,,,gazette_rubric,SARL:3,1,CORE HEALTH PHARMA DISTRIBUTION,كور هيلث فارما ديستريبسيون,SOCIETE,2016,Core health pharma distribution,ORGE_dfcb7d0f450fea960505,,2016-05-14,2017-06-19,3,1,0,1
B011012007,984734D,B011012007,984734D,SARL,SARL,0,,,gazette_rubric,SARL:1,1,COMPTOIR GENERAL DES EQUIPEMENTS,المصرف العام للتجهيزات,SOCIETE,2007,Comptoir Général des Equipements C.G.E,ORGE_f9ba385e2f3dee06d211,,2007-03-03,2007-03-03,1,1,0,1
B01101202013,1299513F,B01101202013,1299513F,SA,SARL,1,2015-01-26,SARL:12,gazette_rubric,SA:17|SARL:12,2,STE ASTORIA IMMOBILIERE,شركة استوريا العقارية,SOCIETE,2013,Agrément de cessions de parts sociales et des nouveaux associés de la société,CO_ASTORIA_IMMOBILIERE,CO_ASTORIA_IMMOBILIERE,2013-12-25,2018-12-03,29,8,0,8
B01101202015,1403045L,B01101202015,1403045L,SARL,SARL,0,,,gazette_and_register_name_agree,SARL:2,1,"CENTRE D'ETUDES STRATEGIQUES POUR LE  MAGHREB ""CESMA"" sarl",مركز الدراسات الاستراتيجية حول المغرب العربي,SOCIETE,2015,Centre d'études stratégiques pour le Maghreb CESMA,ORGE_498d4ae7b4e68d88353c,,2015-04-29,2015-04-29,2,1,0,1
B01101222017,1512827S,B01101222017,1512827S,SARL,SARL,0,,,gazette_rubric,SARL:2,1,PODUIM COMPANY,بودويم كومباني,SOCIETE,2017,Sté Poduim Company,ORGE_ca6d12648ce65a4fbc77,,2017-04-26,2017-04-26,2,1,0,1
B01101222018,1566746M,B01101222018,1566746M,SARL,SARL,0,,,gazette_rubric,SARL:2,1,STE GENERALE CONFECTION,العامة للخياطة,SOCIETE,2018,GENERALE CONFECTION,CO_GENERALE_CONFECTION,CO_GENERALE_CONFECTION,2018-04-20,2018-04-20,2,1,0,1
B01101232018,1566802C,B01101232018,1566802C,SARL,SARL,0,,,gazette_rubric,SARL:2,1,,المعهد الدولي للدراسة والشراكة,SOCIETE,2018,INTERNATIONAL INSTITUTE FOR STUDIES COOPERATION,ORGE_db94e3b245051c2c2c4f,,2018-04-18,2018-04-18,2,1,0,1
B01101242017,1504690X,B01101242017,1504690X,SARL,SARL,0,,,gazette_and_register_name_agree,SARL:2,1,PLATINIUM  SARL,بلاتينيوم  ش ذ م م,SOCIETE,2017,Platinium,CO_PLATINIUM_CERAM,CO_PLATINIUM_CERAM,2017-05-04,2017-05-04,2,1,0,1
B01101252016,1457210A,B01101252016,1457210A,SARL,SARL,0,,,gazette_rubric,SARL:2,1,STE GREEN TRADE,شركة قرين ترايد,SOCIETE,2016,Sté Green Trade,ORGE_eed740b00b445706e9be,,2016-05-09,2016-05-09,2,1,0,1
B01101312018,1566762M,B01101312018,1566762M,SARL,SARL,0,,,gazette_rubric,SARL:2,1,DIGISYSTEM,دي جي سيستام,SOCIETE,2018,DIGISYSTEM,ORGE_06a0962eb1a5629a4ffc,,2018-04-16,2018-04-16,2,1,0,1
B01101382018,1566261V,B01101382018,1566261V,SUARL,SUARL,0,,,gazette_rubric,SUARL:2,1,STE LIGHTNG ELECTRICITY SERVICE,خدمات الإضاءة و الكهرباء,SOCIETE,2018,LIGHTING ELECTRICITY SERVICE,ORGE_32fae46ca0f2e395fb23,,2018-03-27,2018-03-27,2,1,0,1
B01101392016,1457037F,B01101392016,1457037F,SARL,SARL,0,,,gazette_rubric,SARL:2,1,SOCIETE DE GESTION ET D'ASSISTANCE,شركة التصرف والمساعدة,SOCIETE,2016,Société de gestion et d'assistance SOGEA,ORGE_ae64be9d3cee7cf1bb20,,2016-05-02,2016-05-02,2,1,0,1
B0110142018,1548479K,B0110142018,1548479K|B0110142018,SARL,SARL,0,,,gazette_rubric,SARL:4,1,Sté KAOUN,شركة كون ش م م,SOCIETE,2018,Sté KAOUN,CO_KAOUN,CO_KAOUN,2018-01-15,2018-05-21,4,1,1,0
B01101452018,1565023C,B01101452018,1565023C,SARL,SARL,0,,,gazette_rubric,SARL:4,1,SOCIETE MADUREL DECO,شركة ماديرال ديكو,SOCIETE,2018,Madurel Déco,ORGE_5e1995c919150afb72c7,,2018-04-06,2018-09-17,4,2,0,2
B01101532013,1299661S,B01101532013,1299661S,SARL,SARL,0,,,gazette_rubric,SARL:5,1,,ويثنك,SOCIETE,2013,Société WETHINK S.A.R.L,ORGE_41289da9fa415535f1e3,,2014-07-09,2015-03-12,5,3,0,3
B01101572014,1349930Z,B01101572014,1349930Z,SARL,SARL,0,,,gazette_rubric,SARL:2,1,STE LA MARIEE,شركة العروسة,SOCIETE,2014,La Mariée,ORGE_ec68b86f9a0d6ba75cc5,,2014-05-02,2014-05-02,2,1,1,0
B01101572016,1457110X,B01101572016,1457110X,SARL,SARL,0,,,gazette_rubric,SARL:1,1,H E Z N I,هزني,SOCIETE,2016,Hezni,ORGE_27e5db08438d63089967,,2016-05-09,2016-05-09,1,0,0,0
B01101592018,1565912D,B01101592018,1565912D,SARL,SARL,0,,,gazette_rubric,SARL:1,1,STE  GRAINES DE SESAME,قران دوسيزام,SOCIETE,2018,Graines de sésame SARL,ORGE_684e54c4b5901044c47c,,2018-04-24,2018-04-24,1,0,0,0
B01101602014,1350558Q,B01101602014,B01101602014,SARL,SARL,0,,,gazette_and_register_name_agree,SARL:5,1,STE MEDIGROS SARL,شركة موديقرو ش ذ م م,SOCIETE,2014,Société MEDIGROS,ORGE_fc771e718cb134c1cd8d,,2016-04-27,2018-10-26,5,2,0,2
B01101622009,1022842P,B01101622009,1022842P,SARL,SARL,0,,,gazette_rubric,SARL:2,1,ETS TENNE D'APPLICATION TECHNOLOGIQUE,المؤسسة التونسية لتطبيق التكنولوجيا,SOCIETE,2009,ETS TENNE D'APPLICATION TECHNOLOGIQUE,ORGE_57bbdf9e5e8dacdc84dd,,2009-07-02,2009-07-02,2,1,0,1
B01101622018,1566852N,B01101622018,1566852N,SARL,SARL,0,,,gazette_rubric,SARL:2,1,TUNISIA TRAVAUX PUBLICS & ROUTES,شركة التونسية للأشغال العامة والطرقات,SOCIETE,2018,Tunisia Travaux Public et Routes,ORGE_dd318fa6569adc82ef6b,,2018-04-19,2018-04-19,2,1,0,1
B01101642013,1299352G,B01101642013,1299352G|B01101642013,SARL,SARL,0,,,gazette_rubric,SARL:3,1,SOCIETE MEDDEB CONSULTING,شركة المؤدب كونسلتينق,SOCIETE,2013,Meddeb Consulting - SARL,CO_MEDDEB_CONSULTING,CO_MEDDEB_CONSULTING,2013-05-07,2017-10-17,3,1,1,0
B01101682014,1349699M,B01101682014,1349699M,SUARL,SUARL,0,,,gazette_rubric,SUARL:2,1,STE SUREZ INTERNATIONAL,سوراز العالمية,SOCIETE,2014,SUREZ INTERNATIONAL,ORGE_2fcc9775f11b64ce2ed8,,2014-05-07,2014-05-07,2,1,0,1
B01101702018,1566963V,B01101702018,1566963V,SARL,SARL,0,,,gazette_rubric,SARL:2,1,D.K.S INGENIEURE,د ك س انجينيور,SOCIETE,2018,D,ORGE_1e34612d7609eae0b134,,2018-04-28,2018-04-28,2,1,0,1
B01101712015,1403157T,B01101712015,1403157T,SARL,SARL,0,,,gazette_rubric,SARL:2,1,STE FFSENSE INC.TUNISIA,أف أف سانس إنك تونس,SOCIETE,2015,Sté MH TRADING,ORGE_8632c8b2cd52797300c4,,2015-05-14,2015-05-14,2,1,0,1
B0110172015,1382450D,B0110172015,1382450D,SARL,SARL,0,,,gazette_rubric,SARL:2,1,STE ALPHA GEST,شركة ألفاء جاست,SOCIETE,2015,Alpha Gest,ORGE_d04f2f4af159fb614568,,2015-01-05,2015-01-05,2,1,0,1
B0110172016,1435623Z,B0110172016,1435623Z,SARL,SARL,0,,,gazette_and_register_name_agree,SARL:2,1,GLOBAL LOGISTIQUE ET SERVICES SARL,قلوبال لوجستيك والخدمات ش ذ م م,SOCIETE,2016,Sté Global Logistique et services,ORGE_dd00e460df9029ff0896,,2016-01-12,2016-01-12,2,1,0,1
B01101732013,1299624M,B01101732013,B01101732013,SARL,SARL,0,,,gazette_rubric,SARL:1,1,,س.أ.أ بلاست ش م م,SOCIETE,2013,Société CAA PLAST S.A.R.L,CO_CAA_PLAST,,2019-01-19,2019-01-19,1,1,0,1
B01101732016,1457421K,B01101732016,1457421K,SARL,SARL,0,,,gazette_rubric,SARL:2,1,NEXTPROTEIN TUNISIA,ناكست بروتيين تونيزيا ش م م,SOCIETE,2016,Société Nextprotein Tunisia,ORGE_0048f81c64c1e28d019f,,2016-05-06,2016-05-06,2,1,0,1
B01101762011,1202479S,B01101762011,1202479S,SARL,SARL,0,,,gazette_rubric,SARL:2,1,SANAD SPI,شركة السند للبعث العقاري,SOCIETE,2011,Société SANAD de promotion Immobilière SANAD S.P.I,ORGE_147fd5561d28357c13e9,,2015-10-16,2015-10-16,2,1,0,1
