node_id,label,node_kind,asserted_degree,candidate_extra_ties,would_become_degree,sources,detail
PERSON_CHARFEDINE_BASEM,BASSEM CHARFEDDINE,person,2,24,26,same_name_elsewhere,CO_ARTOIS_CONFECTION_TUNISIE | CO_ATTIJARI_SICAR | CO_CONFECTION_RAS_JEBEL | CO_ELITKANE_PROMOTION_IMMOBILIERE
PERSON_CHOUK_NEJIBA,NEJIBA CHOUK,person,2,19,21,same_name_elsewhere,CO_AFRICA_HOLDING | CO_ARTISANALE_MOBILIER_CONTEMPORAIN_SOAMCO | CO_BRAVO | CO_CLINIQUE_COEUR_VAISSEAUX
PERSON_GAMRA_HOUCINE,HOUCINE GAMRA,person,2,19,21,same_name_elsewhere,CO_ARCHIMED_TUNISIE | CO_BUANDERIE_CENTRALE_EL_MOURADI | CO_DENVIRONNEMENT_PLANTATION_MDHILLA | CO_DEYMA
PERSON_ELOUMI_MAHMOUD,MAHMOUD ELLOUMI,person,2,15,17,same_name_elsewhere,CO_ALULUX | CO_ALULUX_SUD | CO_ASSISTANCE_MANAGEMENT_INTERNATIONAL_SAMI | CO_FRIGO
PERSON_KARMA_SAMI,SAMI KARMA,person,2,12,14,same_name_elsewhere,CO_BS_INVEST_HOLDING | CO_BS_INVEST_SICAF | CO_CAP_SICAF | CO_CENTRE_DOPHTALMOLOGIE_LASER_EXCIMER
PERSON_BAKOUR_HEDI,HEDI BAKOUR,person,2,8,10,same_name_elsewhere,CO_BHM | CO_BHM_DISTRIBUTION | CO_DIGITAL_TUNISIE | CO_GS1_TUNISIA
PERSON_DRIDI_MOHAMED_HEDI,MOHAMED HEDI DRIDI,person,2,8,10,same_name_elsewhere,CO_ARAB_TUNISIAN_LEASE | CO_AYA_SHOES | CO_MAGHREBINE_COMMERCIALISATION_PNEUMATIQUES | CO_MAGHREB_COMPTEUR
PERSON_FEKI_HOUCINE,HOUCINE FEKI,person,1,8,9,same_name_elsewhere,CO_AFRIC_FROID | CO_ARTS_GRAPHIQUES_DIMPRESSION_GRAPHIKA | CO_FRIGO_INDUS | CO_JADE
PERSON_HORCHANI_FARES,FARES HORCHANI,person,2,8,10,declined_dyad;same_name_elsewhere,CO_BESTRANSFO | CO_HOOPAKS_PROCESSING_COMPANY | CO_HORCHANI_BUSINESS_TOWERS | CO_MEDICAR
PERSON_BENRHOUMA_ADLY,ADLY BEN-RHOUMA,person,2,7,9,same_name_elsewhere,CO_BUSINESS_CONSULTING_SERVICES | CO_CMA_CGM_TUNISIA | CO_INTERNATIONAL_TELE_CONSULTANTS | CO_MAINTENANCE_SERVICE_ITALIA
PERSON_HAJI_NOUREDINE,NOUREDDINE HAJJI,person,2,7,9,declined_dyad;same_name_elsewhere,CO_BANQUE_TUNISIE | CO_BANQUE_TUNISO_KOWEITIENNE_DEVELOPPEMENT | CO_GAT_ASSURANCES | CO_INTERNATIONAL_MAGHREB_MERCHANT_BANK
PERSON_ELOUMI_REJEB,REJEB ELLOUMI,person,2,6,8,same_name_elsewhere,CO_AL_HASSIB | CO_COMPTABILITE_FISCALITE_TRAITEMENT_LINFORMATION_CFTI | CO_CONSEIL_JURIDIQUE_FISCAL_COJEF | CO_GRANDES_CARRIERES_SAHEL
PERSON_FENDRI_JAMEL,JAMEL FENDRI,person,2,6,8,declined_dyad;same_name_elsewhere,CO_DEVELOPPEMENT_AGRICOLE_A_REGUEB_SODAR | CO_HUILE_DOLIVE_REGUEB | CO_IDEAL_RECYCLAGE | CO_MEDITERRANEENNE_PLASTIQUE
PERSON_FRIKHA_AHMED,AHMED FRIKHA,person,1,6,7,declined_dyad;same_name_elsewhere,CO_DAR_ESSAIDALI | CO_GALIEN_PHARMACEUTICALS | CO_HASNA | CO_LABORATOIRES_K_R
PERSON_LOUKIL_ZEINEB,ZEINEB LOUKIL,person,1,6,7,same_name_elsewhere,CO_COMPAGNIE_DEVELOPPEMENTS_AGRICOLES_REUNIS_CODAR | CO_COMPTOIR_GENERAL_INDUSTRIEL_COMMERCIAL_COGIC | CO_INTER_EQUIPEMENT | CO_INTER_PARTS_SERVICES
