id_type,value_normalised,n_jort_orgs,jort_labels
matricule_fiscal,1000060W,1,Société Oueslati de fab porte et fenêtre PVC
matricule_fiscal,1000191G,1,COLLECTE CEREALES DU NORD
matricule_fiscal,1000238E,1,SOCIETE MIREILLO
matricule_fiscal,1000240V,1,Global Soft Net S.A.R.L
matricule_fiscal,1000522F,1,Société Général d'Entreposage Alimentaire SUARL
matricule_fiscal,1000534S,1,Professionnel Service SARL
matricule_fiscal,1000557B,1,Société T'pap - S.A
matricule_fiscal,1000609M,2,Société SAMMOURA S.A.R.L | Société SAMOURA
matricule_fiscal,1000639T,1,Société Best Buy
matricule_fiscal,1000649W,1,Société Général Bâtiment et Travaux Publics
matricule_fiscal,1000675Y,1,Sté Caldo Cucina & Bio Medicina
matricule_fiscal,1000682X,1,Société Erridha des Boulangeries
matricule_fiscal,1000797H,1,Société SOMOTEX
matricule_fiscal,1000804N,2,Orient-Tex | Société ORIENT TEX SARL
matricule_fiscal,10008537K,1,PRINCESS PRIVATE AVIATION
matricule_fiscal,100093M,1,Société UNICORP LOGISTIC
matricule_fiscal,1000953B,1,Société BEST UK
matricule_fiscal,1000966G,1,DSISSOLUTION ANTICIPEE LA SOCIETE INFORMED
matricule_fiscal,1000992J,1,en date du 01/4/2011 enregistré à la recette des finances de
matricule_fiscal,1001048E,1,Société CHAMTEX
matricule_fiscal,10011378W,1,STE HORIZONS SERVICES
matricule_fiscal,1001255K,1,B3M
matricule_fiscal,1001265M,1,Nom : GILLOT
matricule_fiscal,1001376T,1,Target Communication
matricule_fiscal,1001421F,1,SOCIETE ESSADAKA
matricule_fiscal,1001430G,1,LABAL PRIVE
matricule_fiscal,100148K,1,Société CARTHAGE INDUSTRIES
matricule_fiscal,1001498D,1,Société Maria
matricule_fiscal,1001509N,1,Ancienne dénomination sociale : E C A P Tunisie
matricule_fiscal,1001654X,1,Société Off Shore Consulting O.S.C
matricule_fiscal,1001695G,1,Sté Les Professionnels» SARL
matricule_fiscal,100169B,1,Société FAG
matricule_fiscal,1001707S,1,SOGEQAS
matricule_fiscal,1001721M,1,Société STCM PLUS
matricule_fiscal,10017251V,1,Société SAFTEX
matricule_fiscal,1001725V,1,Société SAFTEX
matricule_fiscal,1001737Z,1,Société Top Broderie
matricule_fiscal,1001753Z,2,Cessation d'activité de la société | Société El Jaouda Confection SARL
matricule_fiscal,1001804S,2,Société Tunisienne de Production Agricole Sarl | Société Tunisienne production agricole STPA
matricule_fiscal,1001924A,2,AGROCONSULT | SOCIETE AGROCONSULT
matricule_fiscal,1001962G,1,Société NEW CITY
matricule_fiscal,10019S,2,Société de Transformation Industrielle du Plastique | Société de Transformation Industrielle du Plastique Plastiko Korba
matricule_fiscal,1002001S,1,International Trade And Full Services SARL
matricule_fiscal,1002084N,1,Société Select Service
matricule_fiscal,1002095R,1,Société Dedraft SARL
matricule_fiscal,1002161J,1,S.A.R.L totalement exportatrice
matricule_fiscal,10022740B,1,Sté CITGI
matricule_fiscal,10023450A,1,Société Plastique Composite du Maghreb PCM»- SARL
matricule_fiscal,1002352P,1,Société Ideal Housses SARL
matricule_fiscal,1002387B,1,Coretec Engineering
