suspect_id,kind,left_id,left_label,right_id,right_label,basis,detail,would_connect_persons
SH_0000028,split_organisation,CO_AFRICAINE_DEVELOPPEMENT_ECHANGES_COMMERCIAUX,AFRICAINE DE DEVELOPPEMENT DES ECHANGES COMMERCIAUX ADEC,ORG_ASSOCIATION_TUNISIENNE_POUR_SAUVEGARDE_MUSEES_SITES_ARCHEOLO,ASSOCIATION TUNISIENNE POUR LA SAUVEGARDE DES MUSEES ET DES SITES ARCHEOLOGIQUES,shared_registre_commerce,registre_commerce=B249432011 on both nodes,11
SH_0000029,split_organisation,CO_AFRICAN_RECYCLING_AFREC,SOCIETE AFRICAN RECYCLING AFREC,ORGE_66b4aac8a8e90a151354,ORGE_66b4aac8a8e90a151354,shared_registre_commerce,registre_commerce=B24622009 on both nodes,0
SH_0000030,split_organisation,CO_AFRIC_FROID,AFRIC FROID,ORGE_00ea6795d5f6188070c5,ORGE_00ea6795d5f6188070c5,shared_matricule_fiscal,matricule_fiscal=46871Q on both nodes,0
SH_0000031,split_organisation,CO_AFRIQUE_BETON,AFRIQUE BETON,ORGE_114b6ee910b7eb22d2dc,ORGE_114b6ee910b7eb22d2dc,shared_registre_commerce,registre_commerce=B0310172007 on both nodes,0
SH_0000032,split_organisation,CO_AGENCE_CONTROLE_TECHNIQUE_INTERNATIONALE,AGENCE DE CONTROLE TECHNIQUE INTERNATIONALE,ORGE_b859a772ce86ed4e5049,ORGE_b859a772ce86ed4e5049,shared_registre_commerce,registre_commerce=B186321996 on both nodes,0
SH_0000033,split_organisation,CO_AGENCE_EL_AMANA_IMMOBILIERE_AEL,AGENCE EL-AMANA IMMOBILIERE AEL,CO_AMANA,AMANA,shared_matricule_fiscal,matricule_fiscal=1071452B on both nodes,0
SH_0000034,split_organisation,CO_AGENCE_EL_AMANA_IMMOBILIERE_AEL,AGENCE EL-AMANA IMMOBILIERE AEL,CO_AMANA,AMANA,shared_matricule_fiscal,matricule_fiscal=1292857Y on both nodes,0
SH_0000035,split_organisation,CO_AGENCE_METROPOLITAINE_COMMUNICATION,AGENCE METROPOLITAINE DE COMMUNICATION AMC,ORGE_d13c5b35003b869c302a,ORGE_d13c5b35003b869c302a,shared_registre_commerce,registre_commerce=B91215362015 on both nodes,0
SH_0000036,split_organisation,CO_AGRICOLE_DICK,AGRICOLE DICK SA,CO_CARTHAGO,CARTHAGO SA,shared_matricule_fiscal,matricule_fiscal=1089748F on both nodes,0
SH_0000037,split_organisation,CO_AGRICOLE_EL_HADAYEK,CO_AGRICOLE_EL_HADAYEK,CO_EL_HADAYEK,EL HADAYEK,shared_matricule_fiscal,matricule_fiscal=35626T on both nodes,0
SH_0000038,split_organisation,CO_AGRICOLE_JSK,SOCIETE AGRICOLE JSK,ORGE_c558b62b86f4d4c7fbec,ORGE_c558b62b86f4d4c7fbec,shared_matricule_fiscal,matricule_fiscal=1240169T on both nodes,0
SH_0000039,split_organisation,CO_AGRICOLE_JSK,SOCIETE AGRICOLE JSK,ORGE_0cc160c27693ece613d4,ORGE_0cc160c27693ece613d4,shared_matricule_fiscal,matricule_fiscal=40821D on both nodes,0
SH_0000040,split_organisation,CO_AGRICOLE_JSK,SOCIETE AGRICOLE JSK,ORGE_c558b62b86f4d4c7fbec,ORGE_c558b62b86f4d4c7fbec,shared_registre_commerce,registre_commerce=B0365352012 on both nodes,0
SH_0000041,split_organisation,CO_AGRICOLE_JSK,SOCIETE AGRICOLE JSK,ORGE_0cc160c27693ece613d4,ORGE_0cc160c27693ece613d4,shared_registre_commerce,registre_commerce=B110602199 on both nodes,0
SH_0000042,split_organisation,CO_AGRICOLE_RAOUDHA,SOCIETE AGRICOLE RAOUDHA,CO_MISE_EN_VALEUR_DEVELOPPEMENT_AGRICOLE,SOCIETE DE MISE EN VALEUR ET DE DEVELOPPEMENT AGRICOLE,shared_matricule_fiscal,matricule_fiscal=858798Q on both nodes,0
SH_0000043,split_organisation,CO_AGRICOLE_RAOUDHA,SOCIETE AGRICOLE RAOUDHA,CO_MISE_EN_VALEUR_DEVELOPPEMENT_AGRICOLE,SOCIETE DE MISE EN VALEUR ET DE DEVELOPPEMENT AGRICOLE,shared_registre_commerce,registre_commerce=B2459472003 on both nodes,0
SH_0000044,split_organisation,CO_AGRICOLE_SAAD,SOCIETE AGRICOLE SAAD,CO_SAAD,SAAD,shared_registre_commerce,registre_commerce=C11011997 on both nodes,3
SH_0000045,split_organisation,CO_AGRICOLE_SIDI_MESSAOUD,SOCIETE AGRICOLE SIDI MESSAOUD,CO_DEXPLOITATION_AGRICOLE_BEN_MEFTAH_CIE,SOCIETE DEXPLOITATION AGRICOLE BEN-MEFTAH ET CIE,shared_matricule_fiscal,matricule_fiscal=633881N on both nodes,0
SH_0000046,split_organisation,CO_AGRICOLE_SIDI_MESSAOUD,SOCIETE AGRICOLE SIDI MESSAOUD,CO_DEXPLOITATION_AGRICOLE_BEN_MEFTAH_CIE,SOCIETE DEXPLOITATION AGRICOLE BEN-MEFTAH ET CIE,shared_registre_commerce,registre_commerce=B112281999 on both nodes,0
