org_spell_id,holder_id,holder_label,target_id,target_label,relation,is_ownership,layer,onset,terminus,onset_lo,onset_hi,terminus_lo,terminus_hi,left_censored,right_censored,onset_rule,terminus_rule,onset_event_id,terminus_event_id,duration_days,evidence_n,evidence_tier,link_status,confidence,needs_review
OS_9ac8dca8b6c716797425f5,CO_PANORAMA,PANORAMA,CO_TUNISIENNE_POUR_TOURISME_LIMMOBILIER_STTI,SOCIETE TUNISIENNE POUR LE TOURISME ET LIMMOBILIER STTI,shareholder_confirmed,1,ownership,,,1957-01-01,2003-06-28,,2026-12-31,True,True,left_censored:first_confirmation,,EV_2dd3232d5e99b80aeae0,,,1,gazette_dated,resolved,0.87,False
OS_0c4f76711ba9f165884648,CO_ONS_TRAVAUX_PUBLICS,SOCIETE ONS DE TRAVAUX PUBLICS,CO_ZAABI_TRANSPORT_MARCHANDISES,SOCIETE ZAABI DE TRANSPORT MARCHANDISES,shareholder_confirmed,1,ownership,,,1957-01-01,2002-01-18,,2026-12-31,True,True,left_censored:first_confirmation,,EV_953fb6a3b46868fe9f91,,,1,gazette_dated,resolved,0.78,True
OS_eb8b98450f9a620115f484,CO_CMR_AUDIT,CMR AUDIT,CO_ARAMYS,ARAMYS,shareholder_confirmed,1,ownership,,,1957-01-01,2001-12-18,,2026-12-31,True,True,left_censored:first_confirmation,,EV_3822a3a96361868ce268,,,1,gazette_dated,resolved,0.87,False
OS_e066332de9e3566aeb449e,CO_SIVO,SIVO,CO_SIVO_COMMERCIALE,SIVO COMMERCIALE,shares_ceded,1,ownership,,2003-12-25,,,2003-12-25,2003-12-25,False,False,,event:shares_ceded,,EV_298b26580659be46091f,,1,gazette_dated,resolved,0.882,False
OS_aca6f760a7fcb77a5bd5a1,CO_SIVO,SIVO,CO_DIAR_SIVO_PROMOTION_IMMOBILIERE,DIAR SIVO DE PROMOTION IMMOBILIERE,shares_ceded,1,ownership,,2005-03-07,,,2005-03-07,2005-03-07,False,False,,event:shares_ceded,,EV_3fe6792936d98215d903,,2,gazette_dated,resolved,0.917,False
OS_142c63194a1d2034174f23,CO_IMMOBILIERE,SOCIETE IMMOBILIERE,CO_TOURISTIQUE,SOCIETE TOURISTIQUE,auditor,0,corporate_other,,,1957-01-01,2003-12-02,,2026-12-31,True,True,left_censored:first_confirmation,,EV_42393258e365bad99823,,,1,gazette_dated,resolved,0.885,False
OS_4d9d560dfdb4d025a13cd3,CO_CONSEIL,SOCIETE LE CONSEIL,CO_TOPNET,TOPNET,shareholder_confirmed,1,ownership,,,1957-01-01,2003-11-21,,2026-12-31,True,True,left_censored:first_confirmation,,EV_3e71d5d8adda354b93a3,,,1,gazette_dated,resolved,0.87,False
OS_c225f5a9aba89ddcfa5130,CO_TROIS,SOCIETE TROIS,CO_INTERBANCAIRE_TELECOMPENSATION,SOCIETE INTERBANCAIRE DE TELECOMPENSATION,auditor,0,corporate_other,,,1957-01-01,2003-05-13,,2026-12-31,True,True,left_censored:first_confirmation,,EV_515ddf66069fb1b29f28,,,2,gazette_dated,resolved,0.92,False
OS_c0b7d1d525bc170e2ef306,CO_BATIMENT,BATIMENT +,CO_CONSEIL,SOCIETE LE CONSEIL,auditor,0,corporate_other,,,1957-01-01,2003-11-29,,2026-12-31,True,True,left_censored:first_confirmation,,EV_9123a8614c3cb96cea3b,,,1,gazette_dated,resolved,0.885,False
OS_1be99b0638f07a34324df0,CO_AZIZA,AZIZA,CO_MISE_EN_VALEUR_DEVELOPPEMENT_AGRICOLE,SOCIETE DE MISE EN VALEUR ET DE DEVELOPPEMENT AGRICOLE,auditor,0,corporate_other,,,1957-01-01,2004-01-08,,2026-12-31,True,True,left_censored:first_confirmation,,EV_1eb33f5b25a2e22db16d,,,1,gazette_dated,resolved,0.885,False
OS_f31bd41a6c33ac7e47d528,CO_TROIS,SOCIETE TROIS,CO_AM_SERVICE_COMMERCE_INTERNATIONALE_NON_RESIDENTE,SOCIETE AM DE SERVICE ET COMMERCE INTERNATIONALE NON RESIDENTE,auditor,0,corporate_other,,,1957-01-01,2003-02-27,,2026-12-31,True,True,left_censored:first_confirmation,,EV_2d23fde3589e9e7ebb0a,,,1,gazette_dated,resolved,0.885,False
OS_2a65578782eb6ca553e146,CO_SINDBAD,SOCIETE SINDBAD,CO_SINDBAD_DISTRIBUTION,SINDBAD DISTRIBUTION,shareholder_confirmed,1,ownership,,,1957-01-01,2003-11-10,,2026-12-31,True,True,left_censored:first_confirmation,,EV_98f1ea67da6ee916e6fe,,,2,gazette_dated,resolved,0.905,False
OS_1a3659cba0e21d19cb6cc7,CO_TROIS,SOCIETE TROIS,CO_EL_MEHDI_CITEM,EL MEHDI CITEM,auditor,0,corporate_other,,,1957-01-01,2001-06-08,,2026-12-31,True,True,left_censored:first_confirmation,,EV_9364a08409f4dd015b6e,,,1,gazette_dated,resolved,0.885,False
OS_9bd3b294da0adcf6f484c6,CO_BB,BB,CO_ETS_BEN_ROMDHANE_SADOK_TOLERIE_FINE,ETS BEN-ROMDHANE SADOK LA TOLERIE FINE,auditor,0,corporate_other,,,1957-01-01,2002-12-31,,2026-12-31,True,True,left_censored:first_confirmation,,EV_ab195e280ba96bc1b72c,,,1,gazette_dated,resolved,0.8017,False
OS_e815a18f047bb0770c3ced,CO_TROIS,SOCIETE TROIS,CO_GEODIS_TUNISIE,GEODIS TUNISIE,auditor,0,corporate_other,,,1957-01-01,2003-10-30,,2026-12-31,True,True,left_censored:first_confirmation,,EV_4fa600bf5ac7e4969e94,,,1,gazette_dated,resolved,0.885,False
OS_19de3a59461d09e27250b2,CO_TROIS,SOCIETE TROIS,CO_CONSEIL,SOCIETE LE CONSEIL,auditor,0,corporate_other,,,1957-01-01,2001-11-26,,2026-12-31,True,True,left_censored:first_confirmation,,EV_474030bf22de3d5bc5f3,,,10,gazette_dated,resolved,0.985,False
OS_65a806ee72237a7ca09923,CO_HORCHANI,SOCIETE HORCHANI,CO_SENYET_FARES,SENYET FARES,shares_acquired,1,ownership,2003-11-25,,2003-11-25,2003-11-25,,2026-12-31,False,True,event:shares_acquired,,EV_090a4fca233e064539be,,,1,gazette_dated,resolved,0.882,False
OS_31166afbe0c598b27b223f,CO_HORCHANI,SOCIETE HORCHANI,CO_HORCHANI_OLIVE_OIL,HORCHANI OLIVE OIL,shares_acquired,1,ownership,2003-12-24,,2003-12-24,2003-12-24,,2026-12-31,False,True,event:shares_acquired,,EV_570d40fe2a2c2255844a,,,1,gazette_dated,resolved,0.882,False
OS_7a202fc5b3035432ce394b,CO_HORCHANI,SOCIETE HORCHANI,CO_BESTRANSFO,BESTRANSFO,shares_acquired,1,ownership,2003-11-01,,2003-11-01,2003-11-01,,2026-12-31,False,True,event:shares_acquired,,EV_a4ee950bff942a3fb7c7,,,1,gazette_dated,resolved,0.882,False
OS_dbfe5109504b84a6e9744f,CO_MEDIGEL,MEDIGEL,CO_HORCHANI_PECHE,HORCHANI PECHE,shares_ceded,1,ownership,,2003-12-29,,,2003-12-29,2003-12-29,False,False,,event:shares_ceded,,EV_8c743cd8e7e9485341ab,,1,gazette_dated,resolved,0.882,False
OS_c7a0712160f1b843af79f5,CO_DIMATEC,DIMATEC,CO_MICROLUX,MICROLUX,shares_ceded,1,ownership,,2003-12-03,,,2003-12-03,2003-12-03,False,False,,event:shares_ceded,,EV_2e89c4a62155d54eb95f,,1,gazette_dated,resolved,0.882,False
OS_a485ef4d6fdf50bd1058a8,CO_HORCHANI,SOCIETE HORCHANI,CO_HORCHANI_DATTES,HORCHANI DATTES,shares_acquired,1,ownership,2003-12-29,,2003-12-29,2003-12-29,,2026-12-31,False,True,event:shares_acquired,,EV_369087e37f3d74f9537d,,,1,gazette_dated,resolved,0.882,False
OS_bc19e2fdc2cb8ec8264a91,CO_TROIS,SOCIETE TROIS,CO_MAJESTIC_HOTELS,SOCIETE MAJESTIC HOTELS,auditor,0,corporate_other,,,1957-01-01,2003-04-29,,2026-12-31,True,True,left_censored:first_confirmation,,EV_088705f4819512705fc3,,,1,gazette_dated,resolved,0.885,False
