org_spell_id,holder_id,holder_label,target_id,target_label,relation,is_ownership,layer,onset,terminus,onset_lo,onset_hi,terminus_lo,terminus_hi,left_censored,right_censored,onset_rule,terminus_rule,onset_event_id,terminus_event_id,duration_days,evidence_n,evidence_tier,link_status,confidence,needs_review
OS_a162bc5957eec2df8a10bc,CO_PRIME_SERVICES_INFORMATIQUES,PRIME SERVICES INFORMATIQUES,CO_TAAMIR,SOCIETE TAAMIR,shares_acquired,1,ownership,2003-10-04,,2003-10-04,2003-10-04,,2026-12-31,False,True,event:shares_acquired,,EV_e874c3bb7c0e1b1f97d8,,,1,gazette_dated,resolved,0.792,True
OS_76fb7e200dce352142bd7b,CO_GS_COMPANY_INTERNATIONAL,GS COMPANY INTERNATIONAL,CO_ASSISTANCE_MANAGEMENT_INTERNATIONAL_SAMI,SOCIETE ASSISTANCE ET MANAGEMENT INTERNATIONAL SAMI,shares_ceded,1,ownership,,2003-11-28,,,2003-11-28,2003-11-28,False,False,,event:shares_ceded,,EV_5989f82bb37474d1b7ab,,1,gazette_dated,resolved,0.832,False
OS_d27533b1d90b2b3656737e,CO_TROIS,SOCIETE TROIS,CO_CONSTRUCTION_METALLIQUES,CONSTRUCTION METALLIQUES,auditor,0,corporate_other,,,1957-01-01,2002-06-20,,2026-12-31,True,True,left_censored:first_confirmation,,EV_2b5d1d1aea83f1aa9156,,,1,gazette_dated,resolved,0.8524,False
OS_c0c0715cb22cb093e0d46b,CO_TROIS,SOCIETE TROIS,CO_CONSULTING,LA CONSULTING,auditor,0,corporate_other,,,1957-01-01,2004-01-20,,2026-12-31,True,True,left_censored:first_confirmation,,EV_9a6480581e8492b3ba74,,,5,gazette_dated,resolved,0.985,False
OS_835251d8e03e24bcfc4c0c,CO_AB_CORPORATION,AB CORPORATION,CO_DELTA_DISTRIBUTION,DELTA DISTRIBUTION,shares_ceded,1,ownership,,2004-02-27,,,2004-02-27,2004-02-27,False,False,,event:shares_ceded,,EV_377b3098fa60f642ca90,,1,gazette_dated,resolved,0.792,True
OS_68bff31cf1092b97b79c03,CO_SOCOMENIN,SOCOMENIN,CO_SOSEM,SOCIETE SOSEM,shares_ceded,1,ownership,,2003-12-01,,,2003-12-01,2003-12-01,False,False,,event:shares_ceded,,EV_266f56d5f7f8823bf524,,1,gazette_dated,resolved,0.882,False
OS_b9ba3768974a942ec3a85f,CO_SOCOMENIN,SOCOMENIN,CO_METRA,METRA,shares_ceded,1,ownership,,2003-12-01,,,2003-12-01,2003-12-01,False,False,,event:shares_ceded,,EV_9f0fba97f5e889b487bd,,1,gazette_dated,resolved,0.882,False
OS_722fee5e4f0b930144585b,CO_METRA,METRA,CO_SOCOMENIN,SOCOMENIN,shares_ceded,1,ownership,,2003-12-01,,,2003-12-01,2003-12-01,False,False,,event:shares_ceded,,EV_178d977d4c9ffa3ec029,,1,gazette_dated,resolved,0.882,False
OS_add974c27e1f7a254f1b98,CO_TROIS,SOCIETE TROIS,CO_GENERALE,SOCIETE GENERALE,auditor,0,corporate_other,,,1957-01-01,2004-02-23,,2026-12-31,True,True,left_censored:first_confirmation,,EV_c9d593bb5e7fee15dab2,,,21,gazette_dated,resolved,0.985,False
OS_14e7780ea8b7f69e67123a,CO_HORCHANI_PECHE,HORCHANI PECHE,CO_MEDIGEL,MEDIGEL,shares_acquired,1,ownership,2003-12-27,,2003-12-27,2003-12-27,,2026-12-31,False,True,event:shares_acquired,,EV_5deaf4f965fa9353ef94,,,1,gazette_dated,resolved,0.882,False
OS_8f9ff4f2031af4ca69b9e6,CO_TROIS,SOCIETE TROIS,CO_TUNISIENNE_INDUSTRIES_NAUTIQUES,SOCIETE TUNISIENNE DES INDUSTRIES NAUTIQUES,auditor,0,corporate_other,,,1957-01-01,2004-02-28,,2026-12-31,True,True,left_censored:first_confirmation,,EV_9e2ce34b183c0f6f80ff,,,1,gazette_dated,resolved,0.8168,False
OS_02346dd9bf5e02af5a0ad6,CO_TROIS,SOCIETE TROIS,CO_IMPRIMERIE_BOUSSAA,IMPRIMERIE BOUSSAA,auditor,0,corporate_other,,,1957-01-01,2004-03-11,,2026-12-31,True,True,left_censored:first_confirmation,,EV_88e51a13465a9b065458,,,1,gazette_dated,resolved,0.885,False
OS_12b6a1a71c865e761b9600,CO_TROIS,SOCIETE TROIS,CO_DESIGN,DESIGN,shareholder_confirmed,1,ownership,,,1957-01-01,2004-03-03,,2026-12-31,True,True,left_censored:first_confirmation,,EV_484fec9d3ea34f622dda,,,1,gazette_dated,resolved,0.87,False
OS_6cea6a3c3dceb10c9831b6,CO_MAGHREB_INVEST_SICAF,MAGHREB INVEST SICAF,CO_INVESTISSEMENT_DEVELOPPEMENT_MECANIQUE,SOCIETE INVESTISSEMENT ET DEVELOPPEMENT MECANIQUE IDM,shares_acquired,1,ownership,2003-11-17,,2003-11-17,2003-11-17,,2026-12-31,False,True,event:shares_acquired,,EV_ad23fe2cef47b35a6e41,,,1,gazette_dated,resolved,0.882,False
OS_64730d4faaef4c5d6413bb,CO_COMPAGNIE_PROMOTION_IMMOBILIERE_TOURISTIQUE_COPIT,COMPAGNIE DE PROMOTION IMMOBILIERE ET TOURISTIQUE COPIT,CO_INVESTISSEMENT_DEVELOPPEMENT_MECANIQUE,SOCIETE INVESTISSEMENT ET DEVELOPPEMENT MECANIQUE IDM,shares_ceded,1,ownership,,2003-11-17,,,2003-11-17,2003-11-17,False,False,,event:shares_ceded,,EV_64874c068e2c2c74480d,,1,gazette_dated,resolved,0.8243,False
OS_98177ebf287f616a77dc76,CO_CONSULTING,LA CONSULTING,CO_MISK,MISK,shareholder_confirmed,1,ownership,,,1957-01-01,2004-02-18,,2026-12-31,True,True,left_censored:first_confirmation,,EV_0c5b997ebc9aa0979aef,,,1,gazette_dated,resolved,0.87,False
OS_ba1d4f6c19fd6a087c739f,CO_SERA,SERA,CO_BRIQUETTERIE_MODERNE_GROMBALIA,BRIQUETTERIE MODERNE DE GROMBALIA,shareholder_confirmed,1,ownership,,,1957-01-01,2004-03-02,,2026-12-31,True,True,left_censored:first_confirmation,,EV_c25037eea0f021851a16,,,1,gazette_dated,resolved,0.87,False
OS_c2e1684160727961cb1bff,CO_A_PART,SOCIETE A PART,CO_BRIQUETTERIE_MODERNE_GROMBALIA,BRIQUETTERIE MODERNE DE GROMBALIA,shareholder_confirmed,1,ownership,,,1957-01-01,2004-03-02,,2026-12-31,True,True,left_censored:first_confirmation,,EV_3673f9de4276ff812f43,,,1,gazette_dated,resolved,0.87,False
OS_7943b73f08c3faa117d25e,CO_CONSEIL,SOCIETE LE CONSEIL,CO_DELEVAGE_PRODUIT_AGRICOLES_SEPA,SOCIETE DELEVAGE ET DE PRODUIT AGRICOLES SEPA,shareholder_confirmed,1,ownership,,,1957-01-01,2003-12-02,,2026-12-31,True,True,left_censored:first_confirmation,,EV_736360e46c15701f3fc2,,,1,gazette_dated,resolved,0.8466,False
OS_d1a215c88b3b533531e69c,CO_EMCA_ETUDE_MANAGEMENT_CONSULTING_AUDIT,EMCA ETUDE MANAGEMENT CONSULTING AUDIT,CO_GEST_HOTEL_LAFAYETTE,GEST HOTEL LAFAYETTE,auditor,0,corporate_other,,,1957-01-01,2004-03-23,,2026-12-31,True,True,left_censored:first_confirmation,,EV_96aea7df15c8e30e3eb5,,,1,gazette_dated,resolved,0.885,False
OS_7c2bddb45f1692ee774a2c,CO_ALLIANCE_IMMOBILIERE,ALLIANCE IMMOBILIERE,CO_IMMOBILIER_DEVELOPPEMENT,SOCIETE IMMOBILIER ET DEVELOPPEMENT,shareholder_confirmed,1,ownership,,,1957-01-01,2003-11-24,,2026-12-31,True,True,left_censored:first_confirmation,,EV_6c0eca5920c2e93627f6,,,1,gazette_dated,resolved,0.87,False
OS_066cee38355427bc45ada0,CO_GENERALE_INDUSTRIELLE_ALIMENTAIRE_SLAMA,GENERALE INDUSTRIELLE ALIMENTAIRE SLAMA GIAS,CO_GENERALE,SOCIETE GENERALE,shares_ceded,1,ownership,,2004-04-14,,,2004-04-14,2004-04-14,False,False,,event:shares_ceded,,EV_02ecc954493b0b0ae34a,,1,gazette_dated,resolved,0.882,False
OS_a9efebc3a4b2d28f05c740,CO_TROIS,SOCIETE TROIS,CO_GALPHARMA,GALPHARMA,auditor,0,corporate_other,,,1957-01-01,2003-06-21,,2026-12-31,True,True,left_censored:first_confirmation,,EV_851e0fdb5ac60fb9dcfc,,,1,gazette_dated,resolved,0.885,False
OS_ab4f35be26de9ff2411054,CO_TROIS,SOCIETE TROIS,CO_TOURISTIQUE,SOCIETE TOURISTIQUE,shareholder_confirmed,1,ownership,,,1957-01-01,2004-04-23,,2026-12-31,True,True,left_censored:first_confirmation,,EV_e0169051a44f52be7109,,,4,gazette_dated,resolved,0.97,False
OS_8306b67af764ba5ba1b469,CO_TROIS,SOCIETE TROIS,CO_DAR_ZARROUK,DAR ZARROUK,auditor,0,corporate_other,,,1957-01-01,2003-04-22,,2026-12-31,True,True,left_censored:first_confirmation,,EV_4d502a4b2def36e806b3,,,1,gazette_dated,resolved,0.885,False
OS_e4c91b9de7924b5287482f,CO_TROIS,SOCIETE TROIS,CO_KZ_DISTRIBUTION,KZ DISTRIBUTION,auditor,0,corporate_other,,,1957-01-01,2001-04-06,,2026-12-31,True,True,left_censored:first_confirmation,,EV_baf47f9ac1eabc3f4d64,,,26,gazette_dated,resolved,0.9017,False
OS_ff90f64e9af8d182e70e97,CO_MACOFLEX,MACOFLEX,CO_GROUPEMENT_TECHNIQUE_INDUSTRIEL_ALPHA,GROUPEMENT TECHNIQUE & INDUSTRIEL ALPHA GTI,shares_acquired,1,ownership,2003-08-11,,2003-08-11,2003-08-11,,2026-12-31,False,True,event:shares_acquired,,EV_e55e3ff804fdd9498e30,,,1,gazette_dated,resolved,0.882,False
OS_732347440df287a415b63e,CO_DELTA,DELTA,CO_GROUPEMENT_TECHNIQUE_INDUSTRIEL_ALPHA,GROUPEMENT TECHNIQUE & INDUSTRIEL ALPHA GTI,shares_ceded,1,ownership,,2003-08-11,,,2003-08-11,2003-08-11,False,False,,event:shares_ceded,,EV_64b9058631d7f680bb48,,1,gazette_dated,resolved,0.882,False
OS_994c8b7720079708bb21bd,CO_GENERALE,SOCIETE GENERALE,CO_CONSEIL,SOCIETE LE CONSEIL,shareholder_confirmed,1,ownership,,,1957-01-01,2004-04-29,,2026-12-31,True,True,left_censored:first_confirmation,,EV_8ba337ad61fb19151a0a,,,6,gazette_dated,resolved,0.97,False
OS_b090db186caf68bc07c9fb,CO_ORGANISATION_SERVICE_INFORMATIQUE,ORGANISATION ET SERVICE INFORMATIQUE,CO_CONSEIL,SOCIETE LE CONSEIL,auditor,0,corporate_other,,,1957-01-01,2004-02-19,,2026-12-31,True,True,left_censored:first_confirmation,,EV_c23c282d1082e084147c,,,1,gazette_dated,resolved,0.885,False
OS_d6ea68632fffd19141a5f5,CO_TROIS,SOCIETE TROIS,CO_SOTEX,SOTEX,auditor,0,corporate_other,,,1957-01-01,2004-04-06,,2026-12-31,True,True,left_censored:first_confirmation,,EV_43fb06aa0f8dc17bb9e6,,,1,gazette_dated,resolved,0.885,False
OS_f6f5f57d8d74ddddf1323c,CO_TROIS,SOCIETE TROIS,CO_OLYMPIA_MARBERIE,OLYMPIA MARBERIE,auditor,0,corporate_other,,,1957-01-01,2004-04-25,,2026-12-31,True,True,left_censored:first_confirmation,,EV_15806849122c21912757,,,1,gazette_dated,resolved,0.8623,False
OS_9e627a3c55f55bdc89da29,CO_IMPRIMERIE_EDICHEM,IMPRIMERIE EDICHEM,CO_IMPRIMERIE_PRINCIPALE,IMPRIMERIE PRINCIPALE,shares_ceded,1,ownership,,2004-02-27,,,2004-02-27,2004-02-27,False,False,,event:shares_ceded,,EV_665d270befbb5d6d2597,,1,gazette_dated,resolved,0.882,False
OS_e58d48c56cb43d44fa11f0,CO_IMPRIMERIE_PRINCIPALE,IMPRIMERIE PRINCIPALE,CO_IMPRIMERIE_EDICHEM,IMPRIMERIE EDICHEM,shares_ceded,1,ownership,,2004-02-27,,,2004-02-27,2004-02-27,False,False,,event:shares_ceded,,EV_7e216528833517cdf2d1,,1,gazette_dated,resolved,0.882,False
OS_b7eda201fb09c09c369a99,CO_IMPRIMERIE_EDICHEM,IMPRIMERIE EDICHEM,CO_IMPRIMERIE_BEN_AROUS,IMPRIMERIE BEN-AROUS,shares_ceded,1,ownership,,2004-02-27,,,2004-02-27,2004-02-27,False,False,,event:shares_ceded,,EV_9291a6a9194c6852bf4a,,1,gazette_dated,resolved,0.882,False
OS_487bf4557289a61fbc93c8,CO_TROIS,SOCIETE TROIS,CO_V_PRODUCTION,V PRODUCTION,auditor,0,corporate_other,,,1957-01-01,2004-03-16,,2026-12-31,True,True,left_censored:first_confirmation,,EV_49d8863a8c0b8d131329,,,6,gazette_dated,resolved,0.9168,False
OS_955884be993feeabf7d4ac,CO_TROIS,SOCIETE TROIS,CO_CEREALIS,CEREALIS,auditor,0,corporate_other,,,1957-01-01,2004-05-05,,2026-12-31,True,True,left_censored:first_confirmation,,EV_55d9318c199980890a5a,,,2,gazette_dated,resolved,0.92,False
OS_eca2e9ea0f6f4e76138f19,CO_TROIS,SOCIETE TROIS,CO_AURES,AURES,auditor,0,corporate_other,,,1957-01-01,2004-04-29,,2026-12-31,True,True,left_censored:first_confirmation,,EV_dc50e0cb377012603ef7,,,1,gazette_dated,resolved,0.885,False
OS_448179ee190e826ab6451a,CO_SOFIM,SOFIM,CO_FAMILIALE_IMMOBILIERE_SOFIM,SOCIETE FAMILIALE IMMOBILIERE SOFIM,shareholder_confirmed,1,ownership,,,1957-01-01,2004-05-17,,2026-12-31,True,True,left_censored:first_confirmation,,EV_3e2e2f0d20ffa9719141,,,16,gazette_dated,resolved,0.97,False
OS_6834cc129b85133d9dd8a3,CO_ANONYME_TUNISIENNE_DHUILE_DOLIVE_PURE,SOCIETE ANONYME TUNISIENNE DHUILE DOLIVE PURE,CO_COMPTOIR_TUNISIEN_MATERIEL_AUTOMOBILE,COMPTOIR TUNISIEN DU MATERIEL AUTOMOBILE,shareholder_confirmed,1,ownership,,,1957-01-01,2004-04-10,,2026-12-31,True,True,left_censored:first_confirmation,,EV_8df7b1d3f049784b9b96,,,1,gazette_dated,resolved,0.87,False
OS_b1c0ec39fc8678e4a2c11c,CO_TROIS,SOCIETE TROIS,CO_HAMZA_STYLE_CONFECTION,SOCIETE HAMZA STYLE CONFECTION HSC,auditor,0,corporate_other,,,1957-01-01,2004-05-14,,2026-12-31,True,True,left_censored:first_confirmation,,EV_799dea526d6ecfefbad4,,,1,gazette_dated,resolved,0.81,False
OS_28f1130722b1c276c7ec29,CO_TROIS,SOCIETE TROIS,CO_COELEC_TUNISIA,COELEC TUNISIA,auditor,0,corporate_other,,,1957-01-01,2004-05-06,,2026-12-31,True,True,left_censored:first_confirmation,,EV_19caea13cc48b21f13fd,,,1,gazette_dated,resolved,0.885,False
OS_b2d42132561506a428d0db,CO_TROIS,SOCIETE TROIS,CO_AFRICA_MODE,AFRICA MODE,auditor,0,corporate_other,,,1957-01-01,2004-04-15,,2026-12-31,True,True,left_censored:first_confirmation,,EV_b29c80909ec8efdaa4a2,,,2,gazette_dated,resolved,0.92,False
OS_239994ac3f1ed3cb168104,CO_INDUSTRIES_PHARMACEUTIQUES_TUNISIE_SIPHAT,SOCIETE DES INDUSTRIES PHARMACEUTIQUES DE TUNISIE SIPHAT,CO_GENERALE,SOCIETE GENERALE,auditor,0,corporate_other,,,1957-01-01,2004-05-12,,2026-12-31,True,True,left_censored:first_confirmation,,EV_fdae517ebc9bba490a36,,,2,gazette_dated,resolved,0.85,False
OS_d53e1d840e0da3c4b1d140,CO_SOACC,SOACC,CO_DRINKS_AND_FOOD,SOCIETE DRINKS AND FOOD,auditor,0,corporate_other,,,1957-01-01,2002-04-17,,2026-12-31,True,True,left_censored:first_confirmation,,EV_79c2c1337ee6821f2b36,,,2,gazette_dated,resolved,0.92,False
OS_71f2e63b6e7344831049b3,CO_GENERALE,SOCIETE GENERALE,CO_SIRCAR_PLUS,SIRCAR PLUS,shareholder_confirmed,1,ownership,,,1957-01-01,2004-06-01,,2026-12-31,True,True,left_censored:first_confirmation,,EV_cce3f5e273484cf3e0e5,,,5,gazette_dated,resolved,0.97,False
OS_05ef5fe59ca74ea811eb56,CO_GENERALE,SOCIETE GENERALE,CO_V_PRODUCTION,V PRODUCTION,shareholder_confirmed,1,ownership,,,1957-01-01,2004-06-02,,2026-12-31,True,True,left_censored:first_confirmation,,EV_bfcc01028dc10691dcbc,,,3,gazette_dated,resolved,0.8718,False
OS_1a7adc9363beaa4315b163,CO_TROIS,SOCIETE TROIS,CO_DOLCE_VITA_PROMOTION_IMMOBILIERE,DOLCE VITA DE PROMOTION IMMOBILIERE,auditor,0,corporate_other,,,1957-01-01,2004-06-03,,2026-12-31,True,True,left_censored:first_confirmation,,EV_17a5adba57aa1ae3d49f,,,1,gazette_dated,resolved,0.885,False
OS_d8a82e24710acc6ffca37d,CO_M,SOCIETE M,CO_MAYARA_CONFECTION_SOMACO,SOCIETE MAYARA CONFECTION SOMACO,shareholder_confirmed,1,ownership,,,1957-01-01,2004-04-14,,2026-12-31,True,True,left_censored:first_confirmation,,EV_c9189cd023c9c44dfcce,,,1,gazette_dated,resolved,0.87,False
OS_f803674ebe58b7934b3ea8,CO_TROIS,SOCIETE TROIS,CO_SAIDA_GROUP_HOLDING,SAIDA GROUP HOLDING,auditor,0,corporate_other,,,1957-01-01,2001-10-04,,2026-12-31,True,True,left_censored:first_confirmation,,EV_dd061adad37d69f564b8,,,3,gazette_dated,resolved,0.955,False
OS_fe29673a60daf5dce51759,CO_SERVICES_MAINTENANCE_INDUSTRIELLE_INTERNATIONALE,SOCIETE SERVICES ET MAINTENANCE INDUSTRIELLE INTERNATIONALE,CO_PROMOTION_IMMOBILIERE_SAKFI,SOCIETE DE PROMOTION IMMOBILIERE SAKFI,shares_acquired,1,ownership,2001-12-12,,2001-12-12,2001-12-12,,2026-12-31,False,True,event:shares_acquired,,EV_d6f75367872ac910c55e,,,1,gazette_dated,resolved,0.8113,False
OS_c9495065007ebd61b3c7bc,CO_CONSEIL,SOCIETE LE CONSEIL,CO_SMAC,SMAC,shareholder_confirmed,1,ownership,,,1957-01-01,2004-05-05,,2026-12-31,True,True,left_censored:first_confirmation,,EV_b8da8bd59d93ed4ae9c7,,,1,gazette_dated,resolved,0.87,False
OS_d2e76cb9d6227e39995a33,CO_TROIS,SOCIETE TROIS,CO_UB_ENGINEERING,UB ENGINEERING,auditor,0,corporate_other,,,1957-01-01,2004-01-21,,2026-12-31,True,True,left_censored:first_confirmation,,EV_ab361123a7855ef8ca33,,,8,gazette_dated,resolved,0.895,False
OS_401aeee13324e9cfd96183,CO_COMPAGNIE_TRANSPORTS_PAR_PIPELINE_AU_SAHARA_TRAPSA,COMPAGNIE DES TRANSPORTS PAR PIPELINE AU SAHARA TRAPSA,CO_COMPAGNIE_TRANSPORTS_PAR_PIPE_LINES_AU_SAHARA_TRAPSA,COMPAGNIE DES TRANSPORTS PAR PIPE LINES AU SAHARA TRAPSA,auditor,0,corporate_other,,,1957-01-01,2004-05-28,,2026-12-31,True,True,left_censored:first_confirmation,,EV_51141df19b19d82883b0,,,1,gazette_dated,resolved,0.885,False
OS_39c4a3d0456c2df361a50b,CO_TROIS,SOCIETE TROIS,CO_KENZA_COMMERCE_DISTRIBUTION,SOCIETE KENZA DE COMMERCE ET DISTRIBUTION,auditor,0,corporate_other,,,1957-01-01,2004-05-15,,2026-12-31,True,True,left_censored:first_confirmation,,EV_4260dded5659996f6e6c,,,1,gazette_dated,resolved,0.8426,False
