org_tie_obs_id,holder_id,holder_label,target_id,target_label,relation,is_ownership,obs_kind,obs_date,date_precision,holder_mention,target_mention,holder_match,target_match,score,link_status,evidence_quote,event_id,block_uid,issue_uid,folio_page,extract_confidence,holder_basis,target_basis,holder_seed_id,target_seed_id,queue_reason,failed_end,failed_mention,near_org_id,near_org_label,near_score,holder_entity_id,target_entity_id
OS_51cb58079dd0ded9883d71,ORGE_17b81b83b4e35ccf577b,la société Hôtel,,,shareholder_confirmed,1,confirmation,2003-06-28,exact,la société Hôtel,Société de Tourisme - Hôtel Samara,1.0,0.8,0.8,unresolved,"actionnaires de la société ""Hôtel",EV_11c34467ac7219a06b15,annonces-legales/fr/2004/001:2003S2423SANB2,annonces-legales/fr/2004/001,5,0.8,generic_fuzzy,unresolved,,,one_end_resolved,target,Société de Tourisme - Hôtel Samara,CO_TOURISME_INDUSTRIES_HOTEL_PACHA_TTI,SOCIETE TOURISME INDUSTRIES HOTEL LE PACHA TTI,0.8,ORGE_17b81b83b4e35ccf577b,ORGE_dad4e910d5472fe78a6e
OS_7f58395e4ebadd1c8821b8,ORGE_173548f03025cac13e13,la Société Nouvelle de Confection SARL,,,shareholder_confirmed,1,confirmation,2003-12-26,exact,la Société Nouvelle de Confection SARL,Annonce relative à la gérance,1.0,0.0,0.0,unresolved,associés de la Société Nouvelle de Confection SARL,EV_507cad6fe5bb22df95cb,annonces-legales/fr/2004/001:2003S2419SRLB2,annonces-legales/fr/2004/001,9,0.8,generic_fuzzy,unresolved,,,one_end_resolved,target,Annonce relative à la gérance,,,0.0,ORGE_173548f03025cac13e13,ORGE_66aedc9352ce6935f613
OS_0d9d3af66813fea2fa9063,,,CO_EL_MOURADI_POUR_COMMERCE,SOCIETE EL-MOURADI POUR LE COMMERCE,shareholder_confirmed,1,confirmation,2003-11-10,exact,société ont décidé de,Société El Mouradi pour le Commerce,0.0,1.0,0.0,unresolved,actionnaires de ladite société ont décidé de,EV_d277a946b0a959631934,annonces-legales/fr/2004/001:2003S2421SRLB2,annonces-legales/fr/2004/001,9,0.8,unresolved,exact,,CO_EL_MOURADI_POUR_COMMERCE,one_end_resolved,holder,société ont décidé de,,,0.0,ORGE_155bc917767f48e0394b,CO_EL_MOURADI_POUR_COMMERCE
OS_4af42435799de4fce74ce4,,,CO_EL_AMEN,ENTREPRISE EL-AMEN,shareholder_confirmed,1,confirmation,2003-10-01,exact,Société NTS,Société El-Amen – SARL,0.0,1.0,0.0,unresolved,associé (Société NTS,EV_499656ed4d3491649b4f,annonces-legales/fr/2004/001:2003X2106SRLB2,annonces-legales/fr/2004/001,9,0.8,unresolved,exact,,CO_EL_AMEN,one_end_resolved,holder,Société NTS,,,0.0,ORGE_b3bbf8dde30f105818a9,CO_EL_AMEN
OS_952466745670a136662be1,,,CO_SFAX_ALVEOLES,SFAX ALVEOLES,auditor,0,confirmation,2003-10-11,exact,la société pour les exercices 2002,Société Sfax Alvéoles,0.5405,1.0,0.5405,unresolved,commissaire aux comptes de la société pour les exercices 2002,EV_79a82b97ea4fbaf51ff0,annonces-legales/fr/2004/001:2003X2115SRLB2,annonces-legales/fr/2004/001,10,0.9,unresolved,exact,,CO_SFAX_ALVEOLES,one_end_resolved,holder,la société pour les exercices 2002,CO_AZIZ_POUR_COMMERCE,SOCIETE AZIZ POUR LE COMMERCE,0.5405,ORGE_81b9deee9e80eae45e69,CO_SFAX_ALVEOLES
OS_040148e6f2fd43a43aed1b,,,CO_AZIZA,AZIZA,shareholder_confirmed,1,confirmation,2003-12-26,exact,ster aux assemblées générales et de participer aux délibérations,Société de Mise en Valeur et de Développement Agricole Aziza,0.5581,1.0,0.5581,unresolved,actionnaire a le droit d'assister aux assemblées générales et de participer aux délibérations,EV_2c3d4b4b2e3fd9485d49,annonces-legales/fr/2004/001:2003A0571SANB1,annonces-legales/fr/2004/001,14,0.8,unresolved,discriminating_fuzzy,,CO_AZIZA,one_end_resolved,holder,ster aux assemblées générales et de participer aux délibérations,CO_CHAABANE_DALIMENTATIONS_GENERALES,SOCIETE CHAABANE DALIMENTATIONS GENERALES,0.5581,ORGE_fe18e6c3c8c5006e981e,CO_AZIZA
OS_49c276cfc7f5fe2f935ed1,CO_MARBRERIE_JERIDI,MARBRERIE JERIDI,,,auditor,0,confirmation,2003-12-13,exact,Société Marbrerie Jeridi SARL,Mise à jour des statuts de la société et nomination de commissaire aux comptes,1.0,0.5169,0.5169,unresolved,commissaire aux comptes Société Marbrerie Jeridi SARL,EV_57a502f3cc662f060be1,annonces-legales/fr/2004/002:2004G0014SRLB2,annonces-legales/fr/2004/002,34,0.9,exact,unresolved,CO_MARBRERIE_JERIDI,,one_end_resolved,target,Mise à jour des statuts de la société et nomination de commissaire aux comptes,CO_FABRICATION_CORDES_MISE_EN_BALLE_SCMB,SOCIETE DE FABRICATION DES CORDES ET DE MISE EN BALLE SCMB,0.5169,CO_MARBRERIE_JERIDI,ORGE_56f88b235c328d1bceab
OS_e4c6ae10b50d6cc9711be4,,,CO_BRILLANT_ECO,LE BRILLANT ECO,auditor,0,confirmation,2003-11-30,exact,la société pour les exercices 2003,Société le Brillant Eco,0.5405,1.0,0.5405,unresolved,commissaire aux comptes de la société pour les exercices 2003,EV_83128fe13984b508bd1a,annonces-legales/fr/2004/002:2004G0037SRLB2,annonces-legales/fr/2004/002,35,0.9,unresolved,exact,,CO_BRILLANT_ECO,one_end_resolved,holder,la société pour les exercices 2003,CO_AZIZ_POUR_COMMERCE,SOCIETE AZIZ POUR LE COMMERCE,0.5405,ORGE_81b9deee9e80eae45e69,CO_BRILLANT_ECO
OS_6507a71d976c0d16a268c9,,,CO_ARAMYS,ARAMYS,auditor,0,confirmation,2001-12-18,exact,la société et ce pour les exercices 2001,Société Aramys Diffusion,0.5714,1.0,0.5714,unresolved,commissaire aux comptes de la société et ce pour les exercices 2001,EV_4fc7d1bce209d292109a,annonces-legales/fr/2004/002:2004G0040SRLB2,annonces-legales/fr/2004/002,35,0.9,unresolved,discriminating_fuzzy,,CO_ARAMYS,one_end_resolved,holder,la société et ce pour les exercices 2001,CO_SUD_POUR_SERVICES_MEDICALES,SOCIETE SUD POUR SERVICES MEDICALES,0.5714,ORGE_026ec2060b30df2fe5ad,CO_ARAMYS
OS_12300a45f05eb307997ac5,,,ORGE_1480423907a17dc36912,Société International Computer Company I.C.C,auditor,0,confirmation,2003-11-08,exact,la société et ce pour les exercices 2002,Société International Computer Company I.C.C,0.5714,0.9333,0.5714,unresolved,commissaire aux comptes de la société et ce pour les exercices 2002,EV_53d1d26e3104f6ded67f,annonces-legales/fr/2004/002:2004G0041SRLB2,annonces-legales/fr/2004/002,35,0.9,unresolved,generic_fuzzy,,,one_end_resolved,holder,la société et ce pour les exercices 2002,CO_SUD_POUR_SERVICES_MEDICALES,SOCIETE SUD POUR SERVICES MEDICALES,0.5714,ORGE_ee1d2fb993482c5b07d2,ORGE_1480423907a17dc36912
OS_7b4b2aab54cab9b1c7dc6e,ORGE_bc3d7fdd6ccba97f0c3b,la Société Hergla Karting Park en unanimité lors d'une assemblée générale ordinai,,,shareholder_confirmed,1,confirmation,2003-12-16,exact,la Société Hergla Karting Park en unanimité lors d'une assemblée générale ordinai,Pouvoirs du gérant,1.0,0.5714,0.5714,unresolved,associés de la Société Hergla Karting Park en unanimité lors d'une assemblée générale ordinai,EV_1001a12b4a1fdd80dcd3,annonces-legales/fr/2004/002:2004S0004SRLB2,annonces-legales/fr/2004/002,36,0.8,generic_fuzzy,unresolved,,,one_end_resolved,target,Pouvoirs du gérant,CO_GERANT_MONDIAL_EQUIPEMENT_AUTO_M_E_A,GERANT MONDIAL EQUIPEMENT AUTO M E A,0.5714,ORGE_bc3d7fdd6ccba97f0c3b,ORGE_f129344491f947a0d73c
OS_7e3094dbfa27bef1c19c0d,,,CO_INDUSTRIELLE_CERAMIQUE,SOCIETE INDUSTRIELLE DE CERAMIQUE,shares_ceded,1,closing,2003-12-16,exact,la société SICERAM PLUS,Société Industrielle de Céramique,0.8571,1.0,0.8571,unresolved,"la société ""SICERAM PLUS"" a cédé",EV_7402cf8644bb9aafadee,annonces-legales/fr/2004/003:2004X0029SRLB2,annonces-legales/fr/2004/003,75,0.88,unresolved,exact,,CO_INDUSTRIELLE_CERAMIQUE,one_end_resolved,holder,la société SICERAM PLUS,CO_SCAM_PLUS,SCAM PLUS,0.8571,ORGE_405c69424239c62ec2b1,CO_INDUSTRIELLE_CERAMIQUE
OS_93903016fbfc60cf62b7fe,,,ORGE_4064a5c77e201007d674,Diar Omar de Promotion Immobilière,shares_ceded,1,closing,2003-12-16,exact,la société SICERAM,Diar Omar de Promotion Immobilière,0.0,0.8852,0.0,unresolved,"la société ""SICERAM"" a cédé",EV_771bb80041b5359273fa,annonces-legales/fr/2004/003:2004X0030SRLB2,annonces-legales/fr/2004/003,76,0.88,unresolved,generic_fuzzy,,,one_end_resolved,holder,la société SICERAM,,,0.0,ORGE_257c72ee1f222aa64e16,ORGE_4064a5c77e201007d674
OS_721e9a90a2160aabe0ba1a,ORGE_9f576a7d0e9862aca6dd,Société Immobilière et d'Hôtellerie en Tunisie – S,,,auditor,0,confirmation,2001-12-19,exact,Société Immobilière et d'Hôtellerie en Tunisie – S,Société Immobilière et d'Hôtellerie en Tunisie – S.I.D.H.E.T,0.9429,0.825,0.825,unresolved,"commissaire aux comptes Société Immobilière et d'Hôtellerie en Tunisie – ""S",EV_d4c8fc44ca80de47033e,annonces-legales/fr/2004/004:2004R0069SANB2,annonces-legales/fr/2004/004,86,0.9,generic_fuzzy,unresolved,,,one_end_resolved,target,Société Immobilière et d'Hôtellerie en Tunisie – S.I.D.H.E.T,CO_IMMOBILIERE_D_HOTELLERIE_EN_TUNISIE,SOCIETE IMMOBILIERE D’HOTELLERIE EN TUNISIE,0.825,ORGE_9f576a7d0e9862aca6dd,ORGE_9f576a7d0e9862aca6dd
OS_907523170bd05705690b20,,,CO_IMMOBILIERE_TOURISTIQUE_TUNISIE,SOCIETE IMMOBILIERE ET TOURISTIQUE DE TUNISIE,shareholder_confirmed,1,confirmation,2003-08-28,exact,société ont décidé,Société Immobilière et Touristique de Tunisie,0.0,1.0,0.0,unresolved,actionnaires de ladite société ont décidé,EV_3d3006d2383ec017ceb5,annonces-legales/fr/2004/004:2004A0011SANB2,annonces-legales/fr/2004/004,89,0.8,unresolved,exact,,CO_IMMOBILIERE_TOURISTIQUE_TUNISIE,one_end_resolved,holder,société ont décidé,,,0.0,ORGE_155bc917767f48e0394b,CO_IMMOBILIERE_TOURISTIQUE_TUNISIE
OS_9b5ac4b2ff3b094a70a0e1,,,ORGE_d415ec8d7037c5860e0a,Société de Stockage Céréales et Transport Marchandises SARL,shareholder_confirmed,1,confirmation,1995-05-02,exact,la société S,Société de Stockage Céréales et Transport Marchandises SARL,0.0,0.88,0.0,unresolved,associés de la société S,EV_b82a0112a2f255dca7af,annonces-legales/fr/2004/004:2004R0065SRLB2,annonces-legales/fr/2004/004,91,0.8,unresolved,generic_fuzzy,,,one_end_resolved,holder,la société S,,,0.0,ORGE_d48900e4c284447d31bd,ORGE_d415ec8d7037c5860e0a
OS_fec2b6afc7d1d36e343cd8,,,CO_BRAVO,BRAVO,auditor,0,confirmation,2003-12-16,exact,Société K,Société Bravo,0.0,1.0,0.0,unresolved,"Commissaire aux comptes de la société : Société ""K",EV_5d040ca26a5a22510578,annonces-legales/fr/2004/004:2004S0046SRLB1,annonces-legales/fr/2004/004,103,0.9,unresolved,exact,,CO_BRAVO,one_end_resolved,holder,Société K,,,0.0,ORGE_8f3a8942104035ebb4eb,CO_BRAVO
OS_d8ef842b92d152d8c66c02,,,CO_BRAVO,BRAVO,auditor,0,confirmation,2003-12-16,exact,la société l'Evolution Economique et ce pour les exercices 2003,Société Bravo,0.5455,1.0,0.5455,unresolved,commissaire aux comptes de la société l'Evolution Economique et ce pour les exercices 2003,EV_4970518ff7b73114b01a,annonces-legales/fr/2004/004:2004S0046SRLB1,annonces-legales/fr/2004/004,103,0.9,unresolved,exact,,CO_BRAVO,one_end_resolved,holder,la société l'Evolution Economique et ce pour les exercices 2003,CO_INFORMATION_ECONOMIQUE_AFRICAINE,INFORMATION ECONOMIQUE AFRICAINE,0.5455,ORGE_61d5728b37547f16d62d,CO_BRAVO
OS_9255a6c60e888736a13f5a,,,ORGE_6568e42439acebeb1ee7,Société d'Animation Touristique,auditor,0,confirmation,2001-03-23,exact,la société pour les exercices 2001,Société d'Animation Touristique,0.5405,1.0,0.5405,unresolved,commissaire aux comptes de la société pour les exercices 2001,EV_c32e2628063cc1e34db9,annonces-legales/fr/2004/005:2004T0129SANB2,annonces-legales/fr/2004/005,116,0.9,unresolved,generic_fuzzy,,,one_end_resolved,holder,la société pour les exercices 2001,CO_AZIZ_POUR_COMMERCE,SOCIETE AZIZ POUR LE COMMERCE,0.5405,ORGE_81b9deee9e80eae45e69,ORGE_6568e42439acebeb1ee7
OS_87c604f760965d26a662e6,,,ORGE_2672851ce69e79289ca7,Compagnie de Promotion Immobilière,shareholder_confirmed,1,confirmation,2003-06-14,exact,société ont décidé d'augmenter le capital social de 6,Compagnie de Promotion Immobilière,0.7368,0.8955,0.7368,unresolved,actionnaires de la susdite société ont décidé d'augmenter le capital social de 6,EV_042a04eaf9f631c65495,annonces-legales/fr/2004/005:2004G0090SANB2,annonces-legales/fr/2004/005,117,0.8,unresolved,generic_fuzzy,,,one_end_resolved,holder,société ont décidé d'augmenter le capital social de 6,CO_BMCE_CAPITAL,BMCE CAPITAL,0.7368,ORGE_6753f3b86039af51c21b,ORGE_2672851ce69e79289ca7
OS_16e09fbfe75d87ce0e410b,,,ORGE_f7fb0c189e238dc3dcad,Société Internationale pour la,shareholder_confirmed,1,confirmation,2003-12-05,exact,la société ont décidé à l'unanimité la dissolution volontaire de la société Inter,Société Internationale pour la,0.6667,1.0,0.6667,unresolved,actionnaires de la société ont décidé à l'unanimité la dissolution volontaire de la société Inter,EV_8a7d569fe097035230cf,annonces-legales/fr/2004/005:2004G0095SANB2,annonces-legales/fr/2004/005,117,0.8,unresolved,generic_fuzzy,,,one_end_resolved,holder,la société ont décidé à l'unanimité la dissolution volontaire de la société Inter,CO_INTER_INFO,INTER INFO,0.6667,ORGE_a9ed3e7f9057c7332d0a,ORGE_f7fb0c189e238dc3dcad
OS_2738f5e2897ee0b85cf1e1,,,CO_SAROST,SAROST,shareholder_confirmed,1,confirmation,2003-07-18,exact,société,SAROST OFFSHORE,0.0,1.0,0.0,unresolved,"associés MTBF"" société inscrite au tableau de l'ordre des experts comptables de Tunisie et re",EV_7e89ecd04334ad7bf5b7,annonces-legales/fr/2004/005:2004T0145SRLB2,annonces-legales/fr/2004/005,118,0.8,unresolved,discriminating_fuzzy,,CO_SAROST,one_end_resolved,holder,société,,,0.0,,CO_SAROST
OS_cebe9f5b230ebc96450841,,,CO_SAROST,SAROST,auditor,0,confirmation,2003-07-18,exact,la société les commissaires aux comptes associés MTBF société,SAROST OFFSHORE,0.5161,1.0,0.5161,unresolved,"commissaire aux comptes, de la société ""les commissaires aux comptes associés MTBF"" société inscrite au tablea",EV_1962274a32814ed8d2b0,annonces-legales/fr/2004/005:2004T0145SRLB2,annonces-legales/fr/2004/005,118,0.9,unresolved,discriminating_fuzzy,,CO_SAROST,one_end_resolved,holder,la société les commissaires aux comptes associés MTBF société,CO_AVOCATS_D_AFFAIRES_ASSOCIES,AVOCATS D'AFFAIRES ASSOCIES,0.5161,ORGE_7ab36b1266bfb2eedb3e,CO_SAROST
OS_9f65abd895842f3de0ccb2,,,CO_SIVO_COMMERCIALE,SIVO COMMERCIALE,shares_acquired,1,opening,2003-12-25,exact,la société L'ARC,SIVO COMMERCIALE,0.0,1.0,0.0,unresolved,cédé 17700 parts sociales à la société L'ARC,EV_15efcedeffcf95228514,annonces-legales/fr/2004/005:2003X0050SRLB2,annonces-legales/fr/2004/005,121,0.88,unresolved,exact,,CO_SIVO_COMMERCIALE,one_end_resolved,holder,la société L'ARC,,,0.0,ORGE_66e04f5be5c5c58f1911,CO_SIVO_COMMERCIALE
OS_4dd69476cb095fb9d65e56,,,CO_DIAR_SIVO_PROMOTION_IMMOBILIERE,DIAR SIVO DE PROMOTION IMMOBILIERE,shares_acquired,1,opening,2003-12-25,exact,la Société l'ARC,Diar SIVO de Promotion Immobilière,0.0,1.0,0.0,unresolved,cédé 3000 parts sociales à la Société l'ARC,EV_884b682a835560577d88,annonces-legales/fr/2004/005:2004X0056SRLB2,annonces-legales/fr/2004/005,122,0.88,unresolved,exact,,CO_DIAR_SIVO_PROMOTION_IMMOBILIERE,one_end_resolved,holder,la Société l'ARC,,,0.0,ORGE_66e04f5be5c5c58f1911,CO_DIAR_SIVO_PROMOTION_IMMOBILIERE
