org_tie_obs_id,holder_id,holder_label,target_id,target_label,relation,is_ownership,obs_kind,obs_date,date_precision,holder_mention,target_mention,holder_match,target_match,score,link_status,evidence_quote,event_id,block_uid,issue_uid,folio_page,extract_confidence,holder_basis,target_basis,holder_seed_id,target_seed_id,queue_reason,failed_end,failed_mention,near_org_id,near_org_label,near_score,holder_entity_id,target_entity_id
OS_70d144f55239d7c8032e77,ORGE_68579be47a3a317ff53f,la société pour un mandat de trois ans 2003,,,auditor,0,confirmation,2003-10-15,exact,la société pour un mandat de trois ans 2003,Société LUXPLAST - SARL,1.0,0.0,0.0,unresolved,commissaire aux comptes de la société pour un mandat de trois ans 2003,EV_5a937959f9d26b6884f2,annonces-legales/fr/2004/006:2004G0112SRLB2,annonces-legales/fr/2004/006,135,0.9,generic_fuzzy,unresolved,,,one_end_resolved,target,Société LUXPLAST - SARL,,,0.0,ORGE_68579be47a3a317ff53f,ORGE_0b219b009a446e946a48
OS_dd9b35e726d9ad8840e909,,,CO_TUNISIENNE_PROMOTION_L_INDUSTRIE_SOTUPRIN,SOCIETE TUNISIENNE DE PROMOTION DE L'INDUSTRIE SOTUPRIN,auditor,0,confirmation,2003-12-18,exact,la société pour les exercices 2002,Société Tunisienne de Promotion de l'Industrie SOTUPRIN – SARL,0.5405,1.0,0.5405,unresolved,commissaire aux comptes de la société pour les exercices 2002,EV_e902605673a20d402830,annonces-legales/fr/2004/006:2004X0063SRLB2,annonces-legales/fr/2004/006,136,0.9,unresolved,exact,,CO_TUNISIENNE_PROMOTION_L_INDUSTRIE_SOTUPRIN,one_end_resolved,holder,la société pour les exercices 2002,CO_AZIZ_POUR_COMMERCE,SOCIETE AZIZ POUR LE COMMERCE,0.5405,ORGE_81b9deee9e80eae45e69,CO_TUNISIENNE_PROMOTION_L_INDUSTRIE_SOTUPRIN
OS_041e563aaa9637dc17362a,CO_GHORBEL,ETABLISSEMENT GHORBEL,,,auditor,0,confirmation,2003-11-21,exact,la société a chargé Monsieur Mohamed Mongi Ghorbel de cette mission pour établir,Thyna Voyages,1.0,0.8,0.8,unresolved,"commissaire aux comptes, Monsieur le gérant de la société a chargé Monsieur Mohamed Mongi Ghorbel de cette mission pour établir",EV_f3b5d962fe6f7031cc47,annonces-legales/fr/2004/006:2004X0069SRLB2,annonces-legales/fr/2004/006,137,0.9,discriminating_fuzzy,unresolved,CO_MOHAMED_GHORBEL,,one_end_resolved,target,Thyna Voyages,CO_TIBA_VOYAGES,TIBA VOYAGES,0.8,CO_GHORBEL,
OS_a7bbb81df860f639f817ae,CO_NESRINE,NESRINE,,,shares_acquired,1,opening,2003-12-13,exact,la société à Madame Nesrine Trabelsi,Société Rabie International,1.0,0.8718,0.8718,unresolved,cédé toutes les parts qu'ils possèdent à la société à Madame Nesrine Trabelsi et Monsieur Milode Achour,EV_4665332a8801600c993a,annonces-legales/fr/2004/006:2004B0014SRLB2,annonces-legales/fr/2004/006,137,0.88,discriminating_fuzzy,unresolved,CO_TRABELSI,,one_end_resolved,target,Société Rabie International,CO_TRITEX_INTERNATIONAL,SOCIETE TRITEX INTERNATIONAL,0.8718,CO_NESRINE,ORGE_980743bd5df9b293363c
OS_153c566f8035e40aa891c3,ORGE_f8aae9e46d089d3177c6,TUNISAIR,,,shareholder_confirmed,1,confirmation,2003-12-24,exact,la Société TUNINTER - autres que la Société Tunisienne de l'Air - TUNISAIR - à la,Mise à Jour des Statuts,1.0,0.5714,0.5714,unresolved,actionnaires actuels de la Société TUNINTER - autres que la Société Tunisienne de l'Air - TUNISAIR - à la,EV_77eb134be5364224896f,annonces-legales/fr/2004/007:2004R0097SANB2,annonces-legales/fr/2004/007,152,0.8,discriminating_fuzzy,unresolved,CO_TUNISAIR,,one_end_resolved,target,Mise à Jour des Statuts,CO_UN_JOUR_AILLEURS,UN JOUR AILLEURS,0.5714,ORGE_f8aae9e46d089d3177c6,ORGE_ba80b5ede209b5695696
OS_e2c9fdd3a734563cef284d,,,CO_NEGOCE_DISTRIBUTION,SOCIETE NEGOCE ET DISTRIBUTION,auditor,0,confirmation,2003-12-17,exact,la société pour les exercices 2004,Société Négoce et Distribution,0.5405,1.0,0.5405,unresolved,commissaire aux comptes de la société pour les exercices 2004,EV_1d915ed1e9afee735b82,annonces-legales/fr/2004/007:2004R0098SANB2,annonces-legales/fr/2004/007,153,0.9,unresolved,exact,,CO_NEGOCE_DISTRIBUTION,one_end_resolved,holder,la société pour les exercices 2004,CO_AZIZ_POUR_COMMERCE,SOCIETE AZIZ POUR LE COMMERCE,0.5405,ORGE_81b9deee9e80eae45e69,CO_NEGOCE_DISTRIBUTION
OS_43b520d25ffcc0897287e6,ORGE_6d4d5a97677a3660df31,Société Sud Engineering S,,,auditor,0,confirmation,2003-12-01,exact,Société Sud Engineering S,Prorogation de la durée de la société,0.88,0.0,0.0,unresolved,"commissaire aux comptes Société ""Sud Engineering S",EV_d4c89081c7fffe7e4828,annonces-legales/fr/2004/007:2004X0083SANB2,annonces-legales/fr/2004/007,158,0.9,generic_fuzzy,unresolved,,,one_end_resolved,target,Prorogation de la durée de la société,,,0.0,ORGE_6d4d5a97677a3660df31,ORGE_627a198f38f62d5260ff
OS_55a6e8ad39d53f285b384c,,,CO_UNITEC_INTERNATIONAL,UNITEC INTERNATIONAL,auditor,0,confirmation,2003-10-30,exact,la société pour les exercices 2001 à 2003,Société UNITEC – SARL,0.5185,1.0,0.5185,unresolved,commissaire aux comptes de la société pour les exercices 2001 à 2003,EV_09062db7e9f60f1c7239,annonces-legales/fr/2004/007:2004T0184SRLB2,annonces-legales/fr/2004/007,158,0.9,unresolved,discriminating_fuzzy,,CO_UNITEC_INTERNATIONAL,one_end_resolved,holder,la société pour les exercices 2001 à 2003,CO_NAMAA_POUR_COMMERCE_SERVICES,SOCIETE NAMAA POUR LE COMMERCE ET LE SERVICES,0.5185,ORGE_0e03246a83a81c906af4,CO_UNITEC_INTERNATIONAL
OS_9688230566aae05d9b0112,,,ORGE_478baa854c1a80967018,Société Entreprise Selim Bâtiment,auditor,0,confirmation,2003-12-08,exact,la société pour une durée de 3 ans (2003,Société Entreprise Selim Bâtiment,0.5185,1.0,0.5185,unresolved,commissaire aux comptes de la société pour une durée de 3 ans (2003,EV_c94be163bd83df297468,annonces-legales/fr/2004/010:2004G0168SRLB2,annonces-legales/fr/2004/010,213,0.9,unresolved,generic_fuzzy,,,one_end_resolved,holder,la société pour une durée de 3 ans (2003,ORG_COALITION_FEMMES_POUR_TUNISIE,COALITION DES FEMMES POUR LA TUNISIE,0.5185,ORGE_bed5d822b621daed052e,ORGE_478baa854c1a80967018
OS_de08f1b15143cf1447db4c,ORGE_482ce476555f9fa6c721,la société pour trois années,,,auditor,0,confirmation,2004-01-05,exact,la société pour trois années,Société de Promotion Méditerranéenne,1.0,0.8571,0.8571,unresolved,commissaire aux comptes de la société pour trois années,EV_dcc107290883fa615019,annonces-legales/fr/2004/010:2004G0169SRLB2,annonces-legales/fr/2004/010,213,0.9,generic_fuzzy,unresolved,,,one_end_resolved,target,Société de Promotion Méditerranéenne,CO_AB_PROMOTION,AB PROMOTION,0.8571,ORGE_482ce476555f9fa6c721,
OS_42fcb940d2cf7f40f7eaf7,,,ORGE_2d350dfe90eb15fe5cf4,Société Voyages et Loisirs en Tunisie,shareholder_confirmed,1,confirmation,2003-12-15,exact,société ont décidé de,Société Voyages et Loisirs en Tunisie,0.0,1.0,0.0,unresolved,actionnaires de ladite société ont décidé de,EV_1fcfab844fbc425cc875,annonces-legales/fr/2004/011:2004S0122SANB2,annonces-legales/fr/2004/011,230,0.8,unresolved,generic_fuzzy,,,one_end_resolved,holder,société ont décidé de,,,0.0,ORGE_155bc917767f48e0394b,ORGE_2d350dfe90eb15fe5cf4
OS_d72b733db60a2c23eb47ab,,,CO_HOTELIERE_EL_KANTAOUI,SOCIETE HOTELIERE EL-KANTAOUI,shareholder_confirmed,1,confirmation,2003-12-16,exact,société ont décidé de,Société Hôtelière El Kantaoui,0.0,1.0,0.0,unresolved,actionnaires de ladite société ont décidé de,EV_8e41822ba557e1c4ad50,annonces-legales/fr/2004/011:2004S0124SANB2,annonces-legales/fr/2004/011,230,0.8,unresolved,exact,,CO_HOTELIERE_EL_KANTAOUI,one_end_resolved,holder,société ont décidé de,,,0.0,ORGE_155bc917767f48e0394b,CO_HOTELIERE_EL_KANTAOUI
OS_908a3630431de3f56987f4,,,CO_ETS_BEN_ROMDHANE_SADOK_TOLERIE_FINE,ETS BEN-ROMDHANE SADOK LA TOLERIE FINE,auditor,0,confirmation,2002-12-31,exact,la société pour les années 2003,Société Etablissement B. Romdhane,0.5143,0.8889,0.5143,unresolved,commissaire aux comptes de la société pour les années 2003,EV_1a48ca6071f14ff6c7ba,annonces-legales/fr/2004/011:2004X0098SRLB2,annonces-legales/fr/2004/011,233,0.9,unresolved,discriminating_fuzzy,,CO_BEN_FATTOUM_ROMDHANE_ELECTRIC_BFR_ELECTRIC,one_end_resolved,holder,la société pour les années 2003,CO_CHAABANE_POUR_FRUITS,SOCIETE CHAABANE POUR LES FRUITS,0.5143,ORGE_2ab0a052d7a06e5a59b6,CO_ETS_BEN_ROMDHANE_SADOK_TOLERIE_FINE
OS_817a0619452b1584ea47e4,,,ORGE_0101967d7094e224e69f,Services Automobile Fournitures Industrielles et Représentation S.A.F.I.R,shareholder_confirmed,1,confirmation,2001-06-28,exact,la société S,Services Automobile Fournitures Industrielles et Représentation S.A.F.I.R,0.0,0.9091,0.0,unresolved,actionnaires de la société S,EV_1fb4285990bb10fa7059,annonces-legales/fr/2004/012:2004S0141SANB2,annonces-legales/fr/2004/012,246,0.8,unresolved,generic_fuzzy,,,one_end_resolved,holder,la société S,,,0.0,ORGE_d48900e4c284447d31bd,ORGE_0101967d7094e224e69f
OS_2955b06d201caa5feae297,,,ORGE_0101967d7094e224e69f,Services Automobile Fournitures Industrielles et Représentation S.A.F.I.R,shareholder_confirmed,1,confirmation,2001-06-28,exact,la société S,Services Automobile Fournitures Industrielles et Représentation S.A.F.I.R,0.0,0.9091,0.0,unresolved,actionnaires de la société S,EV_e570dc74ab19353033b9,annonces-legales/fr/2004/012:2004S0143SANB2,annonces-legales/fr/2004/012,246,0.8,unresolved,generic_fuzzy,,,one_end_resolved,holder,la société S,,,0.0,ORGE_d48900e4c284447d31bd,ORGE_0101967d7094e224e69f
OS_b7a28dc8fcb20396d07614,,,CO_CARTE,SOCIETE CARTE,shareholder_confirmed,1,confirmation,2003-11-22,exact,société ont voté et approuvé à l'unanimité ce qui suit,Société Carte d'Afrique,0.0,1.0,0.0,unresolved,associés de ladite société ont voté et approuvé à l'unanimité ce qui suit,EV_32a2e9721926eca07111,annonces-legales/fr/2004/012:2004R0153SRLB2,annonces-legales/fr/2004/012,251,0.8,unresolved,discriminating_fuzzy,,CO_CARTE,one_end_resolved,holder,société ont voté et approuvé à l'unanimité ce qui suit,,,0.0,ORGE_9d49bcee8f4aed52224d,CO_CARTE
