org_tie_obs_id,holder_id,holder_label,target_id,target_label,relation,is_ownership,obs_kind,obs_date,date_precision,holder_mention,target_mention,holder_match,target_match,score,link_status,evidence_quote,event_id,block_uid,issue_uid,folio_page,extract_confidence
OS_b2f6cea37b9e1aa6db68b7,CO_PANORAMA,PANORAMA,CO_TUNISIENNE_POUR_TOURISME_LIMMOBILIER_STTI,SOCIETE TUNISIENNE POUR LE TOURISME ET LIMMOBILIER STTI,shareholder_confirmed,1,confirmation,2003-06-28,exact,la société Hôtel Panorama en date du 28 juin 2003,Société de Tourisme,1.0,1.0,0.87,resolved,"actionnaires de la société ""Hôtel Panorama"" en date du 28 juin 2003",EV_2dd3232d5e99b80aeae0,annonces-legales/fr/2004/001:2003S2422SANB2,annonces-legales/fr/2004/001,5,0.8
OS_c5fa9b282d841fdf11c522,CO_ONS_TRAVAUX_PUBLICS,SOCIETE ONS DE TRAVAUX PUBLICS,CO_ZAABI_TRANSPORT_MARCHANDISES,SOCIETE ZAABI DE TRANSPORT MARCHANDISES,shareholder_confirmed,1,confirmation,2002-01-18,exact,entreprise Hamila des Travaux Publics E,Société Hamila de Transport de Marchandises,0.8824,0.88,0.78,resolved,"associés de l'entreprise Hamila des Travaux Publics ""E",EV_953fb6a3b46868fe9f91,annonces-legales/fr/2004/001:2003S2417SRLB2,annonces-legales/fr/2004/001,8,0.8
OS_03b59b1ff5f86e56587116,CO_CMR_AUDIT,CMR AUDIT,CO_ARAMYS,ARAMYS,shareholder_confirmed,1,confirmation,2001-12-18,exact,la société CMR Audit SARL,Société Aramys Diffusion,1.0,1.0,0.87,resolved,associés ont décidé la nomination de la société CMR Audit SARL sise à la résidence El Morjen avenue Taher Sfar El Menz,EV_3822a3a96361868ce268,annonces-legales/fr/2004/002:2004G0040SRLB2,annonces-legales/fr/2004/002,35,0.8
OS_70549658e213b9c2495b35,CO_SIVO,SIVO,CO_SIVO_COMMERCIALE,SIVO COMMERCIALE,shares_ceded,1,closing,2003-12-25,exact,la société SIVO,SIVO COMMERCIALE,1.0,1.0,0.882,resolved,la société SIVO a cédé,EV_298b26580659be46091f,annonces-legales/fr/2004/005:2003X0050SRLB2,annonces-legales/fr/2004/005,121,0.88
OS_0a50341f4df716f32dee3d,CO_SIVO,SIVO,CO_DIAR_SIVO_PROMOTION_IMMOBILIERE,DIAR SIVO DE PROMOTION IMMOBILIERE,shares_ceded,1,closing,2003-12-25,exact,la société SIVO,Diar SIVO de Promotion Immobilière,1.0,1.0,0.917,resolved,la société SIVO a cédé,EV_85d7a8d855df97d39457,annonces-legales/fr/2004/005:2004X0056SRLB2,annonces-legales/fr/2004/005,122,0.88
OS_d21f3593d5b7fc1bcfc838,CO_IMMOBILIERE,SOCIETE IMMOBILIERE,CO_TOURISTIQUE,SOCIETE TOURISTIQUE,auditor,0,confirmation,2003-12-02,exact,Société Immobilière &,Société Immobilière & Touristique,1.0,1.0,0.885,resolved,commissaire aux comptes Société Immobilière &amp,EV_42393258e365bad99823,annonces-legales/fr/2004/006:2004T0158SANB2,annonces-legales/fr/2004/006,132,0.9
OS_bddcb1409cae42573d203a,CO_CONSEIL,SOCIETE LE CONSEIL,CO_TOPNET,TOPNET,shareholder_confirmed,1,confirmation,2003-11-21,exact,la société ont nommé les membres du conseil d'administration comme suit,Société TOPNET S.A,1.0,1.0,0.87,resolved,actionnaires de la société ont nommé les membres du conseil d'administration comme suit,EV_3e71d5d8adda354b93a3,annonces-legales/fr/2004/006:2004S0058SANB2,annonces-legales/fr/2004/006,133,0.8
OS_a046e5add2536bc47f6007,CO_TROIS,SOCIETE TROIS,CO_INTERBANCAIRE_TELECOMPENSATION,SOCIETE INTERBANCAIRE DE TELECOMPENSATION,auditor,0,confirmation,2003-05-13,exact,la société pour une durée de trois ans qui viendra à expiration à l'issue de l'as,Société Interbancaire de,1.0,1.0,0.92,resolved,commissaire aux comptes de la société pour une durée de trois ans qui viendra à expiration à l'issue de l'as,EV_515ddf66069fb1b29f28,annonces-legales/fr/2004/007:2004G0131SANB2,annonces-legales/fr/2004/007,153,0.9
OS_a8d72feed046c2a89f0209,CO_BATIMENT,BATIMENT +,CO_CONSEIL,SOCIETE LE CONSEIL,auditor,0,confirmation,2003-11-29,exact,la Société d'Equipement de Bâtiment et de Construction SEBAC,Maghreb d'Assistance et Conseil en tant que commissaire aux c,1.0,1.0,0.885,resolved,"commissaire aux comptes de la Société d'Equipement de Bâtiment et de Construction ""SEBAC""",EV_9123a8614c3cb96cea3b,annonces-legales/fr/2004/007:2004T0191SRLB2,annonces-legales/fr/2004/007,159,0.9
OS_a9fa93a725ef3954e6bb2a,CO_AZIZA,AZIZA,CO_MISE_EN_VALEUR_DEVELOPPEMENT_AGRICOLE,SOCIETE DE MISE EN VALEUR ET DE DEVELOPPEMENT AGRICOLE,auditor,0,confirmation,2004-01-08,exact,la société de Mise en Valeur et de Développement Agricole Aziza SMVDA Aziza,Société de Mise en Valeur et de Développement Agricole,1.0,1.0,0.885,resolved,commissaire aux comptes de la société de Mise en Valeur et de Développement Agricole Aziza SMVDA Aziza,EV_1eb33f5b25a2e22db16d,annonces-legales/fr/2004/007:2003A0027SANB1,annonces-legales/fr/2004/007,168,0.9
