layer,nodes,components_observed,components_potential,largest_observed,largest_potential,connected_pairs_observed,connected_pairs_potential,pairs_on_the_boundary,exposure_pct,bridging_nodes_not_in_network,queue_rows,usable_declined_edges,verdict
person-organisation (all years),7823,4376,4214,2514,2725,3160474,3713017,552543,17.5,71,3801,3113,measured
person-organisation 1957-2010,3869,2603,2548,770,829,297034,344277,47243,15.9,69,3801,1210,measured
person-organisation 2011-2026,7618,4436,4325,2170,2324,2355667,2701589,345922,14.7,41,3801,2117,measured
organisation ownership,8315,1599,1303,4285,5285,9193689,13965557,4771868,51.9,9087,10627,8144,measured
kinship,28,14,14,2,2,14,14,0,0.0,12162,8749,7238,measured
