onset,terminus,vertex.id
-22,Inf,1
-22,Inf,2
-40,Inf,3
-40,Inf,4
-26,Inf,5
-26,Inf,6
-Inf,Inf,7
-Inf,Inf,8
-Inf,Inf,9
-Inf,Inf,10
-Inf,Inf,11
-Inf,-75,12
-Inf,Inf,13
-Inf,-70,14
-48,Inf,15
-Inf,Inf,16
-20,Inf,17
-20,Inf,18
-17,Inf,19
-17,Inf,20
-Inf,Inf,21
-188,Inf,22
-11,Inf,23
-11,Inf,24
-42,Inf,25
-42,Inf,26
-18,Inf,27
-18,Inf,28
-7,Inf,29
-7,Inf,30
-5,Inf,31
-5,Inf,32
-Inf,Inf,33
-127,Inf,34
-Inf,Inf,35
-Inf,Inf,36
-Inf,Inf,37
-Inf,Inf,38
-Inf,Inf,39
-19,Inf,40
-19,Inf,41
-1,Inf,42
-1,Inf,43
-8,Inf,44
-8,Inf,45
-Inf,Inf,46
-Inf,Inf,47
-92,Inf,48
-92,Inf,49
-Inf,Inf,50
-11,Inf,51
-272,Inf,52
-272,Inf,53
6,Inf,54
6,Inf,55
-143,Inf,56
-143,Inf,57
-Inf,Inf,58
-Inf,Inf,59
-200,Inf,60
-68,Inf,61
10,Inf,62
10,Inf,63
-4,Inf,64
-4,Inf,65
-Inf,Inf,66
-15,Inf,67
-15,Inf,68
-Inf,Inf,69
-5,Inf,70
-1,Inf,71
-1,Inf,72
-Inf,1428,73
-Inf,Inf,74
-Inf,Inf,75
-Inf,Inf,76
-Inf,Inf,77
-Inf,Inf,78
-Inf,Inf,79
-Inf,Inf,80
-Inf,Inf,81
-Inf,Inf,82
-Inf,Inf,83
-150,Inf,84
-150,557,85
-52,Inf,86
-52,Inf,87
11,Inf,88
11,Inf,89
-22,Inf,90
-22,Inf,91
-37,Inf,92
-37,Inf,93
-37,Inf,94
-22,Inf,95
-22,Inf,96
2,Inf,97
2,Inf,98
-29,Inf,99
-29,Inf,100
3,Inf,101
3,Inf,102
17,Inf,103
17,Inf,104
-Inf,Inf,105
-14,Inf,106
-19,Inf,107
-19,Inf,108
-181,Inf,109
-181,Inf,110
-61,Inf,111
-61,Inf,112
-174,Inf,113
-174,Inf,114
7,Inf,115
7,Inf,116
-89,Inf,117
-Inf,Inf,118
-89,Inf,119
2,Inf,120
-Inf,Inf,121
-Inf,Inf,122
2,Inf,123
-22,Inf,124
-22,Inf,125
-21,Inf,126
-21,Inf,127
7,Inf,128
7,Inf,129
23,Inf,130
23,Inf,131
-Inf,3,132
-Inf,3,133
20,Inf,134
20,Inf,135
-342,Inf,136
-342,Inf,137
23,1304,138
23,Inf,139
-Inf,28,140
-Inf,Inf,141
28,Inf,142
-300,Inf,143
-34,Inf,144
-34,Inf,145
-88,Inf,146
-88,Inf,147
-88,Inf,148
29,Inf,149
29,Inf,150
29,Inf,151
-Inf,-21,152
-Inf,Inf,153
-21,Inf,154
34,Inf,155
34,Inf,156
-7,Inf,157
-7,Inf,158
27,Inf,159
27,Inf,160
21,Inf,161
21,Inf,162
-62,Inf,163
-62,Inf,164
-Inf,Inf,165
-Inf,Inf,166
-Inf,37,167
43,Inf,168
43,Inf,169
49,Inf,170
-Inf,Inf,171
2,Inf,172
2,Inf,173
-69,Inf,174
-69,Inf,175
-Inf,Inf,176
-78,Inf,177
31,Inf,178
31,Inf,179
31,Inf,180
9,Inf,181
9,Inf,182
-106,Inf,183
-106,Inf,184
-Inf,Inf,185
-Inf,Inf,186
-Inf,Inf,187
-Inf,Inf,188
-Inf,Inf,189
-Inf,Inf,190
-Inf,-475,191
-Inf,16,192
-Inf,Inf,193
-Inf,Inf,194
-Inf,Inf,195
-327,Inf,196
42,Inf,197
-Inf,Inf,198
38,Inf,199
24,Inf,200
24,Inf,201
42,Inf,202
42,Inf,203
-Inf,Inf,204
-Inf,Inf,205
41,Inf,206
41,Inf,207
56,Inf,208
56,Inf,209
-328,Inf,210
-328,Inf,211
56,Inf,212
56,Inf,213
55,Inf,214
55,Inf,215
-319,Inf,216
-319,Inf,217
-Inf,Inf,218
-Inf,Inf,219
1,Inf,220
1,Inf,221
52,Inf,222
52,Inf,223
