onset,terminus,tail,head,spell_id,role,layer,link_status
-22,Inf,1,2,SP_30778e64362800da5aff,pdg,corporate,ambiguous
-40,Inf,3,4,SP_1e357e47e3ec56816df8,gerant,corporate,resolved
-7,Inf,5,6,SP_093b0eae6edf5a7afbcc,gerant,corporate,resolved
-8,Inf,7,8,SP_21cf21291b023016f969,gerant,corporate,resolved
-26,Inf,9,10,SP_a02b0bf7e1b2f2aa931c,gerant,corporate,resolved
-Inf,Inf,11,12,SP_a18e0903686fa92bef04,dg,corporate,ambiguous
-Inf,-3002,13,14,SP_ce3530384ac4cea1dad9,pdg,corporate,resolved
-Inf,Inf,13,14,SP_dab9df4a064f592f280e,pdg,corporate,resolved
-278,819,15,16,SP_4566b00fc13bf70ee24d,gerant,corporate,resolved
-Inf,-75,17,18,SP_d3fd85591cf4b04374bc,gerant,corporate,ambiguous
-18,1003,19,20,SP_84ba2300b78c416509be,gerant,corporate,ambiguous
-Inf,-70,21,22,SP_64833642bfabeec5e254,gerant,corporate,resolved
-32,-32,23,24,SP_56a31a79cb9c81353fc5,liquidateur,corporate,ambiguous
-20,Inf,25,26,SP_b8ef2f55134f3d7933a3,unspecified,corporate,resolved
-17,Inf,27,28,SP_867b3fbea7efba0b772d,gerant,corporate,resolved
-188,Inf,29,30,SP_cbb5b337edddb070b9b8,gerant,corporate,resolved
-11,Inf,31,32,SP_833160f78c294b59c506,gerant,corporate,resolved
-42,Inf,33,34,SP_460d1249871049631cf9,gerant,corporate,resolved
-18,Inf,35,36,SP_6f1af6cf7fed70f8f5a8,gerant,corporate,resolved
-7,Inf,37,38,SP_257ca96511522d66f33c,gerant,corporate,resolved
-157,Inf,39,40,SP_dbcfaccc2b6e7b88dcd6,gerant,corporate,resolved
-5,Inf,41,42,SP_3a3968075a294b7e0d08,gerant,corporate,resolved
-127,240,43,44,SP_589d996ca81f68247b61,pdg,corporate,resolved
-Inf,-204,43,45,SP_74f0f15217eb969cfeb0,pdg,corporate,resolved
-Inf,-204,46,45,SP_77d88207bb58718a7b92,pdg,corporate,resolved
1191,Inf,46,45,SP_02299dcd5db6770410c2,pdg,corporate,resolved
-Inf,Inf,47,48,SP_40dc6e404299c4ab297b,pdg,corporate,resolved
-Inf,356,49,48,SP_468867191f0ba163edca,dga,corporate,resolved
-Inf,-28,50,51,SP_8123fe4a084564e32905,gerant,corporate,ambiguous
-19,Inf,52,53,SP_ed9f9fc75d9a5e6e79e4,gerant,corporate,resolved
-1,Inf,54,55,SP_b99005c49d6fde283f33,gerant,corporate,resolved
-8,Inf,56,57,SP_73c3e9ec0aabbb33e742,gerant,corporate,resolved
-Inf,Inf,58,59,SP_4d31386095ac61641d1c,commissaire_aux_comptes,corporate,resolved
-Inf,-208,60,61,SP_4e7a4a5f6e6c9a3173e7,cogerant,corporate,ambiguous
-Inf,-208,60,61,SP_c81e2d96ea1b330206fc,gerant,corporate,resolved
-272,Inf,62,63,SP_cc1efd9cb116b6dbaa5a,gerant,corporate,resolved
6,Inf,64,65,SP_705f93b1ba6775d226b9,gerant,corporate,resolved
-143,Inf,66,67,SP_31fa8f9ad95e98d8e6da,gerant,corporate,resolved
-Inf,Inf,68,69,SP_c7f85d7e1f01d4b45305,commissaire_aux_comptes,corporate,ambiguous
-68,Inf,70,71,SP_d4e3c025d2970fb984d8,gerant,corporate,resolved
-5,-5,72,73,SP_20a972b198b23e19d451,gerant,corporate,ambiguous
-Inf,14,74,75,SP_cf546d6855e0fb8c3e73,gerant,corporate,ambiguous
14,Inf,76,75,SP_358c2dfb2481ca034ca9,gerant,corporate,ambiguous
