period,tail,head,role_canonical,certainty,link_status,dissolution_observed
2008,133,4645,gerant,certain,ambiguous,0
2008,133,5181,administrateur|president_ca,certain,resolved,0
2008,135,4013,gerant,certain,ambiguous,0
2008,136,5181,administrateur,certain,resolved,0
2008,138,2688,president_ca,certain,resolved,0
2008,139,5181,administrateur,certain,ambiguous,0
2008,141,3183,gerant,certain,resolved,0
2008,158,4637,gerant,certain,ambiguous,0
2008,161,2994,pdg,certain,resolved,0
2008,167,4110,gerant,certain,resolved,0
2008,167,4450,unspecified,certain,resolved,1
2008,171,4279,gerant,certain,ambiguous,0
2008,171,4486,gerant,probable,ambiguous,0
2008,182,4233,unspecified,certain,resolved,0
2008,183,3931,pdg|unspecified,certain,resolved,0
2008,186,4057,gerant,certain,resolved,0
2008,190,3611,gerant,certain,resolved,0
2008,199,3024,administrateur,certain,resolved,0
2008,199,3889,gerant,certain,resolved,0
2008,199,4195,administrateur|pdg,certain,resolved,0
2008,199,4815,gerant,certain,resolved,0
2008,199,5232,administrateur,probable,ambiguous,0
2008,199,5444,pdg,certain,ambiguous,0
2008,200,5232,administrateur,probable,ambiguous,0
2008,201,3045,gerant,certain,resolved,0
2008,201,3132,pdg,certain,resolved,0
2008,201,3135,pdg,certain,ambiguous,0
2008,201,4643,commissaire_aux_comptes,probable,resolved,0
2008,201,4645,pdg,certain,ambiguous,0
2008,201,4949,gerant,certain,resolved,0
2008,201,5232,pdg,certain,ambiguous,0
2008,201,5245,pdg,certain,resolved,1
2008,201,5460,pdg,certain,ambiguous,0
2008,226,4233,unspecified,certain,resolved,0
2008,227,4233,unspecified,certain,resolved,0
2008,228,4233,unspecified,certain,ambiguous,0
2008,231,2856,unspecified,probable,resolved,1
2008,234,5007,dg,certain,resolved,0
2008,236,3131,administrateur,probable,ambiguous,1
2008,238,3541,president_ca|unspecified,certain,resolved,0
2008,245,2951,gerant,certain,resolved,0
2008,249,5014,dg,certain,resolved,0
2008,253,3033,gerant,probable,resolved,1
2008,256,4625,pdg|unspecified,probable,resolved,0
2008,259,3453,gerant,certain,resolved,0
2008,259,5136,dg,certain,resolved,1
2008,260,4625,unspecified,probable,resolved,0
2008,261,4625,unspecified,probable,resolved,0
2008,267,3393,gerant,certain,ambiguous,0
2008,268,5346,gerant,certain,ambiguous,1
2008,273,3295,pdg,certain,ambiguous,0
2008,273,4807,administrateur|pdg,certain,resolved,0
2008,276,3890,commissaire_aux_comptes|dga,certain,resolved,0
2008,278,3887,pdg,certain,ambiguous,0
2008,278,4656,administrateur,certain,ambiguous,0
2008,278,4830,pdg,certain,resolved,0
2008,281,4356,gerant,certain,resolved,0
2008,283,3879,administrateur|president_ca,probable,ambiguous,0
2008,285,2663,association_president,certain,resolved,0
2008,285,2665,association_president|gerant,certain,resolved,0
2008,285,2701,association_president,certain,resolved,0
2008,285,4609,pdg,certain,ambiguous,0
2008,285,5346,president_ca,certain,ambiguous,1
2008,286,3266,pdg,certain,resolved,0
2008,286,4535,unspecified,certain,resolved,0
2008,286,5189,dg,certain,resolved,1
2008,286,5425,pdg,certain,ambiguous,0
2008,287,3484,gerant,certain,resolved,0
2008,291,5189,dg,certain,ambiguous,0
2008,295,4595,administrateur|president_ca,certain,ambiguous,0
2008,299,3144,gerant,certain,resolved,0
2008,301,3038,association_president,certain,ambiguous,0
2008,305,3036,pdg,certain,ambiguous,1
2008,307,2880,gerant,certain,resolved,0
2008,309,4535,unspecified,certain,resolved,0
2008,309,5425,administrateur,certain,ambiguous,0
2008,312,2804,association_president,certain,resolved,0
2008,312,3389,gerant,certain,resolved,0
2008,313,2954,president_ca,certain,resolved,0
2008,313,4306,president_ca,certain,resolved,0
2008,316,3990,administrateur,certain,resolved,0
2008,320,2611,pdg,certain,resolved,0
2008,320,4929,administrateur,probable,resolved,0
2008,325,4231,dg,certain,resolved,0
2008,332,5308,gerant,certain,resolved,0
2008,336,2831,administrateur,probable,resolved,0
2008,337,5470,pdg,probable,ambiguous,0
2008,343,2684,gerant,certain,resolved,1
2008,351,3555,gerant,certain,resolved,0
2008,353,3630,president_ca,probable,resolved,0
2008,355,5346,gerant,certain,ambiguous,1
2008,365,3937,unspecified,certain,ambiguous,1
2008,368,4185,gerant,certain,ambiguous,1
2008,373,3990,administrateur,certain,resolved,0
2008,375,3056,gerant,certain,resolved,0
2008,382,4229,gerant,certain,resolved,0
2008,384,3143,pdg,certain,resolved,1
2008,387,3990,administrateur,certain,resolved,0
2008,391,3488,gerant,certain,resolved,0
2008,393,5400,unspecified,certain,resolved,0
2008,398,3101,dga,certain,resolved,0
2008,398,3820,dga,certain,ambiguous,1
2008,398,5076,unspecified,certain,resolved,0
2008,398,5083,dga,certain,ambiguous,1
2008,399,4300,dg,certain,resolved,0
2008,401,4577,pdg,probable,resolved,1
2008,403,3131,pdg,certain,resolved,0
2008,403,4644,dga,certain,resolved,0
2008,405,3209,administrateur,probable,resolved,0
2008,406,4365,administrateur,certain,resolved,0
2008,407,4365,administrateur|pdg,certain,resolved,0
2008,413,2966,pdg,certain,resolved,0
2008,413,4831,administrateur|pdg,certain,resolved,0
2008,415,2966,administrateur,certain,resolved,0
2008,415,4831,administrateur,certain,resolved,0
2008,419,4831,administrateur,certain,resolved,0
2008,424,4738,gerant,probable,ambiguous,1
2008,426,2593,gerant,certain,resolved,0
2008,427,3975,gerant,certain,resolved,0
2008,427,4658,gerant,certain,resolved,0
2008,427,5147,dg,certain,resolved,0
2008,428,5147,president_ca,certain,resolved,0
2008,432,2937,cogerant,certain,resolved,0
2008,434,4024,gerant,probable,resolved,1
2008,439,2995,administrateur,probable,resolved,0
2008,440,2995,administrateur|pdg,probable,resolved,0
