vertex_id,node_id,label,mode,node_type,is_seed,label_suspect
1,PERSON_ABASI_KHALED,KHALED ABASSI,1,PERSON,1,0
2,PERSON_ABASI_RAFIK,RAFIK ABASSI,1,PERSON,1,0
3,PERSON_ABASI_SLAHEDINE,SLAHEDDINE ABBASSI,1,PERSON,1,0
4,PERSON_ABAS_CHIRAZ,CHIRAZ ABBAS,1,PERSON,1,0
5,PERSON_ABAS_FERID,FERID ABBAS,1,PERSON,1,0
6,PERSON_ABAS_HAMADI,HAMMADI ABBAS,1,PERSON,1,0
7,PERSON_ABAS_MYRIAM,MYRIAM ABBAS,1,PERSON,1,0
8,PERSON_ABAS_SADEREDINE,SADERREDINE ABBAS,1,PERSON,1,0
9,PERSON_ABAS_SADREDINE,SADREDDINE ABBAS,1,PERSON,1,0
10,PERSON_ABDALAH_ALIA,ALIA ABDALLAH,1,PERSON,1,0
11,PERSON_ABDALAH_MOHAMED,MOHAMED ABDALLAH,1,PERSON,1,0
12,PERSON_ABDALAH_MOHAMED_ERKIKI,MOHAMED ERKIKI ABDALLAH,1,PERSON,1,0
13,PERSON_ABDELAOUI_ABDALAH,ABDALLAH ABDELLAOUI,1,PERSON,1,0
14,PERSON_ABDELHANEN_ALA,ALA ABDELHANNEN,1,PERSON,1,0
15,PERSON_ABDELI_ABIR,ABIR ABDELLI,1,PERSON,1,0
16,PERSON_ABDELJAOUED_MOHAMED,MOHAMED ABDELJAOUED,1,PERSON,1,0
17,PERSON_ABDELKEBIR_MUSTAPHA,MUSTAPHA ABDELKEBIR,1,PERSON,1,0
18,PERSON_ABDELKEFI_AHMED,AHMED ABDELKEFI,1,PERSON,1,0
19,PERSON_ABDELKEFI_FADHEL,FADHEL ABDELKEFI,1,PERSON,1,0
20,PERSON_ABDELKEFI_MOHAMED_FADHEL,MOHAMED FADHEL ABDELKEFI,1,PERSON,1,0
21,PERSON_ABDELMALEK_BAHA_BARSOUM,BAHA BARSOUM ABDELMALEK,1,PERSON,1,0
22,PERSON_ABDELMOULA_MONCEF,MONCEF ABDELMOULA,1,PERSON,1,0
23,PERSON_ABDELMOUMEN_HEDI,HEDI ABDELMOUMEN,1,PERSON,1,0
24,PERSON_ABDENADHER_ADEL,ADEL ABDENNADHER,1,PERSON,1,0
25,PERSON_ABDENADHER_AHMED,AHMED ABDENNADHER,1,PERSON,1,0
26,PERSON_ABDENADHER_ALI,ALI ABDENNADHER,1,PERSON,1,0
27,PERSON_ABDENADHER_AMEUR,AMEUR ABDENNADHER,1,PERSON,1,0
28,PERSON_ABDENADHER_AMIL,AMIL ABDENNADHER,1,PERSON,1,0
29,PERSON_ABDENADHER_ANAS,ANAS ABDENNADHER,1,PERSON,1,0
30,PERSON_ABDENADHER_CHOKRI,CHOKRI ABDENNADHER,1,PERSON,1,0
31,PERSON_ABDENADHER_EMNA,EMNA ABDENNADHER,1,PERSON,1,0
32,PERSON_ABDENADHER_EZEDINE,EZZEDDINE ABDENNADHER,1,PERSON,1,0
33,PERSON_ABDENADHER_FATMA_BOUALI,FATMA BOUALI ABDENNADHER,1,PERSON,1,0
34,PERSON_ABDENADHER_HAJEUR_DAMAK,HAJEUR DAMMAK ABDENNADHER,1,PERSON,1,0
