family_a,family_b,marriages
Bey,Hayder,10
Bey,Gara,7
Bey,Kahia,7
Bey,Cherif,5
Bey,Khaznadar,5
Cherif,Riahi,5
Makhlouf,Mrad,5
Bey,Darghouth,4
Bey,Lahbib,4
Bey,Zakkaria,4
Gastli,Lassoued,4
Gastli,Mghirbi,4
Makhlouf,Miled,4
Mrad,Zidi,4
Ahmed,Larguèche,3
Almi,Hentati,3
Alouini,Fourati,3
Amer,Bahroun,3
Amor,Mrad,3
Atallah,Mrabet,3
Ayed,Kourda,3
Azzouz,Bey,3
Baraket,Mouaffak,3
Bey,Khodja,3
Bouhadra,Mahmoud,3
Chaari,Hemriti,3
Chaari,Mahjoub,3
Chaari,Mrad,3
Chahtour,Hemriti,3
Chelaifa,Romdhane,3
Cherif,Zaafrani,3
Ezzine,Jazi,3
Farah,Zbouna,3
Harzallah,Laouiti,3
Miled,Mrad,3
Abassi,Bey,2
Abdallah,Chaouachi,2
Abdallah,Redissi,2
Abdeljaoued,Fehri,2
Abdelkafi,Salah,2
Abdelli,Mlouka,2
Abdelmoumen,Naji,2
Achour,Bacha,2
Achour,Mrad,2
Ahmed,Haddad,2
Aissaoui,Ennigrou,2
Akrout,Kallel,2
Ali,Maamouri,2
Alouini,Atallah,2
Amara,Majdoub,2
Ammar,Bouderbala,2
Ammar,Brahim,2
Ammar,Errais,2
Ammar,Hachaichi,2
Ammar,Sedrine,2
Ammar,Yedder,2
Amor,Chaari,2
Amor,Gueddiche,2
Amor,Zidi,2
Ariguib,Kebir,2
Atallah,Fourati,2
Ayadi,Djilani,2
Ayari,Darghouth,2
Ayari,Kotrane,2
Ayed,Salah,2
Azzouz,Zarrouk,2
Baccouche,Cherif,2
Bahri,Darghouth,2
Bahroun,Ezzine,2
Bahroun,Jazi,2
Bahroun,Mghirbi,2
Bahroun,Slama,2
Balti,Belochi,2
Basti,Saiji,2
Beji,Mabrouk,2
Belhadj,Trabelsi,2
Belhouane,Sfar,2
Belkadhi,Darghouth,2
Belkhodja,Mamlouk,2
Bellamine,Darghouth,2
Bellamine,Hentati,2
Benjabr,Sghaier,2
Berraiess,Bey,2
Berrim,Boukardougha,2
Berrim,Mzoughi,2
Bessaies,Takali,2
Bey,Chaker,2
Bey,Fakhfakh,2
Bey,Fatima,2
Bey,Hachaichi,2
Bey,Haddad,2
Bey,Hassoumi,2
Bey,Lajimi,2
Bey,Mamlouk,2
Bey,Maria,2
Bey,Messaadi,2
Bey,Radhouane,2
Bey,Sabbagh,2
Bey,Zarrouk,2
Bey,Zouaoui,2
Blaiech,Trabelsi,2
Bornaz,Larguèche,2
Bouaissi,Tabka,2
Boukef,Jaafar,2
Bouraoui,Said,2
Bousnina,Thabet,2
Boutiba,Chaouch,2
Chaari,Hmida,2
Chaari,Miled,2
Chadou,Mahmoud,2
Chaouch,Sfar,2
Charrad,Mrad,2
Chebil,Hayder,2
Chebil,Mouaffak,2
Chedli,Gharbi,2
Chelaifa,Zardoumi,2
Chelbi,Khaznadar,2
Cherif,Darghouth,2
Cherif,Halouani,2
Cherif,Mrad,2
Cherif,Rejab,2
Cherif,Troudi,2
Cherifa,Ouahchi,2
Cherifa,Zbidi,2
Chiboub,Zid,2
Chtioui,Driss,2
Darghouth,Dziri,2
Darghouth,Hentati,2
Darghouth,Kahia,2
Dhiaf,Djait,2
Djilani,Karoui,2
Dziri,Mrabet,2
Dziri,Sahli,2
Elloumi,Naji,2
Ennigrou,Karoui,2
Ennigrou,Lakhoua,2
Ennigrou,Larbi,2
Errais,Maamer,2
Essaidi,Hanafi,2
Essid,Mbarek,2
Essid,Osman,2
Ettabaa,Osman,2
Euch,Lasram,2
Ezzine,Mbarek,2
Ezzine,Mghirbi,2
Ezzine,Zitouna,2
Fallah,Khalsi,2
Fayache,Lamine,2
Fayache,Mabrouk,2
Fedhila,Zaafrani,2
Ferchiou,Yahia,2
Fourati,Kaddour,2
Gastli,Khaddar,2
Ghachem,Hedda,2
Gharbi,Zid,2
Ghariani,Guellouz,2
Gmach,Guiga,2
Gueddiche,Hemriti,2
Gueddiche,Miled,2
Guiga,Hchim,2
Hachaichi,Jaafar,2
Hamouda,Jaouada,2
Hanachi,Mahmoud,2
Hanafi,Zehani,2
Hassouna,Redissi,2
Hechmi,Zarraa,2
Hemriti,Hmida,2
Hentati,Kallel,2
Hentati,Mziou,2
Hicheri,Osman,2
Jaafar,Katlane,2
Jemaa,Mamlouk,2
Jemail,Klibi,2
Kacem,Osman,2
Kahia,Kooli,2
Kalfat,Mlouka,2
Kamoun,Mziou,2
Karoui,Khessaïri,2
Karoui,Meddeb,2
Katlane,Temimi,2
Khachlouf,Mrad,2
Khalfet,Yedder,2
Khayati,Lazrak,2
Khelil,Mrad,2
Kriaa,Siala,2
Lamine,Trad,2
Langar,Mrad,2
Maamouri,Marzoug,2
Maamouri,Mrabet,2
Maamouri,Zitouna,2
Mahjoub,Trabelsi,2
Makhlouf,Slimen,2
Makhlouf,Zidi,2
Makni,Mrad,2
Materi,Toumi,2
Miled,Saada,2
Miled,Zidi,2
Mouaffak,Saighi,2
Mouaffak,Torjemane,2
Mrabet,Zouabi,2
Mrad,Ouertani,2
Mrad,Sarsar,2
Naas,Robbana,2
Selmene,Younes,2
Slamia,Zouiten,2
Aba,Bouslama,1
Abarkan,Hochlef,1
Abassi,Charfi,1
Abassi,Cherif,1
Abassi,Dhiafat,1
Abassi,Hayder,1
Abassi,Herbin,1
Abassi,Jerad,1
Abassi,Kallel,1
Abassi,Khessaïri,1
Abassi,Mamoghli,1
Abassi,Touzani,1
Abassi,Zakour,1
Abbar,Asmi,1
Abbas,Fennira,1
Abbassi,Bouthour,1
Abbassi,Cherif,1
Abbassi,Karoui,1
Abbassi,Ouahchi,1
Abbes,Blaiech,1
Abbes,Nouira,1
Abbes,Osman,1
Abbou,Bey,1
Abbou,Okbi,1
Abbou,Tekaya,1
Abda,Mrabet,1
Abda,Zitouna,1
Abdallah,Azzouz,1
Abdallah,Bessaidi,1
Abdallah,Bey,1
Abdallah,Bostangi,1
Abdallah,Bouthour,1
Abdallah,Chelbi,1
Abdallah,Cherif,1
Abdallah,Chérif,1
Abdallah,Ennigrou,1
Abdallah,Fahoum,1
Abdallah,Garland,1
Abdallah,Gobrane,1
Abdallah,Hlel,1
Abdallah,Jamel,1
Abdallah,Kassar,1
Abdallah,Krid,1
Abdallah,Lahbib,1
Abdallah,Lakhoua,1
Abdallah,Mabrouk,1
Abdallah,Mokdad,1
Abdallah,Nacer,1
Abdallah,Osman,1
Abdallah,Salah,1
Abdallah,Slama,1
Abdallah,Soudani,1
Abdallah,Talbi,1
Abdallah,Zakiz,1
Abdelaali,Rebai,1
Abdelfatteh,Mrad,1
Abdelghani,Allal,1
Abdelghani,Ellouze,1
Abdelhak,Guebila,1
Abdelhalim,Kadın,1
Abdelhedi,Glenza,1
Abdeljaouad,Boujemaa,1
Abdeljaoued,Ateb,1
Abdeljaoued,Balanche,1
Abdeljaoued,Chaabane,1
Abdeljaoued,Drira,1
Abdeljaoued,Gmati,1
Abdeljaoued,Guéry,1
Abdeljaoued,Hamza,1
Abdeljaoued,Krichen,1
Abdeljaoued,Lakhoua,1
Abdeljaoued,Malek,1
Abdeljaoued,Mlaiki,1
Abdeljaoued,Msaed,1
Abdeljaoued,Mzali,1
Abdeljaoued,Saadaoui,1
Abdeljaoued,Sakli,1
Abdeljawad,Amor,1
Abdelkader,Tnani,1
Abdelkafi,Belhouane,1
Abdelkafi,Cheikh,1
Abdelkafi,Lasram,1
Abdelkafi,Maaouia,1
Abdelkafi,Romdhane,1
Abdelkafi,Smida,1
Abdelkafi,Zbidi,1
Abdelkafi,Zghal,1
Abdelkrim,Siala,1
Abdelli,Essebsi,1
Abdelli,Mabrouk,1
Abdelli,Othman,1
Abdelmoula,Bahroun,1
Abdelmoula,Belkhodja,1
Abdelmoula,Bouraoui,1
Abdelmoula,Bouslama,1
Abdelmoula,Ezzine,1
Abdelmoula,Gastli,1
Abdelmoula,Karma,1
Abdelmoula,Ketari,1
Abdelmoula,Kort,1
Abdelmoula,Labbane,1
Abdelmoula,Ladjimi,1
Abdelmoula,Louati,1
Abdelmoula,Messaadi,1
Abdelmoula,Milazzo,1
Abdelmoula,Moula,1
Abdelmoula,Ounis,1
Abdelmoula,Rekik,1
Abdelmoula,Sellami,1
Abdelmoula,Youssef,1
Abdelmoumen,Ateb,1
Abdelmoumen,Khamassi,1
Abdelmoumen,Omrane,1
Abdelmoumen,Oueslati,1
Abdelmoumen,Oukhay,1
Abdelmoumen,ناجي,1
Abdelwahab,Ghariani,1
Abdelwahab,Mourali,1
Abdelwahab,Okbi,1
Abdelwahab,Tamzali,1
Abdennabi,Chaouch,1
Abdennabi,Laatar,1
Abdennabi,Néji,1
Abdennabi,Skander,1
Abdennebi,Belkadhi,1
Abdennebi,Bessrour,1
Abdennebi,Brahem,1
Abdennebi,Ezzeddine,1
Abdennebi,Hayder,1
Abdennebi,Kallel,1
Abdennebi,Khil,1
Abdennebi,Mersni,1
Abdennebi,Néji,1
Abdennebi,Pellé,1
Abderrahim,Azzouz,1
Abderrazak,Bahi,1
Abderrazak,Belochi,1
Abderrazak,Bey,1
Abdessamad,Zid,1
Abdessatar,Bahi,1
Abdessatar,Osman,1
Abdulhay,Mechri,1
Abed,Assia,1
Abed,Badssi,1
Abed,Chahmi,1
Abed,Gaigi,1
Abed,Hadid,1
Abed,Kechiche,1
Abed,Kolsi,1
Abed,Maaref,1
Abed,Mghirbi,1
Abed,Redissi,1
Abed,Stambouli,1
Abid,Allal,1
Abid,Bouassida,1
Abid,Bouguerra,1
Abid,Bouraoui,1
Abid,Daoudi,1
Abid,Essaidi,1
Abid,Farah,1
Abid,Gargouri,1
Abid,Ghalia,1
Abid,Gorgi,1
Abid,Hachicha,1
Abid,Jamoussi,1
Abid,Kammoun,1
Abid,Katlane,1
Abid,Khemiri,1
Abid,Klibi,1
Abid,Kourda,1
Abid,Masmoudi,1
Abid,Mrad,1
Abid,Rachdi,1
Abid,Siala,1
Abid,Stambouli,1
Abid,Trabelsi,1
Abid,Triki,1
Abid,Zouhir,1
Abidine,Ghachem,1
Abittan,Bey,1
Abla,Asli,1
Accacha,Adamenko,1
Accacha,Bouchoucha,1
Accacha,Haddad,1
Accacha,Jegham,1
Accacha,Mahmoudi,1
Ach,Karoui,1
Ach,Khedim,1
Ach,Othman,1
Achour,Ammar,1
Achour,Azzouz,1
Achour,Belkhiria,1
Achour,Denguezli,1
