family_a,family_b,period,marriages,marriages_cumulative,first_period
Bey,Charni,1675,1,1,1675
Bey,Khodja,1675,1,1,1675
Bey,Mesrati,1675,1,1,1675
Bey,Meticha,1675,1,1,1675
Hosni,Turki,1675,1,1,1675
Bey,Fatima,1700,2,2,1700
Bey,Halima,1700,1,1,1700
Bey,Kolli,1725,1,1,1725
Bey,Neqch,1725,1,1,1725
Bey,Zouaoui,1725,1,1,1725
Agha,Bey,1750,1,1,1750
Amena,Ammar,1750,1,1,1750
Ayed,Gharbi,1750,1,1,1750
Bey,Ettabaa,1750,1,1,1750
Bey,Khodja,1750,1,2,1675
Bey,Khoudja,1750,1,1,1750
Bey,Zarrouk,1750,1,1,1750
Bey,Zekri,1750,1,1,1750
Dhiaf,Djait,1750,1,1,1750
Ghiggino,Vignale,1750,1,1,1750
Hanafi,Hentati,1750,1,1,1750
Hentati,Zakour,1750,1,1,1750
Ammar,Hassine,1775,1,1,1775
Ayari,Belkadhi,1775,1,1,1775
Bahroun,Fakher,1775,1,1,1775
Benzarti,Gharbi,1775,1,1,1775
Bey,Kabani,1775,1,1,1775
Bey,Osman,1775,1,1,1775
Chennoufi,Hentati,1775,1,1,1775
Darghouth,Hachaichi,1775,1,1,1775
Ennaifer,Essoussi,1775,1,1,1775
Ennaifer,Jaouada,1775,1,1,1775
Ezzine,Zaghlet,1775,1,1,1775
Gaeta,Sanna,1775,1,1,1775
Gaigi,Laamari,1775,1,1,1775
Gharbi,Jelassi,1775,1,1,1775
Kahia,Sunni,1775,1,1,1775
Karaborni,Lasram,1775,1,1,1775
Khayati,Lazrak,1775,1,1,1775
Khoudja,Rebia,1775,1,1,1775
Raffo,Vignale,1775,1,1,1775
Amer,Bahroun,1800,1,1,1800
Amor,Dhiaf,1800,1,1,1800
Benbène,Bey,1800,1,1,1800
Benzarti,Chelbi,1800,1,1,1800
Benzarti,Turki,1800,1,1,1800
Bey,Kmar,1800,1,1,1800
Bey,Mahbouba,1800,1,1,1800
Bey,Mamlouk,1800,1,1,1800
Bey,Rachid,1800,1,1,1800
Bouattour,Krichen,1800,1,1,1800
Chouaieb,Turki,1800,1,1,1800
Cornegliano,Raffo,1800,1,1,1800
Dhiaf,Djait,1800,1,2,1750
Dhiaf,Fatma,1800,1,1,1800
Dhiaf,Jawhara,1800,1,1,1800
Ezzine,Mghirbi,1800,1,1,1800
Gaigi,Souad,1800,1,1,1800
Gamba,Mascaro,1800,1,1,1800
Jaafar,Lakhoua,1800,1,1,1800
Khayati,Lazrak,1800,1,2,1775
Meherzi,Mlouka,1800,1,1,1800
Abda,Zitouna,1825,1,1,1825
Abdallah,Osman,1825,1,1,1825
Abdelhalim,Kadın,1825,1,1,1825
Agha,Farhat,1825,1,1,1825
Almi,Hentati,1825,1,1,1825
Amer,Bahroun,1825,1,2,1800
Amer,Maamouri,1825,1,1,1825
Amer,Sghaier,1825,1,1,1825
Ammar,Hachaichi,1825,1,1,1825
Attia,Romdhane,1825,1,1,1825
Ayed,Osman,1825,1,1,1825
Bahram,Djilani,1825,1,1,1825
Bahroun,Ezzine,1825,2,2,1825
Bahroun,Slama,1825,1,1,1825
Baktache,Yahia,1825,1,1,1825
Bekir,Osman,1825,1,1,1825
Bey,Kahia,1825,1,1,1825
Bey,Khodja,1825,1,3,1675
Bokri,Yehia,1825,1,1,1825
Bouhachem,M'rad,1825,1,1,1825
Chaker,Hayouni,1825,1,1,1825
Charrad,Zidi,1825,1,1,1825
Darghouth,Slimani,1825,1,1,1825
Ennouri,Ghafari,1825,1,1,1825
Ferida,Raffo,1825,1,1,1825
Gaeta,Saccoman,1825,1,1,1825
Gaigi,Mnara,1825,1,1,1825
Gana,Oghbi,1825,1,1,1825
Ghariani,Jeljeli,1825,1,1,1825
Hayouni,Mekadmini,1825,1,1,1825
Hussein,Mohsen,1825,1,1,1825
Jean-Baptiste,Mascaro,1825,1,1,1825
Jihan,Kahia,1825,1,1,1825
Khayati,Mbarek,1825,1,1,1825
Khayati,Mghirbi,1825,1,1,1825
Mascaro,Nicolas,1825,1,1,1825
Snène,Zaouali,1825,1,1,1825
Ahmed,Larguèche,1850,1,1,1850
Ali,Maamouri,1850,1,1,1850
Almi,Bellamine,1850,1,1,1850
Almi,Daly,1850,1,1,1850
Almi,Hentati,1850,2,3,1825
Amer,Bahroun,1850,1,3,1800
Ammar,Brahim,1850,1,1,1850
Ammar,Hachaichi,1850,1,2,1825
Amor,Anoun,1850,1,1,1850
Amor,Zidi,1850,1,1,1850
Arous,Zaouche,1850,1,1,1850
Ayeb,Ayoub,1850,1,1,1850
Ayeb,Chaouch,1850,1,1,1850
Ayeb,Mrad,1850,1,1,1850
