period,new_marriages,new_alliances,new_families,window_complete,families,alliances,mean_degree,largest_component,share_in_lcc,clustering,clustering_vs_random,clustering_vs_degree_null,centralization,centralization_vs_random,top_family,top_family_allies,top_family_share,endogamous_marriages,endogamy_rate,w_families,w_alliances,w_mean_degree,w_largest_component,w_share_in_lcc,w_clustering,w_clustering_vs_random,w_clustering_vs_degree_null,w_centralization,w_centralization_vs_random,w_top_family,w_top_family_allies,w_top_family_share
1775,19,19,29,1,57,40,1.404,18,0.316,0.0,0.0,,0.2701,5.04,Bey,16,0.286,2,0.095,35,19,1.086,3,0.086,0.0,0.0,,0.0285,0.4,Gharbi,2,0.059
1800,21,20,22,1,79,59,1.494,23,0.291,0.0,0.0,,0.2566,5.56,Bey,21,0.269,4,0.16,33,21,1.273,6,0.182,0.0,0.0,,0.124,1.39,Bey,5,0.156
1825,38,36,44,1,123,94,1.528,37,0.301,0.0,0.0,,0.1706,5.43,Bey,22,0.18,5,0.116,63,37,1.175,6,0.095,0.0,0.0,,0.0304,0.58,Osman,3,0.048
1850,77,70,87,1,210,164,1.562,74,0.352,0.0063,0.61,0.74,0.1181,5.51,Bey,26,0.124,6,0.072,116,73,1.259,10,0.086,0.0,0.0,,0.0243,0.76,Bey,4,0.035
1875,224,204,190,1,400,368,1.84,236,0.59,0.0254,5.21,2.1,0.0911,7.44,Bey,38,0.095,19,0.078,268,212,1.582,86,0.321,0.0,0.0,,0.0431,2.5,Bey,13,0.049
1900,551,493,325,1,725,861,2.375,619,0.854,0.031,8.59,2.28,0.0604,7.12,Bey,46,0.064,42,0.071,529,517,1.955,380,0.718,0.0156,5.52,2.25,0.0362,3.67,Mrad,21,0.04
1925,1116,1023,490,1,1215,1883,3.1,1136,0.935,0.0228,10.2,1.37,0.0767,12.81,Bey,96,0.079,63,0.053,873,1073,2.458,789,0.904,0.0111,5.01,1.0,0.0627,8.67,Bey,57,0.065
1950,861,803,273,1,1488,2685,3.609,1434,0.964,0.0207,8.73,1.01,0.0986,18.55,Bey,150,0.101,16,0.018,737,850,2.307,661,0.897,0.0053,1.63,0.47,0.08,10.22,Bey,61,0.083
1975,391,380,151,1,1639,3065,3.74,1588,0.969,0.0207,10.09,0.98,0.0943,19.63,Bey,158,0.096,6,0.015,463,387,1.672,162,0.35,0.0,0.0,,0.0246,2.15,Mahjoub,13,0.028
2000,40,38,13,0,1652,3103,3.757,1601,0.969,0.0207,10.08,0.97,0.0935,19.3,Bey,158,0.096,7,0.149,51,39,1.529,11,0.216,0.06,1.99,6.67,0.1139,1.75,Moussa,7,0.14
2025,10,9,2,0,1654,3112,3.763,1603,0.969,0.0208,9.56,1.0,0.0934,19.19,Bey,158,0.096,0,0.0,12,10,1.667,10,0.833,0.0,0.0,,0.3636,1.72,Mrabet,5,0.455
