family,people,marriages,allies,endogamous
Bey,664,218,160,18
Mrad,360,117,95,4
Cherif,375,96,80,3
Ammar,416,66,60,0
Darghouth,191,53,42,2
Miled,315,51,42,1
Youssef,181,49,49,2
Romdhane,146,49,47,4
Mahjoub,168,48,45,3
Ayed,198,41,38,20
Gaigi,115,38,38,0
Amor,87,38,33,1
Trabelsi,107,36,33,0
Hayder,81,36,26,1
Bahri,234,34,33,0
Mrabet,153,33,28,3
Osman,85,33,29,1
Abdallah,221,31,29,0
Mahmoud,208,31,27,0
Ali,83,31,30,0
Fourati,90,30,26,1
Hachaichi,118,29,26,2
Karoui,113,29,25,1
Ennigrou,58,29,25,2
Chaabane,152,28,28,0
Bouraoui,57,28,27,1
Hentati,52,28,22,1
Lasram,240,27,26,1
Meddeb,148,27,26,1
Mlouka,77,27,25,2
Belkadhi,148,26,25,2
Zarrouk,115,26,24,0
Ghariani,110,26,25,1
Gharbi,106,26,24,1
Tnani,91,26,26,0
Abid,73,25,25,0
Chaari,47,25,16,0
Slama,104,24,23,1
Othman,97,24,24,1
Lakhoua,346,23,22,4
Riahi,159,23,19,0
Essebsi,91,23,23,0
Ezzine,68,23,17,3
Bahroun,56,23,17,0
Mghirbi,54,23,18,0
Meherzi,188,22,22,0
Jaafar,160,22,19,0
Temimi,90,22,21,0
Klibi,74,22,21,2
Kallel,48,22,20,0
Essid,41,22,20,0
Farah,201,21,19,1
Kahia,107,21,13,4
Chedli,56,21,20,2
Maamouri,46,21,17,1
Stambouli,44,21,21,0
Belkhodja,438,20,19,0
Ennaifer,308,20,20,0
Chelbi,124,20,19,0
Gastli,44,20,13,0
Hemriti,33,20,14,1
Kamel,99,19,19,0
Salem,98,19,19,0
Yedder,95,19,17,1
Bellamine,89,19,17,3
Yahia,59,19,18,0
Dziri,54,19,16,0
Abdelmoula,44,19,19,0
Makhlouf,40,19,10,0
Ghachem,171,18,17,5
Hanachi,98,18,17,1
Zaafrani,90,18,15,0
Salah,82,18,16,4
Bennani,79,18,18,0
Kacem,73,18,17,1
Mouaffak,67,18,13,1
Chaouch,64,18,16,0
Zakour,63,18,18,0
Almi,62,18,16,0
Djemali,41,18,18,0
Elloumi,40,18,17,0
Zid,37,18,16,0
Jaouada,32,18,17,0
Lamine,31,18,16,1
Slamia,29,18,17,0
Achour,166,17,15,1
Sfar,108,17,15,0
Turki,103,17,17,0
Aissa,92,17,17,0
Bahi,91,17,17,0
Hamza,88,17,17,0
Mamlouk,82,17,14,0
Siala,79,17,16,1
Sedrine,77,17,16,0
Kassar,72,17,17,3
Abdeljaoued,49,17,16,0
Zitouna,29,17,15,0
Annabi,106,16,16,0
Hamba,97,16,16,0
Errais,42,16,14,1
Chebil,39,16,14,0
Alouini,28,16,13,1
Khaddar,27,16,15,0
Zbouna,26,16,14,0
Troudi,23,16,15,0
Mustapha,105,15,15,0
Hamida,98,15,15,0
Mami,95,15,15,1
Moussa,54,15,15,1
Gorgi,43,15,15,1
Slimane,43,15,15,0
Chamari,41,15,15,0
Gara,28,15,9,0
Mziou,27,15,13,0
Kchouk,144,14,14,0
Attia,129,14,14,0
Azzouz,103,14,11,0
Ahmed,68,14,11,0
Ladjimi,61,14,14,0
Torjemane,48,14,13,0
Belhouane,41,14,13,0
Rejab,41,14,13,0
Djilani,36,14,12,0
Belhadj,32,14,13,0
Zidi,24,14,8,0
Baïram,117,13,13,0
Snoussi,101,13,13,0
Ezzeddine,100,13,13,0
Saada,87,13,12,0
Ettabaa,72,13,12,0
Haddad,67,13,11,0
Triki,59,13,13,0
Mabrouk,58,13,11,0
Abassi,51,13,12,0
Jemaa,46,13,12,0
Kamoun,46,13,12,0
Dhiaf,41,13,12,0
Amara,34,13,12,0
Turkia,30,13,13,1
Chiboub,29,13,12,0
Hachicha,28,13,13,0
Bouslama,25,13,13,0
Khouini,24,13,13,0
Kechrid,20,13,13,1
Majoul,283,12,12,0
Mestiri,267,12,12,1
Jaziri,123,12,12,0
Farhat,113,12,12,0
Mousli,71,12,12,1
Cheikh,68,12,12,0
Azouz,62,12,12,0
Chamakh,49,12,12,0
Hafsia,47,12,12,0
Khaznadar,41,12,7,0
Kriaa,35,12,11,0
Katlane,23,12,10,0
Jelili,19,12,12,0
Malouche,19,12,12,0
Chahed,193,11,11,0
Materi,105,11,10,0
Fayache,72,11,9,0
Bouhejba,63,11,11,0
Blaiech,61,11,10,0
Khouaja,49,11,11,0
Bacha,46,11,10,0
Kaddour,46,11,10,1
Toumi,45,11,10,0
Baoueb,43,11,11,0
Ismail,37,11,11,1
Tebourbi,37,11,11,0
Khouja,36,11,11,0
Ayadi,35,11,10,0
Ghattas,35,11,11,1
Driss,31,11,10,0
Ouertani,31,11,10,0
Bennour,29,11,11,0
Esseghir,28,11,11,0
Touzani,26,11,11,0
Dimassi,25,11,11,0
Marsaoui,22,11,11,0
Boufares,19,11,11,1
Guebila,19,11,11,0
Abed,16,11,11,0
Larbi,15,11,10,0
Baccouche,114,10,9,2
Mansour,92,10,10,0
Zouari,61,10,10,0
Gmati,59,10,10,0
Lassoued,54,10,7,0
Hached,46,10,10,0
Abdelkafi,45,10,9,0
Boujemaa,41,10,10,0
Larguèche,36,10,7,1
Boudabbous,35,10,10,0
Doghri,31,10,10,2
Gargouri,28,10,10,0
Khemiri,28,10,10,0
Sahli,27,10,9,0
Guiga,26,10,8,0
Abdennebi,24,10,10,0
Kotrane,21,10,9,2
Atallah,20,10,6,0
Gueddiche,20,10,7,0
Jazi,18,10,7,0
Selmene,17,10,9,0
Hantous,15,10,10,1
Asli,11,10,10,0
Rassaa,214,9,9,0
Mokaddem,131,9,9,0
Naji,78,9,7,0
Belochi,56,9,8,3
Maaouia,51,9,9,0
Brahim,43,9,8,0
Ayari,41,9,7,0
Memmi,39,9,9,0
Ati,37,9,9,0
Chedly,37,9,9,0
Fekih,36,9,9,0
Robbana,35,9,8,0
Sassi,34,9,9,0
Zakkaria,33,9,6,1
Chtioui,32,9,8,0
Dridi,31,9,9,0
Aissaoui,27,9,8,0
Fallah,27,9,8,0
Gordah,27,9,9,0
Mbarek,25,9,7,0
Hachani,24,9,9,0
Ketari,24,9,9,0
Lahbib,24,9,6,0
May,24,9,9,0
Derouiche,23,9,9,0
Farza,22,9,9,1
Cherifa,20,9,7,0
Khoudja,20,9,9,0
Saad,20,9,9,0
Zouhir,20,9,9,0
Chadou,19,9,8,0
Ouanes,19,9,9,0
Ayoub,18,9,9,0
Maaoui,18,9,9,0
Ghoul,17,9,9,0
Razgallah,16,9,9,0
Sakka,89,8,8,0
Daoud,64,8,8,0
Khelil,62,8,7,0
Belhassine,61,8,8,0
Louzir,56,8,8,0
Bellagha,53,8,8,1
Denguezli,52,8,8,0
Khalsi,51,8,7,0
Akrout,50,8,7,0
Chaouachi,49,8,7,0
Zmerli,49,8,8,0
Hajri,37,8,8,0
Abdelmoumen,35,8,7,1
Mhedhbi,31,8,8,0
Sabbagh,31,8,7,0
Baraket,30,8,6,0
Khelifa,29,8,8,0
Bouthour,28,8,8,0
Chelaifa,28,8,5,0
Mufti,25,8,8,0
Rahal,24,8,8,0
Sbaouelgi,23,8,8,0
Euch,20,8,7,0
Aouij,19,8,8,2
Ghorbel,19,8,8,0
Zafzouf,19,8,8,0
Essafi,17,8,8,0
Hassouna,16,8,7,0
Glenza,15,8,8,0
Boudhina,14,8,8,0
Jegham,13,8,8,0
