issue_uid,collection,language,year,issue,md_url,pdf_url,viewer_url,pdf_size_bytes,http_status,content_type,bytes,sha256,etag_md5,etag_matches_body,n_pages,arabic_char_frac,script_lang,status,local_path,fetched_at,attempts,error
annonces-legales/fr/2004/001,annonces-legales,fr,2004,001,https://ocr.jort.tn/annonces-legales/fr/2004/001.md,https://lake.jort.tn/annonces-legales/fr/2004/001.pdf,https://jort.tn/view/annonces-legales/fr/2004/001,210247,200,text/markdown; charset=utf-8,84449,c989e146a3d16e7612285cb0449fb6f5c9b92cc11f071d80646bcece4bbd343f,"W/""d56b67105c78cad1e234c56403c3fba3",False,16,0.0,fr,ok,data/raw/annonces-legales/fr/2004/001.md,2026-09-12T13:34:31+00:00,1,
annonces-legales/fr/2004/002,annonces-legales,fr,2004,002,https://ocr.jort.tn/annonces-legales/fr/2004/002.md,https://lake.jort.tn/annonces-legales/fr/2004/002.pdf,https://jort.tn/view/annonces-legales/fr/2004/002,1521694,200,text/markdown; charset=utf-8,207397,aa61a98965fcae43c16fcd1dde78cc1860a105a8b25797be5c4ae01430760e2c,"W/""8fd11b16307117a4fbc4d41d328602af",False,44,0.0165,fr,ok,data/raw/annonces-legales/fr/2004/002.md,2026-09-12T13:34:32+00:00,1,
annonces-legales/fr/2004/003,annonces-legales,fr,2004,003,https://ocr.jort.tn/annonces-legales/fr/2004/003.md,https://lake.jort.tn/annonces-legales/fr/2004/003.pdf,https://jort.tn/view/annonces-legales/fr/2004/003,221900,200,text/markdown; charset=utf-8,87538,5e4faaf7d1cd18fdc91d27ab4731bb5de1953b223ded9c7b2689d56f61c51f71,"W/""181eb492e0f34e12776e0de1472a115e",False,16,0.0,fr,ok,data/raw/annonces-legales/fr/2004/003.md,2026-09-12T13:34:32+00:00,1,
annonces-legales/fr/2004/004,annonces-legales,fr,2004,004,https://ocr.jort.tn/annonces-legales/fr/2004/004.md,https://lake.jort.tn/annonces-legales/fr/2004/004.pdf,https://jort.tn/view/annonces-legales/fr/2004/004,478367,200,text/markdown; charset=utf-8,133934,b2e12b341c1e6117155d061b5338768564eb24feaef6bfeb7a10e393d7f8cbad,"W/""b236c37ba7e43f84a0bf2b8cc4000d6b",False,29,0.0,fr,ok,data/raw/annonces-legales/fr/2004/004.md,2026-09-12T13:34:32+00:00,1,
annonces-legales/fr/2004/005,annonces-legales,fr,2004,005,https://ocr.jort.tn/annonces-legales/fr/2004/005.md,https://lake.jort.tn/annonces-legales/fr/2004/005.pdf,https://jort.tn/view/annonces-legales/fr/2004/005,200504,200,text/markdown; charset=utf-8,75333,a225b4b1547c188bc48b798b98bc498a246116cb3f5e994a0b1129da8c67c7fa,"W/""34d17c9f35d5591eaef1cdbfc21a2256",False,16,0.0,fr,ok,data/raw/annonces-legales/fr/2004/005.md,2026-09-12T13:34:31+00:00,1,
annonces-legales/fr/2004/006,annonces-legales,fr,2004,006,https://ocr.jort.tn/annonces-legales/fr/2004/006.md,https://lake.jort.tn/annonces-legales/fr/2004/006.pdf,https://jort.tn/view/annonces-legales/fr/2004/006,196642,200,text/markdown; charset=utf-8,73481,80d374277d3dbf136cf05f7eaf260b052be248ddcd4b0f7e1ca276f233daa97a,"W/""845f158360cedf953e1e977634917059",False,15,0.0,fr,ok,data/raw/annonces-legales/fr/2004/006.md,2026-09-12T13:34:32+00:00,1,
annonces-legales/fr/2004/007,annonces-legales,fr,2004,007,https://ocr.jort.tn/annonces-legales/fr/2004/007.md,https://lake.jort.tn/annonces-legales/fr/2004/007.pdf,https://jort.tn/view/annonces-legales/fr/2004/007,327398,200,text/markdown; charset=utf-8,155547,e79d293f59fa3db1f9c20b1f418aac57411a1b18265b863722d41f127fd94768,"W/""8eff5e3de56a1607dfe00e0ee9ee91e9",False,31,0.0003,fr,ok,data/raw/annonces-legales/fr/2004/007.md,2026-09-12T13:34:32+00:00,1,
annonces-legales/fr/2004/008,annonces-legales,fr,2004,008,https://ocr.jort.tn/annonces-legales/fr/2004/008.md,https://lake.jort.tn/annonces-legales/fr/2004/008.pdf,https://jort.tn/view/annonces-legales/fr/2004/008,339292,200,text/markdown; charset=utf-8,56066,96508c5a9bdab7b5fbf23a2596061227f5d5965afbee2be93d6b3e59cca0dc6d,"W/""eb32be2a181e8212b0b3aef6cbfd2928",False,14,0.0002,fr,ok,data/raw/annonces-legales/fr/2004/008.md,2026-09-12T13:34:32+00:00,1,
annonces-legales/fr/2004/009,annonces-legales,fr,2004,009,https://ocr.jort.tn/annonces-legales/fr/2004/009.md,https://lake.jort.tn/annonces-legales/fr/2004/009.pdf,https://jort.tn/view/annonces-legales/fr/2004/009,202361,200,text/markdown; charset=utf-8,79359,aaf905daa65024a6c5a55a249f58aa4bb4459c7752ce8bfa16246a10fb23bd70,"W/""bf6a3d4365f65d98aff31dcf8eae4ac6",False,16,0.0,fr,ok,data/raw/annonces-legales/fr/2004/009.md,2026-09-12T13:34:32+00:00,1,
annonces-legales/fr/2004/010,annonces-legales,fr,2004,010,https://ocr.jort.tn/annonces-legales/fr/2004/010.md,https://lake.jort.tn/annonces-legales/fr/2004/010.pdf,https://jort.tn/view/annonces-legales/fr/2004/010,182827,200,text/markdown; charset=utf-8,64633,7866aebc2e6b8040423eef2cd4afff6e6641a4c17d71c4b5c8acb583f7b41972,"W/""6a58b19bdc5775b9d586771fc8536caa",False,14,0.0,fr,ok,data/raw/annonces-legales/fr/2004/010.md,2026-09-12T13:34:32+00:00,1,
