page_uid,pdf_page,folio,image_sha256,text_sha256,n_chars,arabic_char_frac,ocr_engine,ocr_version,ocr_config,status,needs_review
aalam:p024,24,22,3e86e3b6edfbfbe5bfacf4d59c7ad3f15c2b482e1808140bc854b1ea8aebb9f2,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,0,0.0,tesseract,tesseract 5.3.4,--psm 6 -l ara native-resolution,empty,yes
aalam:p025,25,23,65eaf05242468d3af6e89a25e252cca55342afdd61d4b8edbd3d7af08496610e,0ed357161ec91b5c00498dc27dfe64d78fe39cada1a1845ccb48ba98f846f7a0,467,0.9634,tesseract,tesseract 5.3.4,--psm 6 -l ara native-resolution,ok,
aalam:p026,26,24,3e86e3b6edfbfbe5bfacf4d59c7ad3f15c2b482e1808140bc854b1ea8aebb9f2,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,0,0.0,tesseract,tesseract 5.3.4,--psm 6 -l ara native-resolution,empty,yes
aalam:p027,27,25,6cdb20526304821fa747c3ace4ed619835646fbb594f080e7cdeb3e77faa0ef4,e9f5e5f6439bb2aea65ca9c8b31953e7b0f4a4d3b17e6595d4fa4f0c70cb093f,791,0.9682,tesseract,tesseract 5.3.4,--psm 6 -l ara native-resolution,ok,
aalam:p028,28,26,e932abc66857de244cc0da08c71d1151c098e2539c0127c95b57d5ac09cdccf6,3674cc6f83d3c00edfdea5839a75438a5e412bb8f3e1c5da15661fd90f5afa2c,1489,0.9642,tesseract,tesseract 5.3.4,--psm 6 -l ara native-resolution,ok,
aalam:p029,29,27,e46eb6e5d6c1bfd9156bc23e3b5e9493479a875dd507f80e8e24425d872c977d,845d52d893164dbb7ebd440fa2c957e905deabca261bdc13789fecadd3e0a234,1439,0.979,tesseract,tesseract 5.3.4,--psm 6 -l ara native-resolution,ok,
aalam:p030,30,28,6b73985255475874a7bea7de329329bf6ed71a997dbedf6dd557d7cebd55bdde,9bf050b50a57ee5e793c1b78fd543f6aa3f77bbc04dce289ae3739d242168ba1,1466,0.9859,tesseract,tesseract 5.3.4,--psm 6 -l ara native-resolution,ok,
aalam:p031,31,29,1739d0c03e63ed3378b98fc1b38f983dae59002a6670c4671e4415f44635e2cd,fed3321fb2c17166d528102ebbb79356ca58809f61ca93cc8d173742df56e879,1416,0.9735,tesseract,tesseract 5.3.4,--psm 6 -l ara native-resolution,ok,
aalam:p032,32,30,8d43a740638c8cadede2a3673f12d87748b004610428dd3f11a9bc32e9fba5d9,008616a23fa5d3f2746e7ebe3010911d6ec39e13356ffdfa8570579764701346,1637,0.9613,tesseract,tesseract 5.3.4,--psm 6 -l ara native-resolution,ok,
aalam:p033,33,31,5fd858addc73cda76891ff455cf963f23168ce63a252169400cad32dec1610c1,b32caad0a1c11ed02ec6696d67406df4bfd29e65c7358df59cc3e3a0d4c7351a,457,0.9812,tesseract,tesseract 5.3.4,--psm 6 -l ara native-resolution,ok,
aalam:p034,34,32,3e86e3b6edfbfbe5bfacf4d59c7ad3f15c2b482e1808140bc854b1ea8aebb9f2,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,0,0.0,tesseract,tesseract 5.3.4,--psm 6 -l ara native-resolution,empty,yes
aalam:p035,35,33,c8dcc9a56b7d9d79b15167223ceaf9895ce7523b0fc4a9135e323209f4af49af,7fb37f42748faf5b9e586af9c28cb5bbca50b7e6b34cc68ee5f8189f4f46a410,932,0.9499,tesseract,tesseract 5.3.4,--psm 6 -l ara native-resolution,ok,
aalam:p036,36,34,3fcc34d0356d04c07834018165411a9ee8edf528937f2e7dee7132f7d8ab1fdf,b2cc5edfcf39c7a9015d645177e57452e1d31916f84efe6f2855cb3c49267fab,1298,0.9666,tesseract,tesseract 5.3.4,--psm 6 -l ara native-resolution,ok,
aalam:p037,37,35,fddcf6e28d91372d8713b422194d761d59ae2870de2cf7169be33c26828c8402,bc74ca242e5a1cb4b1289359193fc69b711c9050ab768dccc73e121690628ae7,1517,0.9797,tesseract,tesseract 5.3.4,--psm 6 -l ara native-resolution,ok,
aalam:p038,38,36,4d21dff299fdddb9b486249a7c950d35b48f38262371b5d53d4ee533f562016b,b99b4f3a2d0f9ce81e805de972a74586adaeddd6390f1e44b5b7ba8f25ab9072,1539,0.9653,tesseract,tesseract 5.3.4,--psm 6 -l ara native-resolution,ok,
aalam:p039,39,37,437d3e8e9015035c2d017f640db8d773a5b315314be48aaae43aed3215c29727,d6bd6e805e57de33f9434e6a5a1a0b4c0a7ea152520dae685bdb55d01ee20cfb,1579,0.9753,tesseract,tesseract 5.3.4,--psm 6 -l ara native-resolution,ok,
aalam:p040,40,38,0e6b8cf3b24339527c395cdb093f9f9d756bc4467ba70818704ea7993436d2c8,7d65f0d3a17aefaaec83de25e267e81e6a1c4c8cb7df871bee77272fb58b2a04,1378,0.9751,tesseract,tesseract 5.3.4,--psm 6 -l ara native-resolution,ok,
aalam:p041,41,39,c4a78f90f343f3251d4d879a1387a593aa85f283c0d7f49061ab1f288bd708cb,17e14949915b9889ec1507e82e8d0375b7eef6deb615d21fa9640378211a24cc,1582,0.983,tesseract,tesseract 5.3.4,--psm 6 -l ara native-resolution,ok,
aalam:p042,42,40,ad45c8ab257a1a743018b3323e00dcc1636e9b90bbd0de74f2070ababe31ba83,828365086bc95531d4edf4e858c3ee55f4ddbb744ea1841f974ec7d3830d5a13,1436,0.9864,tesseract,tesseract 5.3.4,--psm 6 -l ara native-resolution,ok,
aalam:p043,43,41,5698ed5fb8fcad9c35d8f8626aa7d441473d4652e819e6f13fa66f81777893e1,6a6f640f3ff329ab952bb32f2c34017e1e42153297a4bd99c643165a0750b22c,1608,0.984,tesseract,tesseract 5.3.4,--psm 6 -l ara native-resolution,ok,
aalam:p044,44,42,885dee0f9297af5f5c0ca32dbdbb9c4cbf1e6d2835a91e8fb90478c4d8a851b0,70c23d0867183ad36a48bdc7cee03625548cc383fb551e9697992f906e386b23,1524,0.9799,tesseract,tesseract 5.3.4,--psm 6 -l ara native-resolution,ok,
aalam:p045,45,43,8648c9a9a6d9b1fba32a54a359f4204317756c97c2cb10dfa597489bae963d9e,ea963b291e283e4cb3d7b6bf2e7cb3f98edafac53745d0e6a4d03e19e6cebea3,1534,0.9636,tesseract,tesseract 5.3.4,--psm 6 -l ara native-resolution,ok,
aalam:p046,46,44,d0229848ae02f3532db832fba0629871617d5b289bd3c440894b25e669c02879,fff7ae311a03eb4ce55fc45246e646e7a5cc0e7fd7429aa3f60c74a932ca51fa,1529,0.9754,tesseract,tesseract 5.3.4,--psm 6 -l ara native-resolution,ok,
aalam:p047,47,45,ca1e46debf05b780a5a9089e6b61a1991ee997264ce0046b6ef10fd6ab1eda1a,2f0e7620ec70ae22b8919dab1fc4cef40bac4be045b3379f98f05a61b67741c7,1327,0.9759,tesseract,tesseract 5.3.4,--psm 6 -l ara native-resolution,ok,
aalam:p048,48,46,2f936fc877d22e6222a2fd8ed691fa3c311d6a08779890470fcef697bcedb20e,6a81c706248313110d6bef7115f47d61ad5b4e863a1805a61a0909f9f2d4ef9f,1633,0.9742,tesseract,tesseract 5.3.4,--psm 6 -l ara native-resolution,ok,
aalam:p049,49,47,e6a2fae2d0ad0a79aac7c5631f450b81e12c492f7380337f2d05969e9887cf56,08eb7774a87926f6beac5c05631a84263364c853404f868e83761ab8d5942263,1260,0.9741,tesseract,tesseract 5.3.4,--psm 6 -l ara native-resolution,ok,
aalam:p050,50,48,f6a081ea530391285bb4abe3d05cda765c8a619800b1221611e7ae30c3b6cd09,a55b575ff5496b88829ddfe97a197e68ce71d6453251e22f04fdcb46501ce6c6,289,0.966,tesseract,tesseract 5.3.4,--psm 6 -l ara native-resolution,ok,
aalam:p051,51,49,332aa2727092967c076a0b892638e2e42385baebebc74ac6647db130ce4e244b,a4d3a4d44d7b96653b079e8d747902e48e07623a9d3d645f5819025a505e3f56,797,0.9405,tesseract,tesseract 5.3.4,--psm 6 -l ara native-resolution,ok,
aalam:p052,52,50,929c43f33233863b059c138c83479eb3a0885c3b0bc00fb2e33403f2ddfbac4e,e60bf615a9ca549f9df104e230f7d5dbbfbd20513f9eae82cebf8c644b503d4a,1239,0.9772,tesseract,tesseract 5.3.4,--psm 6 -l ara native-resolution,ok,
