rank,node_id,label,draw_class,betweenness,x,y
1,ORGE_1848d66a2c2d056f8915,MINISTERE DE L'ECONOMIE NATIONALE,state,1277702.2,0.0226,0.1205
2,ORGE_ee5dc28a91fbc4865ae8,PRESIDENCE DE LA REPUBLIQUE,state,941437.9,-0.1130,0.0893
3,ORGE_300c0b87ff48325ed67d,MINISTERE DES AFFAIRES ETRANGERES,state,529981.4,-0.0884,0.1141
4,PERSON_MAHJOUB_MOHAMED,MOHAMED MAHJOUB,person,405195.4,-0.0434,-0.1496
5,PERSON_TRABELSI_MOHAMED,MOHAMED TRABELSI,person,372494.9,0.0370,0.0202
6,PERSON_BELKAHIA_FAOUZI,FAOUZI BELKAHIA,person,359078.9,0.2749,-0.0603
7,CO_COMPAGNIE_DASSURANCES_REASSURANCES_ASTREE,COMPAGNIE DASSURANCES ET DE REASSURANCES ASTREE,private,355164.3,0.3649,-0.1140
8,ORGE_849813273f6e4b6b21f4,MINISTERE DE LA COOPERATION INTERNATIONALE ET DE L'INVESTISSEMENT EXTERIEUR,state,344641.0,0.1142,0.0945
9,ORGE_4e26e08fcfe170e39e3b,"MINISTERE DE L'AGRICULTURE, DE L'ENVIRONNEMENT ET DES RESSOURCES HYDRAULIQUES",state,325317.6,0.1398,0.1775
10,ORGE_01827c5560187036f297,MINISTERE DE L'EDUCATION ET DES SCIENCES,state,324600.1,-0.1286,0.0143
11,PERSON_GUERMAZI_MOHAMED,MOHAMED GUERMAZI,person,316430.2,0.4454,-0.1640
12,CO_TUNISIENNE_FILTRES_MISFAT,SOCIETE TUNISIENNE DES FILTRES MISFAT,private,302286.0,0.6659,-0.3041
13,CO_ESSALEM,ESSALEM,private,286357.8,-0.0356,-0.2703
14,PERSON_CHATI_MOHAMED,MOHAMED CHATTI,person,248878.1,-0.1860,0.1588
15,ORGE_85b2d2c8b0a653465457,MINISTERE DE LA CULTURE,state,224434.8,-0.2258,0.1818
16,ORGE_835e9c2776afafad57b3,"MINISTERE DES AFFAIRES SOCIALES,",state,216269.1,-0.1984,0.1008
17,ORGE_efd6871d2d006f46e1a8,MINISTERE DE LA JEUNESSE ET DE L'ENFANCE,state,209147.5,-0.0879,0.0414
18,PERSON_SLAMA_CHIHEBEDINE,CHIHEBEDDINE SLAMA,person,197277.0,0.0100,-0.5567
19,PERSON_BENAYED_ABDELWAHEB,ABDELWAHEB BEN-AYED,person,191393.8,0.3351,0.2270
20,PERSON_ENIGROU_MOHAMED_SAHBI,MOHAMED SAHBI ENNIGROU,person,177755.0,0.7107,-0.3479
