strategy,R_observed,R_null,ratio
betweenness_recalc,0.014553547821900574,0.038169055118905885,0.3812918023923499
degree_recalc,0.016167539432301148,0.03853845200213301,0.4195170950666704
state_first,0.016814714552363972,,
degree,0.016826553121633413,0.03983055924505867,0.4224533483978359
betweenness,0.021743505558208264,0.04520781284740827,0.48096787233658006
orgs_first,0.02508987447170384,,
coreness,0.027311579304602443,,
participation,0.04522333460926805,,
persons_first,0.06939374686771191,,
closeness,0.11003160897994939,,
eigenvector,0.13209080971867612,,
random,0.2571299756520092,0.32444198377375416,0.7925299083096341
