rank,node_id,label,draw_class,betweenness,x,y
1,BLOC_AFEK_TOUNES_LAPPEL_TUNISIENS_A_LETRANGER,AFEK TOUNES ET LAPPEL DES TUNISIENS A LETRANGER,state,1085393.4,-0.7161,0.2499
2,BLOC_ALLEGEANCE_A_PATRIE,ALLEGEANCE A LA PATRIE,state,391370.7,-0.7144,0.2615
3,BLOC_BLOC_AL_HORRA_MOUVEMENT_MACHROUU_TOUNES,BLOC AL-HORRA DU MOUVEMENT MACHROUU TOUNES,state,168385.7,-0.7173,0.2399
4,BLOC_BLOC_AL_MOSTAKBEL,BLOC AL-MOSTAKBEL,state,277582.1,-0.6792,0.2553
5,BLOC_BLOC_COALITION_AL_KARAMA,BLOC COALITION AL-KARAMA,state,1417813.2,-0.8131,0.1380
6,BLOC_BLOC_DEMOCRATE,BLOC DEMOCRATE,state,3051647.0,-0.7156,0.3517
7,BLOC_BLOC_ENNAHDHA,BLOC ENNAHDHA,state,2568308.5,-0.5733,0.5590
8,BLOC_BLOC_NATIONAL,BLOC NATIONAL,state,767539.7,-0.7292,0.2245
9,BLOC_BLOC_PDL,BLOC PDL,state,796771.4,-0.2557,0.8355
10,BLOC_BLOC_QALB_TOUNES,BLOC QALB TOUNES,state,3012735.0,-0.7345,0.2183
11,BLOC_BLOC_REFORME,BLOC DE LA REFORME,state,1391220.8,-0.8305,0.3259
12,BLOC_BLOC_SOCIAL_DEMOCRATE,BLOC SOCIAL DEMOCRATE,state,107683.9,-0.7099,0.3034
13,BLOC_BLOC_TAHYA_TOUNES,BLOC TAHYA TOUNES,state,838516.2,-0.7128,0.2363
14,BLOC_COALITION_NATIONALE,COALITION NATIONALE,state,2409986.4,-0.7161,0.2372
15,CONS_TUNISIA_BUILDING_PARTNERS,TUNISIA BUILDING PARTNERS,private,438235.5,0.6144,-0.5557
16,CO_21_CENTURY_CONSULTING,21 CENTURY CONSULTING,private,5556.6,-0.2308,0.3838
17,CO_2F,SOCIETE 2F,private,0.0,0.3658,0.3491
18,CO_2F_DEVELOPMENT_AND_ENGINEERING,2F DEVELOPMENT AND ENGINEERING,private,0.0,0.3327,0.5776
19,CO_2MHA,SOCIETE 2MHA,private,0.0,-0.9276,-0.1072
20,CO_2M_RASSLENE_COMMERCE,SOCIETE 2M RASSLENE DE COMMERCE,private,0.0,0.4660,-0.7445
21,CO_2PRO_E,2PRO E,private,0.0,-0.5788,-0.7528
22,CO_2_A_TANNING,2 A TANNING,private,0.0,-0.1048,0.0115
23,CO_2_M,SOCIETE 2 M,private,0.0,0.0346,-0.2779
24,CO_2_S_CONSULTING,SOCIETE 2 S CONSULTING,private,0.0,-0.0338,-0.6922
25,CO_3A_CONFECTION,3A CONFECTION,private,0.0,0.5390,-0.1074
26,CO_3A_TS,3A TS,private,0.0,0.1152,-0.7276
27,CO_3C,LES 3C,private,0.0,0.2317,-0.5959
28,CO_3D,3D,private,49349.1,0.5215,-0.5277
29,CO_3D_SOFT,3D SOFT,private,0.0,-0.6495,0.1028
30,CO_3I_MOTION,SOCIETE 3I MOTION,private,0.0,-0.3845,0.3719
31,CO_3M_ELECT,3M ELECT,private,0.0,0.5121,0.6208
32,CO_3S_SICAR,3S SICAR,private,2.3,-0.0434,0.6370
