k,n,n_persons,mean_degree,median,q25,q75,max,n_matched,median_matched,mass,person_share
1,16254,4896,1.2924818506213855,0.0,0.0,0.0,1253826.0,4,383859.0,164153150.0,0.5685494978317505
2,4567,2095,3.561856798773812,28614.70509121144,1928.2833592647196,116350.0,3002099.2455591555,57,584754.704838074,456660160.38860464,0.46900435055717815
3,1389,616,6.419726421886249,75917.44358659154,19158.953474430004,276918.1938123938,6505385.491261707,78,793995.8318728625,314114266.3056149,0.44201767837677436
4,737,282,13.810040705563093,183457.65445853627,51630.09656116911,648538.8086446237,30788448.578790244,112,770422.4890045121,495022401.1385236,0.3682270182147042
5,256,80,21.1484375,330024.6916995871,53017.54951703045,1231498.8967635639,37391018.64160387,65,957497.7971119444,343740756.2809219,0.2076483623305956
6,63,32,15.523809523809524,148969.43022423223,66461.45965629233,473295.7121575395,2858500.707940442,20,384445.69124419114,29029677.333804194,0.7343669494128784
7,8,8,19,55925.5590187924,23272.0,85654.70721838811,4268658.821488816,1,47004.79208102247,6293839.5525296815,1.0
