rank,node_id,label,node_class,draw_class,betweenness,coreness,x,y
16,PERSON_SELAMI_MONCEF,MONCEF SELLAMI,individual,person,7223260.7,4,-0.1410,0.1946
17,PERSON_AMAR_MOHAMED,MOHAMED AMMAR,individual,person,7134437.8,4,-0.3273,-0.5109
18,PERSON_KHALIL_MOHAMED,MOHAMED KHALIL,individual,person,7015180.8,4,0.1499,0.4352
19,CO_STB_SICAR,STB SICAR,company,private,6980256.8,5,-0.0153,-0.2156
20,CO_AMEN_BANK,AMEN BANK,company,private,6762707.7,5,0.1793,-0.3123
21,ORGE_13d479402329385a5642,"ASSOCIATIONS, PARTIS, SYNDICATS ET SYNDICS",association / union,private,6505385.5,3,0.0708,0.5868
22,CO_ENNAKL_AUTOMOBILES,ENNAKL AUTOMOBILES SA,company,private,6402687.4,5,0.2072,-0.1669
23,CO_INTERNATIONAL_SICAR,INTERNATIONAL SICAR,company,private,6252007.8,5,0.2615,0.1616
24,PARTYSTR_NIDAA_TOUNES_PARTYS_EXTENDED_COMMITTEE,NIDAA TOUNES PARTYS EXTENDED COMMITTEE,party / parliamentary bloc,state,6247318.1,4,0.1740,0.3651
25,CO_SICAR_AMEN,SICAR AMEN,company,private,6146508.7,5,0.2791,-0.1911
26,CO_M,SOCIETE M,company,private,6030139.4,4,-0.5413,0.0611
27,PERSON_BENAYED_ABDELWAHEB,ABDELWAHEB BEN-AYED,individual,person,5596206.9,5,0.4642,-0.0512
28,ORG_GROUPE_DIMPULSION_ECONOMIQUE_POUR_PARTENARIAT_FRANCE_TUNISIE,GROUPE DIMPULSION ECONOMIQUE POUR LE PARTENARIAT FRANCE TUNISIE,association / union,private,5461474.3,4,0.2921,-0.0675
29,PERSON_HAMROUNI_ABDELKADER,ABDELKADER HAMROUNI,individual,person,5356152.8,4,0.0764,0.1909
30,CO_PROMOTION_IMMOBILIERE,SOCIETE DE PROMOTION IMMOBILIERE,company,private,5329345.4,4,0.4793,-0.1131
31,CO_MAGASIN_GENERAL,MAGASIN GENERAL,company,private,5042487.6,5,0.2130,-0.2052
32,CO_SIDCO_SICAR,SIDCO SICAR,company,private,4717684.1,5,0.0757,-0.0570
33,CO_ATTIJARI_SICAR,ATTIJARI SICAR,company,private,4705967.2,5,0.1430,-0.2003
34,PERSON_SAIDANE_MOHAMED,MOHAMED SAIDANE,individual,person,4649921.2,4,-0.2813,0.1910
35,CO_SODIS_SICAR,SODIS SICAR,company,private,4635684.0,5,-0.1891,-0.0739
36,PERSON_DJILANI_HEDI,HEDI DJILANI,individual,person,4463447.4,5,0.3026,0.3426
37,PERSON_KAMOUN_MOHAMED,MOHAMED KAMMOUN,individual,person,4394355.8,4,-0.6564,0.3166
38,CO_BH_BANK,BH BANK,company,private,4371004.2,5,-0.2845,-0.2677
39,ORGE_152c481d80f4ea7bfc66,PRESIDENCE DU GOUVERNEMENT,state body,state,4337654.5,4,0.8119,-0.4364
40,CO_POULINA_GROUP_HOLDING,POULINA GROUP HOLDING,company,private,4285455.1,5,0.3660,-0.3057
41,PERSON_ELOUMI_HICHEM,HICHEM ELLOUMI,individual,person,4268658.8,7,-0.0370,0.1389
