rank,node_id,label,draw_class,betweenness,x,y
1,CO_21_LOGIX,21 LOGIX,private,0.0,0.4384,-1.0805
2,CO_2F_DEVELOPMENT_AND_ENGINEERING,2F DEVELOPMENT AND ENGINEERING,private,0.0,-0.3479,-1.0875
3,CO_2M_INFORMATIQUE,2M INFORMATIQUE,private,0.0,0.4864,-1.0958
4,CO_2_A_TANNING,2 A TANNING,private,0.0,1.2668,-0.0816
5,CO_3D,3D,private,0.0,0.4998,-1.0773
6,CO_3D_SOFT,3D SOFT,private,0.0,-0.7330,-0.7890
7,CO_A4CONTENT,A4CONTENT,private,0.0,0.5512,-1.0343
8,CO_ABACUS,ABACUS,private,0.0,1.2703,-0.0742
9,CO_ABATTOIR_AVICOLE_ESSOUASSI,SOCIETE ABATTOIR AVICOLE ESSOUASSI,private,0.0,1.2750,-0.0403
10,CO_ABC_WEBMAKETING,ABC WEBMAKETING,private,0.0,0.5549,-1.0626
11,CO_ABDENNADHER,ETABLISSEMENTS ABDENNADHER,private,0.0,1.3148,0.0037
12,CO_ABDENNADHER_DESIGN,ABDENNADHER DESIGN,private,0.0,-0.2647,-0.1857
13,CO_ABDENNADHER_MOLKA_EXPORT_SAME,SOCIETE ABDENNADHER MOLKA EXPORT SAME,private,0.0,1.2949,0.0419
14,CO_ABDENNADHER_REALISATION_RESEAUX_A2R,SOCIETE ABDENNADHER DE REALISATION DES RESEAUX A2R,private,0.0,0.7086,-0.0920
15,CO_ABIR_SERVICES,ABIR SERVICES,private,0.0,0.9407,0.4601
16,CO_ABM_INFORMATIQUE,ABM INFORMATIQUE,private,0.0,0.4840,0.9977
17,CO_ACCESSOIRES_TEXTILES_COMPANY,ACCESSOIRES TEXTILES COMPANY ATC,private,0.0,0.5624,-1.0254
18,CO_ACES,SOCIETE ACES,private,0.0,1.3053,0.0730
19,CO_ACIER_TECHNOLOGIE,SOCIETE ACIER ET TECHNOLOGIE,private,0.0,0.3267,0.3342
20,CO_ACOBEN,ACOBEN,private,0.0,0.6218,-1.0243
21,CO_ACOMED,ACOMED,private,0.0,1.2856,0.0932
22,CO_ACTIA_TUNISIE,ACTIA TUNISIE,private,0.0,0.6293,-0.9821
23,CO_ACTION_RAPIDE,ACTION RAPIDE,private,0.0,1.3081,0.1144
24,CO_ADAM_DISTRIBUTION,ADAM DE DISTRIBUTION,private,0.0,1.3053,0.1565
25,CO_ADD_VALUE_CONSULTING,ADD VALUE CONSULTING,private,0.0,-0.2780,-1.0762
26,CO_ADECCO_TUNISIE,ADECCO TUNISIE,private,0.0,1.2957,0.1926
27,CO_ADHE_ELS_INTERNATIONAL,SOCIETE ADHE ELS INTERNATIONAL,private,0.0,-0.4910,-0.0280
28,CO_ADVANCED_COMPUTER_SOLUTIONS,ADVANCED COMPUTER SOLUTIONS ACS,private,0.0,0.6871,0.7809
29,CO_ADWYA,SANOFI AVENTIS PHARMA TUNISIE,private,4.0,0.4726,1.0202
30,CO_AEROSOL_CAP_BON,SOCIETE AEROSOL DU CAP BON,private,0.6,1.0332,0.2036
31,CO_AERO_TUNISIA,AERO TUNISIA,private,7515.0,0.1119,-0.6422
32,CO_AFRICAINE_PEINTURE,SOCIETE AFRICAINE DE PEINTURE,private,0.0,0.6677,-0.9892
33,CO_AFRICAIN_GLOBAL_SERVICES_TUNISIE,AFRICAIN GLOBAL SERVICES TUNISIE,private,0.0,-0.2414,-1.0836
34,CO_AFRICAN_RECYCLING_AFREC,SOCIETE AFRICAN RECYCLING AFREC,private,0.0,-0.1891,-1.1183
35,CO_AFRICAN_TRADE_INTERNATIONAL,SOCIETE AFRICAN TRADE INTERNATIONAL,private,0.0,1.2714,0.2118
36,CO_AFRICA_ELECTRIQUE,SOCIETE AFRICA ELECTRIQUE,private,0.0,-0.1820,-1.1232
37,CO_AFRICA_FRIP,AFRICA FRIP,private,1.0,0.7154,-0.9423
38,CO_AFRICA_INDUSTRIE,AFRICA INDUSTRIE,private,9.0,-0.6806,-0.8256
39,CO_AFRICA_MODE,AFRICA MODE,private,1.0,0.7290,-0.9456
40,CO_AFRIC_SUPPORT,AFRIC SUPPORT,private,0.0,1.2662,0.2384
41,CO_AFRIKA_MAGLIERIA_CONFEZIONE,SOCIETE AFRIKA MAGLIERIA CONFEZIONE,private,0.0,1.2732,0.2567
42,CO_AFRIKISOL_INDUSTRIE,AFRIKISOL INDUSTRIE,private,0.0,1.2546,0.3047
43,CO_AFRIQUE_CHIMIE,SOCIETE AFRIQUE CHIMIE,private,0.0,1.2682,0.3393
44,CO_AFRI_CHROME,AFRI CHROME,private,0.0,1.2436,0.3688
45,CO_AGENCE_FRANCO_TUNISIENNE_DARCHITECTURE_AFTA,AGENCE FRANCO TUNISIENNE DARCHITECTURE AFTA,private,0.0,1.2564,0.3855
46,CO_AGENCE_MARITIME_TAHER_BOURICHA_CIE,AGENCE MARITIME TAHER BOURICHA ET CIE,private,15017.0,0.4504,0.3180
47,CO_AGET_CONSTRUCTION,AGET CONSTRUCTION,private,0.0,0.4443,0.9793
48,CO_AGET_TECHNOLOGIE,AGET TECHNOLOGIE,private,0.0,0.4511,0.9578
49,CO_AGIC_TUNISIE,AGIC TUNISIE,private,0.0,1.2338,0.4024
50,CO_AGL_TECHNOLOGIES,AGL TECHNOLOGIES,private,0.0,1.2337,0.4533
51,CO_AGRAL,AGRAL,private,0.0,0.1719,0.2537
52,CO_AGRIBAT,AGRIBAT,private,0.0,1.0752,0.0677
53,CO_AGRICOLE_ALFARAJ,SOCIETE AGRICOLE ALFARAJ,private,0.0,0.7628,-0.9221
54,CO_AGRICOLE_COMMERCIALE_INDUSTRIELLE_SUD_SACIS,"SOCIETE AGRICOLE, COMMERCIALE, INDUSTRIELLE DU SUD SACIS",private,2.5,1.0813,-0.0047
55,CO_AGRICOLE_FRUITS_IDEALES_SAFI,SOCIETE AGRICOLE DE FRUITS IDEALES SAFI,private,0.0,0.7956,-0.8963
56,CO_AGRICOLE_GARGOURI,SOCIETE AGRICOLE GARGOURI,private,0.0,0.2341,0.3832
57,CO_AGRICOLE_JSK,SOCIETE AGRICOLE JSK,private,7453.0,0.3415,0.2176
58,CO_AGRICOLE_MARGHERITA_SAMAR,SOCIETE AGRICOLE MARGHERITA SAMAR,private,0.0,-0.0605,0.3032
59,CO_AGRICOLE_SABA,SOCIETE AGRICOLE SABA,private,0.0,-0.4004,0.2739
60,CO_AGRICOLE_SAOUEF,AGRICOLE SAOUEF,private,0.0,0.2628,0.1964
61,CO_AGRICOLE_SIDI_DAOUED,AGRICOLE SIDI DAOUED,private,13276.9,-0.3338,0.4122
62,CO_AGRIMED,AGRIMED,private,0.0,0.8077,-0.8712
63,CO_AGRI_BUSINESS_COMPANY_ABCO_SIDI_DAOUD,SOCIETE AGRI BUSINESS COMPANY ABCO SIDI DAOUD,private,5.0,-0.6338,-0.8599
64,CO_AGRI_PRODUCTION,AGRI –PRODUCTION,private,0.0,1.0663,0.0724
65,CO_AGROCO_MED,AGROCO MED,private,0.0,1.0038,0.2462
66,CO_AGROLIVA_INTERNATIONAL,AGROLIVA INTERNATIONAL,private,0.0,0.8303,-0.8187
67,CO_AGROMED,AGROMED,private,0.0,-0.3919,0.2972
68,CO_AGRONAT,AGRONAT,private,0.0,0.8824,-0.7974
69,CO_AGRO_MELANGE_TECHNOLOGIE_EN_ABREGE,AGRO MELANGE TECHNOLOGIE EN ABREGE AMT,private,1.0,0.8756,-0.7783
70,CO_AGRO_ZITEX,AGRO ZITEX,private,0.0,1.2179,0.4601
71,CO_AGRUMES_GOLFE,LES AGRUMES DU GOLFE,private,0.0,0.9166,-0.7645
72,CO_AHMED_GAALOUL_FILS,ETABLISSEMENT AHMED GAALOUL ET FILS,private,1.0,0.9448,-0.7037
73,CO_AH_CREATION,SOCIETE AH CREATION,private,0.0,1.1968,0.5131
74,CO_AIGLE_ROYAL_PROMOTION,SOCIETE AIGLE ROYAL PROMOTION,private,0.0,0.1437,0.4066
75,CO_AIRESOFT_INTEGRATION,AIRESOFT INTEGRATION,private,0.0,0.9592,-0.6729
76,CO_AIR_LIQUIDE_SPECNA,AIR LIQUIDE SPECNA,private,0.0,-0.0598,1.0564
77,CO_AIR_LIQUIDE_TUNISIE,AIR LIQUIDE TUNISIE,private,0.0,1.1925,0.5152
